"X","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs","WellType"
1,"1429NWW501","ROBH089",NA,"Borehole",6.5,6.5,"Bedrock Presumed","2001-09-28",154470,300320,"to 10m","CARRACASTLE",NA,"Mayo","63","Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A"
2,"0827NEW001",NA,NA,"Spring",5,NA,"DTB Unknown",NA,99900,284240,"to 20m","WESTPORT",NA,"Mayo","88",NA,"Low Spring",NA,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","Info from file 2.3.16. Location map included on well card",NA,"A"
3,"0831SEW004","MO WG 078",NA,"Borehole",67.1,7.3,"Bedrock Met",NA,109830,314860,"to 20m","KINARD","Crossmolina","Mayo","38","Agri & domestic use","Excellent",NA,545,NA,NA,NA,NA,203,NA,NA,NA,NA,NA,"Drilled by Boland Bros, Enniscrone","Site map included","Cavity at 64m
chemical data available","A"
4,"1125NEW006","MO WG 008",NA,"Borehole",57.9,4.9,"Bedrock Met",NA,125800,267390,"to 20m","CLOONCORMICK","Hollymount","Mayo","110","Agri & domestic use","Poor","II",32.7,NA,NA,NA,109,152,51.8,NA,NA,NA,NA,"Drilled by Boland Bros, Enniscrone","Site map included","2 hr test; nil drawdown reported; SC value assumes dd of 0.3m; chemical data available","A"
5,"1131SWW001","MO WG 058",NA,"Borehole",22.9,NA,"DTB Unknown","1998-05-30",110180,313800,"to 20m","CREEVY","Ballina","Mayo","38","Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"Drilled by Dullea, Donegal","Site map included","chemical data available","A"
6,"1427NWW502",NA,NA,"Borehole",88.4,NA,NA,NA,150380,287090,"to 20m","CLOONGANNAGH",NA,"Mayo","82",NA,"Poor","V",12,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,"Data source - Donal Daly's six-inch maps","Probably in Kilbryan Lst (KL Ibbottson map)","A"
7,"1429NWW008","TW2 (EPA MAY 23)","Cloonmore Rooskey GWS","Borehole",61.4,4,"Bedrock Met","2001-11-22",153140,302190,"to 20m","CARROWNTOBER","Charlestown","Mayo","63","Group Scheme","Good","III",180,NA,NA,17.9,10.05,203,NA,NA,NA,NA,NA,"Drilled by Dunnes, Dundalk",NA,NA,"A"
8,"1429NWW009","TW 1","Cloonmore / Rooskey GWS","Borehole",103.6,7.2,"Bedrock Met","2001-11-20",153230,302110,"to 20m","BARROE",NA,"Mayo","63","Group Scheme","Moderate",NA,76.3,NA,NA,NA,NA,203,2.5,5,23,39,NA,"Drilled by Dunnes, Dundalk",NA,"Steel Casing, Max Safe yield: 
32.7m3/day","A"
9,"0825NEW001","MO WG 275",NA,"Borehole",91.4,3.1,"Bedrock Met","2001-09-07",106210,265340,"to 50m","GREENAUN","Tourmakeady","Mayo","116A","Agri & domestic use","Poor","V",16.4,NA,NA,NA,0.2,152,67.1,79.3,NA,NA,NA,"Drilled by Tony Lynch, Cappamore","site map included
","72 hr test; chemical data available
Cavities at 67.1m and 79.3m","A"
10,"0827NEW002","98-BH-1",NA,"Borehole",80,2.7,"Bedrock Met",NA,109470,285090,"to 50m","BALLYNAMARROGE","Castlebar","Mayo","89","Public supply (Co Co)","Poor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Site map included in report","Yield range 15-40m3/d
Cored from 5-80m
Water chemical data available in report","A"
11,"0827NEW003","98-BH2",NA,"Borehole",80,5,"Bedrock Met",NA,109890,284540,"to 50m","BALLYNAMARROGE","Castlebar","Mayo","89","Public supply (Co Co)","Poor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Site map included in report","Yield average 15-40m3/d
Croed from 5-40m
Water chemical data available in report","A"
