"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2329NEW002",NA,"Poles Co-op","Borehole",30.5,4.9,"Bedrock Presumed",NA,246230,304620,"to 100m","POLES",NA,"Cavan",21,"Industrial use","Good",NA,245.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Info Barham Bros 1968"
"2","2329SEW001",NA,NA,"Borehole",26,9.1,"Bedrock Presumed",NA,254030,294990,"to 100m","DRUMMALLAGHT",NA,"Cavan",33,"Agri & domestic use","Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2331SEW156",NA,"Kill Co-op","Borehole",50,8.5,"Bedrock Met",NA,255640,311570,"to 100m","TULLYVIN",NA,"Cavan",17,"Industrial use","Good",NA,149.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by Barham Bros, Belturbet",NA,"Barham Bros"
"4","2329NWW001",NA,NA,"Borehole",79.8,29.8,"Bedrock Presumed",NA,230570,307490,"to 100m","KILLASHANDRA","KILLASHANDRA","Cavan",19,"Industrial use","Excellent",NA,2182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barham Bros jul 1966      the yield was taken in winter"
"5","2329NWW003",NA,NA,"Borehole",67,27.1,"Bedrock Presumed",NA,230630,307520,"to 100m","KILLASHANDRA","KILLASHANDRA","Cavan",19,"Industrial use","Excellent",NA,2182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barham Bros Aug 1964"
"6","2031SEW025","Kilsob TW1 (new well)","BAWNBOY WSS","Borehole",42.7,NA,NA,2001-05-21,220760,318060,"to 100m","KILSOB","BAWNBOY","Cavan",9,"Public supply (Co Co)","Excellent","I",1700,NA,NA,NA,117,200,12.2,24.4,30.5,33.5,NA,"rock very broken resulting in constant borehole collapse","in field east of bawnboy, in vicinity of fault","predicted 200 day yield"
"7","2031SEW029","Burren 3 TWB","KILDALLAN GWS","Borehole",80.5,NA,NA,2001-05-08,223220,311090,"to 100m","BURREN","KILDALLAN","Cavan",13,"Public supply (Co Co)","Excellent","I",1570,NA,NA,NA,723,200,49,65.5,67,NA,NA,"boreholes 1 and 2 collapsed with broken bedrock were abandoned      low No3 Al CL","next to derrycassan lough","yeild from 72hr test          predicted 200 day  sustainable"
"8","2031SEW030",NA,"BALLYMAGAURAN GWS","Borehole",NA,NA,NA,NA,222010,316380,"to 100m","CLONEARY",NA,"Cavan",13,NA,"Excellent",NA,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"elevated coliform and bacteria problem","located in vicinity of fault nearby to Templeport lough  which may provide recharge","pumps to unlined shallow well at surface"
"9","2331SWW020","DERRYBRICK TW1","MILLTOWN GWS TW","Borehole",67,NA,NA,2001-05-09,234810,312210,"to 100m","DERRYBRICK",NA,"Cavan",15,NA,"Excellent","II",560,NA,NA,NA,59,200,32,42.7,48.8,61,NA,"some recharge from Derrybrick lough      Elevated NH4","south of cross roads next to Derrybrick lough","72hr test    predicted 200 day yield  some recharge from lough"
"10","2331SWW021","CARN TW2","KILDALLAN GWS TW","Borehole",77.7,NA,"DTB Unknown",2001-05-08,230250,314250,"to 100m","CARN","CARN","Cavan",14,NA,"Excellent","II",480,NA,NA,NA,37,150,21.3,42.7,55,78,NA,"Slightly elevated NH4","NE of Carn lough in vicinity of Fault","72hr test  predicted 200 day sustainable yield"
"11","2031SEW047","NERDO 9a",NA,"Borehole",120,NA,"Bedrock Not Met",NA,225300,312060,"to 100m","KILTYNASKELLAN",NA,"Cavan",14,"Agri & domestic use","Good",NA,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unconsolidated material"
"12","2331SEW166","NERDO 13a","Creamery","Borehole",57,3,"Bedrock Met",NA,255620,311530,"to 100m","TULLYVIN",NA,"Cavan",17,"Agri & domestic use","Good",NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2329NEW014","NERDO 13a","Co-op","Borehole",14,NA,"DTB Unknown",NA,256240,304450,"to 100m","CARRICKALLEN",NA,"Cavan",22,"Agri & domestic use","Good",NA,103.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"five other wells in the vacinity failed"
"14","2329NEW010","TW 1","Mountain Lodge GWS","Borehole",100,0,"Bedrock Met",NA,258690,303580,"to 100m","TURFAD",NA,"Cavan",27,"Group Scheme","Good","IV",120,NA,NA,NA,5.8,150,42.7,82.3,NA,NA,NA,NA,NA,NA
"15","2329NEW011","TW 2","Mountain Lodge","Borehole",100,0.3,"Bedrock Met",NA,258240,303560,"to 100m","CARRICKACROMAN",NA,"Cavan",27,"Group Scheme","Failure",NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA
"16","2329NEW012","TW 3","Mountain Lodge GWS","Borehole",117,18,"Bedrock Met",NA,258700,305330,"to 100m","TIEVENANASS",NA,"Cavan",22,"Group Scheme","Good","III",130,NA,NA,NA,11.6,150,15,30.5,NA,NA,NA,NA,NA,NA
