"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","1117SEW127","BH 101",NA,"Borehole",13.5,8,"Bedrock Met",2000-01-06,133190,177070,"to 10m","CLONROAD BEG","Ennis","Clare","33",NA,NA,NA,NA,NA,NA,NA,NA,50,7.5,NA,NA,NA,NA,"Drilled by Glover SI Ltd, DTH",NA,"HDPE casing/screen, 1 mm slot size"
"2","1117SEW128","BH 102",NA,"Borehole",13.5,7.5,"Bedrock Met",2000-01-06,133120,177020,"to 10m","CLONROAD BEG","Ennis","Clare","33",NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,"Drilled by Glover SI Ltd, DTH",NA,"HDPE casing/screen, 1 mm slot size; very little water"
"3","1117SEW129","BH 103",NA,"Borehole",13.5,4.5,"Bedrock Met",2000-01-06,133130,177110,"to 10m","CLONROAD BEG","Ennis","Clare","33",NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,"Drilled by Glover SI Ltd, DTH",NA,"HDPE casing/screen, 1 mm slot size; dry during drilling"
"4","1119SWW040","St Brendans Well",NA,"Spring",NA,NA,NA,NA,114540,198380,"to 10m","GOWLAUN",NA,"Clare","8",NA,"High Spring",NA,3630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"From Honor Chance's Thesis 2005",NA
"5","1415NWW092","MW 4D",NA,"Borehole",25,1.3,"Bedrock Met",2001-08-01,140870,163260,"to 10m","SMITHSTOWN","Shannon","Clare","51",NA,NA,NA,NA,NA,NA,NA,NA,50,11.5,21.5,NA,NA,NA,"Drilled by Glover SI Ltd, DTH",NA,"HDPE casing/screen, 1 mm slot size"
"6","1415NWW093","MW 6",NA,"Borehole",12,4.4,"Bedrock Met",2001-07-31,140830,163340,"to 10m","SMITHSTOWN","Shannon","Clare","51",NA,NA,NA,NA,NA,NA,NA,NA,50,7,NA,NA,NA,NA,"Drilled by Glover SI Ltd, DTH",NA,"HDPE casing/screen, 1 mm slot size"
"7","1415NWW094","MW 7",NA,"Borehole",15,4,"Bedrock Met",2001-07-31,140810,163260,"to 10m","SMITHSTOWN","Shannon","Clare","51",NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,"Drilled by Glover SI Ltd, DTH",NA,"HDPE casing/screen, 1 mm slot size"
"8","1415NWW095","MW 8",NA,"Borehole",16.5,2,"Bedrock Met",2001-07-31,140820,163280,"to 10m","SMITHSTOWN","Shannon","Clare","51",NA,NA,NA,NA,NA,NA,NA,NA,50,3.6,NA,NA,NA,NA,"Drilled by Glover SI Ltd, DTH",NA,"HDPE casing/screen, 1 mm slot size"
"9","1415NWW096","MW 9",NA,"Borehole",22,2.5,"Bedrock Met",2001-08-01,140830,163240,"to 10m","SMITHSTOWN","Shannon","Clare","51",NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,"Drilled by Glover SI Ltd, DTH",NA,"HDPE casing/screen, 1 mm slot size; No water detected during drilling"
"10","1415NWW097","MW 10",NA,"Borehole",18,1.6,"Bedrock Met",2001-08-01,140880,163270,"to 10m","SMITHSTOWN","Shannon","Clare","51",NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,"Drilled by Glover SI Ltd, DTH",NA,"HDPE casing/screen, 1 mm slot size; no water detected during drilling"
"11","1415NWW098","MW 11",NA,"Borehole",13,2.5,"Bedrock Met",2001-12-01,140910,163230,"to 10m","SMITHSTOWN","Shannon","Clare","51",NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,"Drilled by Hilliard Ltd, DTH",NA,"HDPE casing/screen, 1.5 mm slots + sock"
"12","1415NWW099","MW 12",NA,"Borehole",13,1,"Bedrock Met",2001-12-02,140890,163230,"to 10m","SMITHSTOWN","Shannon","Clare","51",NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,"Drilled by Hilliard Ltd, DTH",NA,"HDPE casing/screen, 1 mm slots + sock"
"13","1415NWW100","MW 13",NA,"Borehole",13,1,"Bedrock Met",2001-12-03,140930,163240,"to 10m","SMITHSTOWN","Shannon","Clare","51",NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,"Drilled by Hilliard Ltd, DTH",NA,"HDPE casing/screen, 1 mm slots + sock"
"14","0815SEW012","Investigation BH 91","ESB","Borehole",2.1,2.1,"Bedrock Presumed",1978-09-01,102950,152570,"to 20m","CARROWDOTIA SOUTH",NA,"Clare","67","Other",NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,"Drilled by Soil Mechanics Ltd by shell/auger",NA,NA
"15","0815SEW042",NA,"CLARE CO CO KILRUSH PS","Borehole",85.3,NA,"DTB Unknown",NA,99800,155980,"to 20m","BALLYURRA",NA,"Clare","67","Public supply (Co Co)","Excellent","II",785,545,NA,NA,35.68,NA,NA,NA,NA,NA,NA,"PUMP USED AS BACKUP-HIGH AMMONIA,NORMAL Q=545M3/D FILE 2.3.3",NA,NA
"16","0815SEW052","Well E",NA,"Spring",0.8,NA,"Bedrock Not Met",NA,103250,152080,"to 20m","CARROWDOTIA SOUTH",NA,"Clare","67","Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEASONAL SPRING E DOMESTIC SUPPLY SEE FILE 2.12.3 ALSO","Info from Soil Mechanics report",NA
"17","0815SEW053","Well C",NA,"Spring",1,NA,"Bedrock Not Met",NA,104480,152010,"to 20m","CARROWDOTIA SOUTH",NA,"Clare","67","Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WELL IS SPRING FED C YIELD ESTIMATED AT 50-200L/DAY","Info from Soil Mechanics report",NA
"18","0815SEW055","Well B","ESB MONEYPOINT","Borehole",150,7.6,"Bedrock Met",1982-01-01,104300,151960,"to 20m","CARROWDOTIA SOUTH",NA,"Clare","67","Industrial use","Poor",NA,22,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,"ABANDONED WELL; MAP ATTACHED",NA,NA
"19","0815SEW061","BH 1B Rebore","ESB Money Point Generating Station","Borehole",7.9,7.9,"Bedrock Presumed",1993-08-30,102780,152720,"to 20m","CARROWDOTIA SOUTH","Money Point","Clare","67","Other",NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,"Drilled by Site Investigations Ltd by Shell/auger","From ESBI Report 2001",NA
"20","0815SEW062","BH 2","ESB Money Point Generating Station","Borehole",6.9,4.6,"Bedrock Met",1993-09-13,103100,152650,"to 20m","CARROWDOTIA SOUTH","Money Point","Clare","67","Other",NA,NA,NA,NA,NA,NA,NA,200,3.8,NA,NA,NA,NA,"Drilled by Site Investigations Ltd by Shell/auger and TNW core from 4.6m","From ESBI Report, 2001",NA
"21","0815SEW063","BH 3","ESB Money Point Generating Station","Borehole",10.1,7.2,"Bedrock Met",1993-09-06,103080,152610,"to 20m","CARROWDOTIA SOUTH","Money Point","Clare","67","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by Site Investigations Ltd by shell/ager, and TNW cored from 7.7m","Frome ESBI Report, 2001",NA
"22","0815SEW064","BH 4","ESB Money Point Generating Station","Borehole",8.1,5.7,"Bedrock Met",1993-09-15,102720,152120,"to 20m","CARROWDOTIA SOUTH","Money Point","Clare","67","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by Site Investigations Ltd by shell/auger, and TNW cored from 2m","From ESBI Report, 2001","No water struck"
