"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","1437NEW002","BH No.2","Earagail Eisc Teo","Borehole",62,2,"Bedrock Met",1989-06-01,160500,383000,"to 100m","MEENANEARY",NA,"Donegal",90,"Unknown","Good","III",175,NA,NA,NA,28.4,150,NA,NA,NA,NA,NA,NA,"48hr test/5m drawdown",NA
"2","1437NEW003","BH No.1","Earagail Eisc Teo","Borehole",26,3,"Bedrock Met",1989-06-01,160500,383000,"to 100m","MEENANEARY",NA,"Donegal",90,"Unknown","Poor",NA,11,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,"Steel casing",NA
"3","1437SEW017","WG 182",NA,"Borehole",75,6,"Bedrock Met",2000-10-01,157570,379520,"to 100m","CLOGHA",NA,"Donegal",90,"Agri & domestic use","Poor",NA,10.9,NA,NA,NA,NA,150,68,NA,NA,NA,NA,NA,NA,NA
"4","1735NEW014","TW no.1",NA,"Borehole",14.2,NA,"Bedrock Not Met",1998-12-12,186640,369140,"to 100m","ROSSNOWLAGH LOWER",NA,"Donegal",103,"Industrial use",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,"Drilled as  part of an injection test study on a proposed percolation site.","Date 11/7/1962"
"5","1735NEW015","TW2",NA,"Borehole",11.7,11,"Bedrock Met",1998-12-14,186580,369220,"to 100m","ROSSNOWLAGH LOWER",NA,"Donegal",103,"Industrial use",NA,NA,NA,NA,NA,NA,NA,NA,4.5,5.5,NA,NA,NA,NA,"Drilled as part of an injection test study on a proposed percolation site.",NA
"6","1735NEW016","TW3",NA,"Borehole",11.5,11.3,"Bedrock Met",1998-12-16,186540,369160,"to 100m","ROSSNOWLAGH LOWER",NA,"Donegal",103,"Industrial use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled as part of an injection test study on a proposed percolation site.",NA
"7","1735NEW017","PW no.1",NA,"Borehole",8.5,NA,"Bedrock Not Met",1998-12-15,186880,369210,"to 100m","ROSSNOWLAGH",NA,"Donegal",103,"Industrial use","Good","I",130.9,NA,NA,NA,935,NA,3,NA,NA,NA,NA,NA,"48m3/day demand.",NA
"8","1735SEW003",NA,NA,"Unknown",6,NA,"DTB Unknown",NA,192160,359200,"to 100m","KNOCKNASHANGAN","BALLYSHANNON","Donegal",107,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCKFIELD HOUSE",NA,NA
"9","1737SEW006",NA,"DONEGAL COUNTY COUNCIL","Borehole",42.7,NA,"DTB Unknown",NA,194330,374370,"to 100m","LAGHY",NA,"Donegal",100,"Public supply (Co Co)","Excellent",NA,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRILLED BY P DULEA","could be the BSag member",NA
"10","1737SEW025","BH 14.1","Donegal Co.Co Main Drainage","Borehole",5.9,2.5,"Bedrock Met",2000-09-29,189830,378620,"to 100m","DRUMKEEGHAN",NA,"Donegal",93,"Unknown",NA,NA,NA,NA,NA,NA,NA,150,1.7,2.5,NA,NA,NA,NA,NA,"Date Dec-1968"
"11","1737SEW026","BH 14.2","Donegal Co.Co Main Drainage","Borehole",7.6,0,"Bedrock Met",2000-10-02,189790,378660,"to 100m","DRUMKEEGHAN",NA,"Donegal",93,"Unknown",NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,"This is a OBS Hole with a strandpipe installed in a gravel filter down to 3.65m. locked cover standing pround of the ground surface.",NA,NA
"12","1737SEW027","BH14.3","Donegal Co.Co Main Drainage","Borehole",6.2,3,"Bedrock Met",2000-10-03,189870,378660,"to 100m","DRUMKEEGHAN",NA,"Donegal",93,"Unknown",NA,NA,NA,NA,NA,NA,NA,150,3,NA,NA,NA,NA,NA,NA,NA
