"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","0207NEW001",NA,NA,"Dug well",1.8,2.1,"Bedrock Met",NA,47760,82050,"to 1km","CLOGHANELINAGHAN",NA,"Kerry",69,"Agri & domestic use","Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/Ker.1487",NA,NA
"2","0209NEW001",NA,NA,"Borehole",5.8,13.4,"Bedrock Met",1962-07-06,43290,102290,"to 1km","BALLYNABOOLY",NA,"Kerry",43,"Agri & domestic use","Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/Ker 912",NA,NA
"3","0209NEW002",NA,NA,"Dug well",4.9,6.4,"Bedrock Met",1962-07-10,42380,101360,"to 1km","MILLLTOWN",NA,"Kerry",43,"Agri & domestic use","Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/Ker 427",NA,NA
"4","0209NEW003",NA,NA,"Borehole",6.4,15.2,"Bedrock Met",1962-07-06,43350,102230,"to 1km","BALLYNABOOLY",NA,"Kerry",43,"Agri & domestic use","Poor",NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/Ker.809.  Yield requires recharge time",NA,NA
"5","0209NEW007",NA,"KERRY COUNTY COUNCIL","Unknown",19.2,27.4,"Bedrock Met",1961-01-01,46600,100700,"to 1km","BALLINVOWNIG",NA,"Kerry",53,"Public supply (Co Co)","Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","0209SEW002",NA,NA,"Borehole",7.6,10.7,"Bedrock Met",1962-07-10,47630,99370,"to 1km","DOONSHEANE",NA,"Kerry",53,"Agri & domestic use","Poor",NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/TB/Ker 249",NA,NA
"7","0209SEW003",NA,NA,"Borehole",4.6,16.8,"Bedrock Met",1962-07-10,47640,99320,"to 1km","DOONSHEANE",NA,"Kerry",53,"Agri & domestic use","Poor",NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/Ker 711",NA,NA
"8","0209SEW004",NA,"KERRY COUNTY COUNCIL","Unknown",12.2,18.3,"Bedrock Met",NA,46250,99060,"to 1km","BEENBANE",NA,"Kerry",53,"Public supply (Co Co)","Moderate",NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","0209SEW005",NA,NA,"Borehole",9.4,12.8,"Bedrock Met",1962-07-10,46490,99790,"to 1km","BALLINTAGGART",NA,"Kerry",53,"Agri & domestic use","Poor",NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/Ker 876",NA,NA
"10","0505NWW001",NA,"DROMOD GROUP WATER SCHEME","Borehole",5.5,45.7,"Bedrock Met",1970-08-19,55080,69980,"to 1km","DROMOD",NA,"Kerry",89,"Group Scheme","Good",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","0505NWW007","WG 145-2001",NA,"Borehole",18.3,68.6,"Bedrock Met",2001-07-15,51820,69810,"to 1km","GARRANNAFULLA",NA,"Kerry",89,"Agri & domestic use","Poor",NA,21.8,NA,NA,NA,NA,152,57.9,NA,NA,NA,NA,"Drilled by T J Cross, Abbeyfeale
Sandstone",NA,"Estimated Yield"
"12","0507NEW001",NA,NA,"Borehole",24.4,26.2,"Bedrock Met",1969-07-25,65700,87000,"to 1km","BALLYNAKILLY UPPER",NA,"Kerry",63,"Agri & domestic use","Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/Ker 3995",NA,NA
"13","0509NEW001",NA,NA,"Borehole",NA,8.5,"Bedrock Not Met",1962-07-13,66850,109900,"to 1km","DEELIS",NA,"Kerry",36,"Agri & domestic use","Poor",NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/Ker 1574 & W/TB/Ker 760",NA,NA
"14","0509NEW002",NA,NA,"Borehole",6.1,33.8,"Bedrock Met",1962-06-22,66780,101960,"to 1km","BALLINAGROUN",NA,"Kerry",45,"Agri & domestic use","Poor",NA,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/Ker 1912 & TB.104",NA,NA
"15","0509NEW003",NA,NA,"Borehole",NA,12.2,"DTB Unknown",1972-08-05,77550,102100,"to 1km","LAGHTACALLOW",NA,"Kerry",46,"Agri & domestic use","Poor",NA,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","0509NEW004",NA,NA,"Borehole",9.1,13.4,"Bedrock Met",1971-10-20,77550,102120,"to 1km","LAGHTACALLOW",NA,"Kerry",46,"Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/Ker 4479",NA,NA
"17","0509NEW007",NA,NA,"Borehole",6.7,24.4,"Bedrock Met",1973-10-30,67300,108450,"to 1km","SCRALLAGHBEG","Camp","Kerry",36,"Agri & domestic use","Poor",NA,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/Ker 5432",NA,NA
"18","0509NWW001",NA,NA,"Dug well",3.1,7,"Bedrock Met",1962-07-13,53500,107790,"to 1km","BALLYHONEEN",NA,"Kerry",35,"Agri & domestic use","Poor",NA,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/Ker 541",NA,NA
"19","0509NWW003",NA,NA,"Borehole",7.9,22.9,"Bedrock Met",1962-06-29,53630,101050,"to 1km","GARRYNADUR",NA,"Kerry",44,"Agri & domestic use","Poor",NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/Ker 269",NA,NA
"20","0509NWW005","ILC 1490","Land Commission, Keane Estate","Borehole",10.3,22.3,"Bedrock Presumed",1969-07-17,59160,101240,"to 1km","GURTEEN",NA,"Kerry",44,"Agri & domestic use","Moderate",NA,65.5,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"Quality O.K. Steel lined 
Drilled by contract",NA,NA
"21","0509NWW006",NA,"KERRY COUNTY COUNCIL","Unknown",12.2,23.5,"Bedrock Met",1961-01-01,53630,101000,"to 1km","GARRYNADUR",NA,"Kerry",44,"Public supply (Co Co)","Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","0509NWW007",NA,NA,"Borehole",2.4,15.2,"Bedrock Met",1962-07-09,50690,100850,"to 1km","CLOONCURRA",NA,"Kerry",44,"Agri & domestic use","Poor",NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/Ker 849",NA,NA
"23","0509NWW008",NA,NA,"Borehole",NA,20.1,"DTB Unknown",NA,50070,100810,"to 1km","CLOONCURRA",NA,"Kerry",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lined 5.8m. Contaminated.",NA,NA
"24","0509NWW011",NA,NA,"Borehole",4,20.4,"DTB Unknown",1928-12-01,56500,101880,"to 1km","GORTACURRAUN",NA,"Kerry",44,"Agri & domestic use","Poor",NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lined 4m",NA,NA
"25","0509SEW001",NA,"KERRY B OF H","Borehole",NA,15.2,"Bedrock Not Met",1929-05-01,78000,99840,"to 1km","CALLANAFERSY WEST",NA,"Kerry",56,"Public supply (Co Co)","Poor",NA,35,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"Lined 14.6m",NA,NA
"26","0509SEW009",NA,NA,"Dug well",NA,5.5,"DTB Unknown",1967-08-01,70100,97760,"to 1km","CROMANE LOWER",NA,"Kerry",56,"Agri & domestic use","Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/Ker 2479",NA,NA
"27","0509SEW010",NA,NA,"Dug well",4.6,4.6,"Bedrock Presumed",1968-03-01,76600,98040,"to 1km","REEN",NA,"Kerry",56,"Agri & domestic use","Poor",NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","0509SEW011",NA,NA,"Dug well",2.7,2.7,"Bedrock Presumed",1968-06-01,76600,98000,"to 1km","REEN",NA,"Kerry",56,"Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","0509SEW012",NA,NA,"Dug well",NA,5.5,"Bedrock Not Met",1961-10-10,78000,99800,"to 1km","CALLANAFERSY WEST",NA,"Kerry",56,"Agri & domestic use","Moderate",NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/Ker 1977",NA,NA
"30","0509SEW013",NA,NA,"Dug well",NA,4.6,"DTB Unknown",NA,70100,97710,"to 1km","CROMANE LOWER",NA,"Kerry",56,"Agri & domestic use","Poor",NA,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/Ker 2600",NA,NA
"31","0509SEW014",NA,"KERRY COUNTY COUNCIL","Borehole",38.1,46,"Bedrock Met",1961-01-01,69950,92650,"to 1km","BALLINTLEAVE",NA,"Kerry",63,"Public supply (Co Co)","Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","0509SEW015",NA,NA,"Dug well",NA,4.6,"Bedrock Not Met",1961-06-01,79790,98390,"to 1km","TINNAHALLY",NA,"Kerry",57,"Domestic use only","Moderate",NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/Ker 1714",NA,NA
"33","0509SWW001",NA,NA,"Borehole",4.3,38.4,"Bedrock Met",1971-11-03,56660,1e+05,"to 1km","ACRES",NA,"Kerry",54,"Agri & domestic use","Poor",NA,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/Ker 3364",NA,NA
"34","0511NEW004",NA,NA,"Borehole",6.7,19.2,"Bedrock Met",1973-11-28,70680,129930,"to 1km","GLENDERRY",NA,"Kerry",14,"Agri & domestic use","Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/Ker 5078",NA,NA
"35","0511NEW005",NA,NA,"Borehole",4,24.4,"Bedrock Met",1962-05-14,79590,127510,"to 1km","TOGHERBANE",NA,"Kerry",14,"Agri & domestic use","Poor",NA,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/Ker.2078 & WTB.1267",NA,NA
"36","0511NEW006",NA,NA,"Borehole",7,11,"Bedrock Met",1973-07-03,78830,129230,"to 1km","BALLINCLEMESIG",NA,"Kerry",14,"Agri & domestic use","Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/Ker 2858",NA,NA
