"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2617NEW202",NA,NA,"Dug well",6.1,NA,"DTB Unknown",NA,279770,189750,"to 1km","SHERIFFHILL",NA,"Kildare",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2617NEW203","ILC 541",NA,"Borehole",17.1,3.7,"Bedrock Met",1960-10-14,280020,189750,"to 1km","SHERIFFHILL",NA,"Kildare",38,"Agri & domestic use","Poor",NA,27.3,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,"FENNELL ESTATE",NA,"FIRST WATER AT 6.1m WITH YIELD OF 1.6m3/D.  PUMPED AT 13.7m."
"3","2617NEW204",NA,NA,"Dug well",1.8,NA,"DTB Unknown",NA,280250,189730,"to 1km","SHERIFFHILL",NA,"Kildare",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2617NEW209","W/KLD 1171, WTB/KLD 425",NA,"Borehole",15.9,3.1,NA,1962-08-08,280230,186060,"to 1km","PLUNKETSTOWN",NA,"Kildare",38,"Unknown","Poor",NA,21.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2617NEW210","W/KLD 1166",NA,"Borehole",16.5,3.7,NA,1962-07-01,280280,185970,"to 1km","PLUNKETSTOWN",NA,"Kildare",38,"Unknown","Poor",NA,21.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2617NEW218",NA,NA,"Dug well",8.5,NA,NA,1961-06-10,281320,187300,"to 1km","BALLYNACARRICK",NA,"Kildare",38,"Agri & domestic use","Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/KLD 1045",NA
"7","2617NEW221","WTB/KLD 1417",NA,"Borehole",27.4,NA,NA,1973-02-14,280630,185330,"to 1km","PLUNKETSTOWN",NA,"Kildare",38,"Agri & domestic use","Poor",NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2617NEW222","WTB/KLD 417",NA,"Borehole",27.4,21.3,"Bedrock Met",1973-02-14,280670,185250,"to 1km","PLUNKETSTOWN",NA,"Kildare",38,"Agri & domestic use","Poor",NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2617NEW233",NA,NA,"Dug well",2.7,2.7,NA,1972-02-08,276770,180410,"to 1km","KNOCKBANE",NA,"Kildare",40,"Unknown","Poor",NA,21.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2617NEW237",NA,NA,"Dug well",2.4,2.4,"Bedrock Presumed",1971-12-18,277240,181690,"to 1km","BALLYBURN",NA,"Kildare",40,NA,"Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2617NEW242",NA,NA,"Dug well",5.5,NA,NA,NA,277780,184840,"to 1km","CASTLEDERMOT",NA,"Kildare",40,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAIRY FARM",NA,NA
"12","2617NEW246",NA,NA,"Borehole",50,NA,NA,NA,278480,189900,"to 1km","BOLTON",NA,"Kildare",38,"Unknown","Poor",NA,38.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRILLER:FOGARTY BROS.  DRILLING METHOD:D.T.H.  DIAMETER:152.4mm"
"13","2617NEW249","NO.1",NA,"Borehole",55.8,NA,NA,NA,278020,184930,"to 1km","CASTLEDERMOT",NA,"Kildare",40,"Unknown","Failure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DRILLER:FOGARTY BROS.  DRILLING METHOD:D.T.H.  DIAMETER:152.4mm  WELL IS DRY, FAILED"
"14","2617NEW250","NO.2",NA,"Borehole",44.8,NA,NA,NA,278020,184880,"to 1km","CASTLEDERMOT",NA,"Kildare",40,"Unknown","Moderate",NA,54.55,NA,NA,NA,NA,152.4,NA,NA,NA,NA,NA,NA,NA,"DRILLER:FOGARTHY BROS.  DRILLING METHOD:D.T.H.  DIAMETER:152.4mm  BIT BROKE AT 44.8m"
