"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2015NEW147","KK00100 (EPA)","Baunmore group sch - M Walsh","Dug well",NA,NA,NA,1905-05-24,225800,166100,"to 100m","BAUNMORE",NA,"Kilkenny",8,"Group Scheme","Poor",NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"obtained for stride report","This is part of the EPA monitoring network set up by stride. believed to be in sag. chemistry analysis available","YIELD BASED ON POP SERVED"
"2","2015NEW148","WG99/208",NA,"Borehole",106.7,10.7,"DTB Unknown",NA,226400,169350,"to 100m","RATHOSHEEN",NA,"Kilkenny",8,"Agri & domestic use","Good","I",381.86,NA,NA,NA,NA,150,82.3,89.9,105.1,NA,NA,NA,NA,NA
"3","2313NEW003",NA,"BALLYBUR CO-OP CREAMERY","Borehole",21.6,7.9,"Bedrock Met",1968-02-15,246940,149330,"to 100m","BALLYBUR LOWER",NA,"Kilkenny",23,"Industrial use","Good",NA,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"site from well survey","Drilled by Sean Flood, Clonroche
location approximate",NA
"4","2313NEW028",NA,"Kilkenny Co Co","Borehole",34.4,NA,"DTB Unknown",NA,251300,148150,"to 100m","DANESFORT",NA,"Kilkenny",23,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"location uncertain
another hand pump on main rd",NA
"5","2315NEW253","KK00700 - epa no","dunmore group - c murray","Borehole",55,NA,NA,1990-06-12,249100,162000,"to 100m","DUNMORE WEST",NA,"Kilkenny",14,"Group Scheme","Poor",NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STRIDE REPORT","PART OF EPA MONITORING NETWORK, SET UP BY STRIDE",NA
"6","2315NEW254","KK01000 - EPA NO",NA,"Borehole",46,NA,NA,NA,250000,160200,"to 100m","LOUGHMERANS",NA,"Kilkenny",14,"Industrial use",NA,NA,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FROM STRIDE REPORT","PART OF EPA MONITORING NETWORK SET UP BY STRIDE",NA
"7","2315NWW162",NA,NA,"Borehole",43.6,NA,"DTB Unknown",NA,237740,162590,"to 100m","BALLYLARKIN",NA,"Kilkenny",13,NA,"Failure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Failed well",NA
"8","2315NWW207",NA,NA,"Borehole",78,7.6,"Bedrock Met",NA,233800,169100,"to 100m","GORTEENNAMUCK",NA,"Kilkenny",8,"Agri & domestic use","Moderate","II",65.5,NA,NA,NA,218,150,68.6,NA,NA,NA,NA,NA,"well 150ft away- water 60-85ft",NA
"9","2315SEW046",NA,NA,"Dug well",6.5,6,"Bedrock Not Met",NA,259900,159090,"to 100m","FRENEYSTOWN",NA,"Kilkenny",15,"Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"o/b clay",NA
"10","2315SEW077",NA,NA,"Borehole",29,11.9,"Bedrock Met",1959-10-15,248750,155600,"to 100m","KILCREEN",NA,"Kilkenny",19,"Domestic use only","Poor",NA,6.5,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"approx location","DtB inferred from casing",NA
"11","2315SEW353","KK01300","KILKENNY MART","Borehole",24,0,"Bedrock Not Met",NA,250700,156700,"to 100m","NEWPARK LOWER",NA,"Kilkenny",19,"Industrial use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FROM STRIDE REPORT",NA,NA
"12","2315SEW354","KK00400 - EPA NO","CLARA GROUP SCHEME","Borehole",37,7,"Bedrock Met",NA,257700,155300,"to 100m","CLIFDEN",NA,"Kilkenny",20,"Group Scheme","Good",NA,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FROM STRIDE REPORT",NA,NA
"13","2315SWW174",NA,NA,"Borehole",19.2,NA,"Bedrock Not Met",1969-11-15,241030,157680,"to 100m","REMEEN",NA,"Kilkenny",18,"Agri & domestic use","Moderate",NA,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by Sean Flood, Clonroche
Gravel O/B",NA
"14","2315SWW206",NA,NA,"Borehole",29.9,12.2,"Bedrock Met",NA,238540,151700,"to 100m","POTTLERATH",NA,"Kilkenny",22,"Agri & domestic use","Moderate",NA,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Location uncertain",NA,NA
"15","2315SWW216",NA,NA,"Borehole",94.5,6.1,"Bedrock Met",NA,240460,151020,"to 100m","KNOCKEENBAUN",NA,"Kilkenny",22,NA,"Failure",NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"approx site from well survey","Drilled by Sean Flood, Clonroche",NA
"16","2317NEW210","WG99/150",NA,"Borehole",78,11.6,"Bedrock Met",1999-06-02,255150,181500,"to 100m","CHATSWORTH",NA,"Kilkenny",2,"Unknown","Moderate","II",60.5,NA,NA,NA,218,150,16.8,53.3,67.1,73.2,NA,NA,NA,NA
"17","2317SEW255","KK00300 - EPA number",NA,"Borehole",67,20,"Bedrock Met",NA,253600,173300,"to 100m","CASTLECOMER DEMESNE",NA,"Kilkenny",5,"Industrial use",NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,"FROM STRIDE REPORT","This is part of the EPA monitoring network set up by stride. believed to be in westphalian. chemistry analysis available",NA
"18","2613NWW114",NA,NA,"Borehole",39.6,1,"Bedrock Met",1984-09-15,264220,141110,"to 100m","KILKIERAN",NA,"Kilkenny",29,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,"site from well survey","DtB approx. Drilled by Doran.
Analysis recorded",NA
"19","2615NWW035",NA,NA,"Borehole",76,3,"Bedrock Met",NA,264180,161210,"to 100m","COORLEAGH",NA,"Kilkenny",16,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ref Paulstown PWS Protection Policy KTC W33, D2B 2.4-3m",NA
"20","2615NWW036",NA,NA,"Unknown",29,0,"Bedrock Met",NA,264550,161780,"to 100m","SHANKILL",NA,"Kilkenny",16,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ref Paulstown PWS protection Policy, KTC rep. W34",NA
"21","2615NWW039",NA,"Kilkenny Co Co","Unknown",11,NA,"DTB Unknown",NA,262520,162600,"to 100m","BALLYGORTEEN",NA,"Kilkenny",15,"Public supply (Co Co)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paulstown PWS protection Policy, KTC well survey W21",NA
"22","2615SWW022",NA,NA,"Borehole",13.7,3.7,"Bedrock Met",NA,261760,155700,"to 100m","BALLYQUIRK",NA,"Kilkenny",20,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"approx site from well survey","Could not complete due to sand",NA
"23","2615SWW059",NA,NA,"Dug well",12.3,NA,"DTB Unknown",NA,261190,151940,"to 100m","HUNTINGTOWN",NA,"Kilkenny",24,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Water condemned",NA
"24","2615SWW108",NA,NA,"Borehole",18,1,"Bedrock Met",1997-12-01,264160,159710,"to 100m","KELLYMOUNT",NA,"Kilkenny",16,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ref Paulstown Source Protection Policy, KTC rep. BH8",NA
"25","2315SEW073",NA,NA,"Borehole",25.3,6.4,"Bedrock Met",1978-09-22,248500,152700,"to 200m","DERDIMUS","Tinnypark","Kilkenny",19,"Agri use only","Poor",NA,21.8,NA,NA,NA,NA,152,13.7,19.8,NA,NA,NA,"approx location","Drilled by Sean Flood, Clonroche
o/b-CLAY",NA
"26","2611NWW094","PWS2 - water sampling no.","Glenmore Public Water Supply","Spring",NA,NA,NA,1930-01-01,265390,124600,"to 200m","WEATHERSTOWN","Glenmore","Kilkenny",41,"Public supply (Co Co)","Low Spring",NA,234.95,65.7,169.25,NA,NA,NA,NA,NA,NA,NA,NA,"exact location of spring is unknown, likely to be in area of outcrop along road","unlocated spring, OD is approximate","spring is now covered, asbestos pipe links it to ""pump house"""
"27","2611SWW006",NA,NA,"Borehole",20.1,6.7,"Bedrock Met",NA,261810,112410,"to 200m","CHRISTENDOM",NA,"Kilkenny",46,NA,"Good",NA,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2611SWW225",NA,NA,"Borehole",21.3,10.1,"Bedrock Met",1964-08-15,261800,112400,"to 200m","CHRISTENDOM",NA,"Kilkenny",46,"Industrial use","Excellent",NA,763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by Barham Bros., Belturbet",NA
"29","2315NWW184",NA,NA,"Borehole",35.1,NA,"DTB Unknown",1959-10-01,237000,166070,"to 500m","GARRANAMANAGH",NA,"Kilkenny",9,"Unknown","Failure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no water",NA
"30","2315NWW185",NA,NA,"Dug well",15.2,NA,"DTB Unknown",NA,239190,167880,"to 500m","TIFEAGHNA",NA,"Kilkenny",9,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESB ref 9/10/17",NA
"31","2315NWW192",NA,NA,"Dug well",4.3,NA,"DTB Unknown",1970-08-15,240810,163950,"to 500m","FRESHFORD",NA,"Kilkenny",13,NA,"Poor",NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2315SWW170",NA,NA,"Borehole",28.3,7.9,"Bedrock Met",1977-06-15,241160,154880,"to 500m","RIESK",NA,"Kilkenny",18,"Domestic use only","Poor",NA,16.4,NA,NA,NA,NA,NA,19.8,42.7,NA,NA,NA,NA,"Drilled by Hickey & Murphy, Carlow
Clay O/B",NA
