"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2017NEW117",NA,NA,"Borehole",16.2,16.2,"Bedrock Presumed",NA,225090,187690,"to 10m","BORRIS IN OSSORY",NA,"Laois","22",NA,"Moderate",NA,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never dry, never low",NA,NA
"2","2319SEW149","BH 101",NA,"Borehole",6.8,NA,"Bedrock Not Met",2001-03-08,246110,197790,"to 10m","KNOCKMAY","Portlaoise","Laois","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2319SEW150","BH 102",NA,"Borehole",6.8,NA,"Bedrock Not Met",2001-03-03,246090,197840,"to 10m","KNOCKMAY","Portlaoise","Laois","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2319SEW151","BH 103",NA,"Borehole",5.7,NA,"Bedrock Not Met",2001-03-03,246050,197800,"to 10m","KNOCKMAY","Portlaoise","Laois","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2319SEW152","BH 104",NA,"Borehole",6.8,NA,"Bedrock Not Met",2001-03-08,246100,197720,"to 10m","KNOCKMAY","Portlaoise","Laois","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2321SWW075",NA,"OFFALY CO CO","Borehole",38.1,18.3,"Bedrock Met",1979-06-11,231690,210760,"to 10m","CLONASLEE",NA,"Laois","2","Public supply (Co Co)","Poor",NA,10.9,NA,NA,NA,NA,254,NA,NA,NA,NA,NA,"SEAN FLOOD DRILLERS",NA,NA
"7","2017NEW001",NA,NA,"Dug well",2.4,NA,"DTB Unknown",1973-01-17,223510,183640,"to 20m","BALLYQUAID GLEBE",NA,"Laois","21",NA,"Poor",NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2017NEW002",NA,NA,"Dug well",2.7,NA,"Bedrock Not Met",1974-05-30,224280,189470,"to 20m","SPRINGHILL",NA,"Laois","21",NA,"Poor",NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/LAO 1974",NA,NA
"9","2017NEW051",NA,NA,"Spring",0.9,NA,"DTB Unknown",NA,226140,181290,"to 20m","KILLADOOLEY",NA,"Laois","28","Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2017NEW052",NA,NA,"Spring",1.2,NA,"DTB Unknown",NA,226170,181470,"to 20m","KILLADOOLEY",NA,"Laois","28","Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
