"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2025NEW009",NA,"ARDAGH GWS","Borehole",NA,NA,"DTB Unknown",NA,219240,268350,"to 10m","ARDAGH",NA,"Longford",19,"Group Scheme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2025NEW010",NA,"MOYDOW GWS","Borehole",NA,NA,"DTB Unknown",NA,216720,269020,"to 10m","MOYDOW",NA,"Longford",19,"Group Scheme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2025NWW115",NA,"KEENAGH WSS","Borehole",NA,NA,"DTB Unknown",NA,213980,262420,"to 10m","KEENAGH",NA,"Longford",22,"Public supply (Co Co)",NA,NA,NA,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2025NWW116","BH1","ESB","Borehole",4.9,4.9,"Bedrock Presumed",NA,201600,269750,"to 10m","CLOONBONY","Lanesborough","Longford",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shell/auger",NA,NA
"5","2025NWW117","BH2R","ESB","Borehole",12.5,5.4,"Bedrock Met",NA,201260,269600,"to 10m","AGHAMORE","Lanesborough","Longford",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rotary cored; Shell/auger BH2 nearby",NA,"Field k value 9.32 x 10-5 m/s (5.5-9m)"
"6","2025NWW118","BH3R","ESB","Borehole",15.5,9.2,"Bedrock Met",NA,201410,269850,"to 10m","CLOONBONY","Lanesborough","Longford",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rotary; Shell/auger BH3 nearby",NA,"Field k value 1.35 x 10-4 m/s (9.2-10.2m)"
"7","2025NWW119","BH4R","ESB","Borehole",14,9.1,"Bedrock Met",NA,201170,269940,"to 10m","CLOONBONY","Lanesborough","Longford",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rotary; Shell/auger BH4 nearby",NA,"Field k value 9 x 10-5 m/s (10.04-10.5m)"
"8","2025NWW120","BH5","ESB","Borehole",11,11,"Bedrock Presumed",NA,201140,269860,"to 10m","AGHAMORE","Lanesborough","Longford",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shell/auger",NA,NA
"9","2025NWW121","BH6R","ESB","Borehole",24.5,19.2,"Bedrock Met",NA,201090,269710,"to 10m","AGHAMORE","Lanesborough","Longford",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rotary; Shell/auger BH6 nearby",NA,"Field k value 1.19 x 10-6 m/s (21.5-24.5m)"
"10","2025NWW122","BH7","ESB","Borehole",6.8,6.8,"Bedrock Presumed",NA,201080,269620,"to 10m","AGHAMORE","Lanesborough","Longford",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shell/auger",NA,NA
