"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2629SEW300",NA,NA,"Borehole",43,1.8,"Bedrock Met",1973-06-20,289290,299820,"to 1km","CARRICKAVALLAN",NA,"Louth",10,NA,"Poor",NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/LTH 116","NERDO REPORT 1981",NA
"2","2927NEW001",NA,NA,"Borehole",12.2,NA,"DTB Unknown",NA,314170,289440,"to 1km","PORT",NA,"Louth",19,"Agri & domestic use","Good",NA,109.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"  > 109.1 m3/d"
"3","2927NEW002",NA,NA,"Borehole",24.1,NA,"DTB Unknown",NA,314170,289380,"to 1km","PORT",NA,"Louth",19,"Agri & domestic use","Good",NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," yield > 109.1 m3/d"
"4","2927NEW066","2982",NA,"Borehole",97.5,0.9,"Bedrock Met",2001-08-07,306800,281810,"to 1km","BROWNSTOWN",NA,"Louth",21,"Domestic use only","Poor",NA,3.3,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"Drilled by Dunnes, Dundalk",NA,"Date 1/10/1965"
"5","2927SEW072","2011",NA,"Borehole",115.8,2.4,"Bedrock Met",1999-08-19,307100,279670,"to 1km","TULLYESKAR",NA,"Louth",21,"Domestic use only","Poor",NA,3.3,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"Drilled by Dunnes, Dundalk",NA,"Date Dec-1968"
"6","2929NEW022",NA,NA,"Unknown",24.9,NA,"Bedrock Not Met",NA,319700,306440,"to 1km","ARDTULLY BEG",NA,"Louth",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2929NEW029",NA,NA,"Dug well",6.7,3.1,NA,NA,316730,306510,"to 1km","CASTLETOWNCOOLEY",NA,"Louth",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2929NEW066",NA,NA,"Borehole",28,9.1,"Bedrock Met",NA,314000,306800,"to 1km","RAMPARK",NA,"Louth",8,NA,"Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Driller Dunnes, Dromiskin",NA,NA
"9","2929NEW106",NA,NA,"Borehole",35.1,NA,"Bedrock Not Met",2001-11-30,316990,306350,"to 1km","RIVERSTOWN",NA,"Louth",8,"Domestic use only","Good",NA,109,NA,NA,NA,NA,203,NA,NA,NA,NA,NA,"Drilled by Dunnes, Dundalk",NA,"Yield estimated"
"10","2929NWW111",NA,NA,"Borehole",18.9,5.6,NA,NA,300340,309600,"to 1km","DEERPARK",NA,"Louth",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2929NWW114",NA,NA,"Dug well",6.1,2.7,NA,NA,290550,301840,"to 1km","CORCREEGHAGH",NA,"Louth",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2929NWW115",NA,NA,"Dug well",2.4,0.9,NA,NA,293760,300820,"to 1km","HOARSTONE",NA,"Louth",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2929NWW118",NA,NA,"Dug well",4.3,1.8,NA,NA,292940,301870,"to 1km","RAVANNY",NA,"Louth",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2929NWW134",NA,NA,"Dug well",6.4,1.8,NA,NA,301670,306000,"to 1km","THOMASTOWN",NA,"Louth",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2929NWW135",NA,NA,"Dug well",1.8,1.2,NA,NA,304550,305420,"to 1km","PRIORLAND",NA,"Louth",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2929NWW155","NERDO L6/4A1",NA,"Borehole",21,6,"Bedrock Met",NA,300640,309960,"to 1km","KNOCKAGH",NA,"Louth",6,NA,"Poor",NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INFORMATION FROM THE NERDO REPORT 1981",NA
"17","2929NWW156","NERDO L6/4B1",NA,"Borehole",36,6,"Bedrock Met",NA,300400,309940,"to 1km","KNOCKAGH",NA,"Louth",6,NA,"Poor",NA,8.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INFORMATION FROM THE NERDO REPORT 1981",NA
"18","2929NWW157","NERDO L6/4C1",NA,"Borehole",27,6,"Bedrock Met",NA,300340,309970,"to 1km","KNOCKAGH",NA,"Louth",6,NA,"Poor",NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INFORMATION FROM THE NERDO REPORT 1981",NA
"19","2929NWW181","WTB/LTH 1005",NA,"Borehole",13.7,1,"Bedrock Met",1973-08-13,297470,307520,"to 1km","CARRICKROBIN","LOUTH","Louth",6,NA,"Poor",NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2929NWW182","WTB/LTH 997",NA,"Borehole",30,2.1,"Bedrock Met",1973-03-13,297450,309380,"to 1km","BARRONSTOWN","LOUTH","Louth",6,NA,"Poor",NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2929NWW183",NA,NA,"Borehole",30.5,4,"Bedrock Met",1971-06-16,290560,301890,"to 1km","CORCREEGHAGH","LOUTH","Louth",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2929NWW184","NERDO L7/1B",NA,"Borehole",6,6,NA,NA,301730,309890,"to 1km","KILLEN",NA,"Louth",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NERDO REPORT 1981",NA
"23","2929NWW258",NA,NA,"Borehole",24.4,NA,"DTB Unknown",NA,294830,309950,"to 1km","SHANMULLAGH",NA,"Louth",6,"Agri & domestic use","Good",NA,109.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2929SWW141",NA,NA,"Borehole",12.2,NA,"DTB Unknown",NA,296130,290800,"to 1km","ARDEE",NA,"Louth",17,"Unknown","Good",NA,130.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2931SEW001",NA,NA,"Borehole",45.7,5.5,"Bedrock Met",NA,308080,311490,"to 1km","PROLEEK",NA,"Louth",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
