"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","0527SEW001","MO WG 173",NA,"Borehole",51.8,1.2,"Bedrock Met",1999-08-15,75190,270900,"to 1km","CORRAGAUN","Louisburg","Mayo",96,"Agri & domestic use","Poor",NA,10.9,NA,NA,NA,NA,152,42.7,48.8,NA,NA,NA,"Drilled by Boland Bros, Enniscrone","From Killadoon P.O. travel approx 3 miles towards Silver Strand, cross small bridge, on RHS.","
Chemical data available"
"2","0825NEW003",NA,"Gaeltanna Eireann","Borehole",33.5,4.6,"Bedrock Met",NA,109450,269190,"to 1km","TRENLAUR","Tourmakeady","Mayo",109,"Agri & domestic use","Failure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA
"3","0833SEW001",NA,NA,"Dug well",2.4,NA,"DTB Unknown",NA,103410,339070,"to 1km","BEHY","Belderg","Mayo",6,"Agri & domestic use","Good",NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,"Date of test Sept 1972"
"4","1125NEW013",NA,"Charlestown Wss","Spring",NA,NA,NA,NA,129670,266130,"to 1km","BUSHFIELD","Lisnamoyle","Mayo",110,"Public supply (Co Co)","Intermediate Spring",NA,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Info from Public Supplies in Co. Mayo 02-07-02","The yield represents half of the amount it used to supply"
"5","1125NWW002","WTB/MYO/492 and WTB/MYO/508",NA,"Borehole",20.7,2.4,"Bedrock Met",NA,122490,263210,"to 1km","CARROWKEEL","Ballinrobe","Mayo",118,"Agri & domestic use","Good",NA,109.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Joint work between Carrowkeel and Ballytrasna","Oct 1966 info arrived, yield taken May 1965"
"6","1127NEW004",NA,NA,"Unknown",45.7,NA,"DTB Unknown",NA,126380,283140,"to 1km","ARDBOLEY","Balla","Mayo",90,"Agri & domestic use","Good",NA,109,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,"unknown",NA,NA
"7","1127NWW001",NA,NA,"Borehole",29.9,3.7,"Bedrock Met",1971-05-01,123950,282740,"to 1km","BROWNHALL","Ballycarra","Mayo",90,"Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA
"8","1129SEW001",NA,NA,"Borehole",19.8,13.7,"Bedrock Met",NA,133440,292430,"to 1km","KILLEDAN",NA,"Mayo",71,"Domestic use only","Good",NA,130.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","infront of dwelling house","Excellent spring at 15.24m, good quality water"
"9","1129SEW003","MO WG 262",NA,"Borehole",79.3,13.7,"Bedrock Met",2001-08-15,136420,290050,"to 1km","CARRICK","Kiltimagh","Mayo",80,"Agri & domestic use","Poor",NA,10.9,NA,NA,NA,NA,152,54.9,67.1,73.2,NA,NA,"Drilled by Patrick Briody, Rathangan",NA,"Estimated Yield; cham. data available"
"10","1131NWW001","ILC 675","Land Commission","Borehole",11.1,3.1,"Bedrock Met",NA,120950,328860,"to 1km","MEELICK","Killala","Mayo",22,"Agri & domestic use","Moderate","II",27.3,NA,NA,NA,108,NA,6.1,NA,NA,NA,NA,"unknown",NA,"bailing @ 98.2m3/d, failed to lower water level past 4.6m. Jan 1960"
