"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2323NEW002",NA,NA,"Dug well",4.6,NA,"Bedrock Not Met",NA,256300,240600,"to 1km","KILKEERAN",NA,"Meath",46,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wtb/mth 2273",NA,NA
"2","2323NEW003",NA,NA,"Dug well",6.7,NA,"Bedrock Not Met",NA,255500,241400,"to 1km","BALTINORAN",NA,"Meath",46,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2323NEW006",NA,NA,"Dug well",7.6,NA,"Bedrock Not Met",1962-03-01,259700,244550,"to 1km","ROSSAN",NA,"Meath",46,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2327NEW002",NA,NA,"Borehole",39.6,4.9,"Bedrock Met",NA,249200,280250,"to 1km","BALLINRINK",NA,"Meath",8,NA,"Moderate",NA,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2327NEW004",NA,NA,"Borehole",22.9,4.9,"Bedrock Met",1971-06-05,256000,280550,"to 1km","OLDCASTLE",NA,"Meath",9,NA,"Moderate",NA,49.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MTH 2470",NA,NA
"6","2327NEW005",NA,NA,"Dug well",3.7,NA,"Bedrock Not Met",1971-10-11,258550,280650,"to 1km","BOOLIES",NA,"Meath",9,"Domestic use only","Moderate",NA,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2327NEW006",NA,NA,"Borehole",122,8.5,"Bedrock Met",1966-02-01,255250,280250,"to 1km","OLDCASTLE",NA,"Meath",9,NA,"Moderate",NA,65.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NO INCREASE IN WATER FROM 45.7M
Driller Barham Bros.",NA,NA
"8","2327NEW007",NA,NA,"Borehole",12.2,6.1,"Bedrock Met",1972-01-22,250850,280150,"to 1km","BALLYNACREE",NA,"Meath",8,"Domestic use only","Poor",NA,26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2327SEW006",NA,NA,"Borehole",38.7,3,"DTB Unknown",1958-11-01,254500,278050,"to 1km","CROSSDRUM UPPER",NA,"Meath",9,NA,"Failure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drift lined 3.05m.",NA,NA
"10","2327SEW007","ILC 602","LAND COMMISSION, Harman Estate","Borehole",45.7,8.5,"Bedrock Met",1960-03-01,256450,278600,"to 1km","DRUMSAWRY",NA,"Meath",9,"Agri use only","Poor",NA,25.1,NA,NA,NA,NA,NA,12.2,NA,NA,NA,NA,NA,NA,NA
"11","2327SEW008",NA,NA,"Dug well",3,3,"Bedrock Presumed",1973-06-06,252400,274800,"to 1km","MURRENS",NA,"Meath",14,"Domestic use only","Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MTH 2652.",NA,NA
"12","2327SEW009",NA,"MEATH CO. CO.","Borehole",37.8,6,"Bedrock Met",1950-10-01,252550,273000,"to 1km","BALLANY",NA,"Meath",14,"Domestic use only","Poor",NA,6.5,NA,NA,NA,NA,165,NA,NA,NA,NA,NA,"6.54 m3/day at 19m.
Dublin Drilling Co.",NA,NA
"13","2327SEW010",NA,NA,"Borehole",21.3,3.7,"Bedrock Met",1972-06-07,258300,272350,"to 1km","GALMOYSTOWN",NA,"Meath",15,"Domestic use only","Moderate",NA,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MTH 2032.",NA,NA
"14","2327SEW011","ILC 687","LAND COMMISSION.","Borehole",17.1,NA,"Bedrock Not Met",1961-08-01,259850,271450,"to 1km","PIGOTSTOWN",NA,"Meath",15,NA,"Moderate",NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC Well no. 687.",NA,NA
"15","2327SEW012",NA,NA,"Dug well",1.8,0.6,"Bedrock Met",1968-07-01,256200,276950,"to 1km","MULLAGH",NA,"Meath",15,NA,"Poor",NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2327SEW013",NA,"MEATH CO. CO.","Dug well",7,NA,"Bedrock Not Met",1962-09-01,255750,274700,"to 1km","DRUMONE",NA,"Meath",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Polluted and unstisfactory.",NA,NA
