"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2331NEW149","BH 2","CLONES CO-OP DAIRY SOC. LTD.","Borehole",21.3,5.6,"Bedrock Met",1930-05-01,249900,326840,"to 100m","LISEGGERTON",NA,"Monaghan",11,"Industrial use","Poor",NA,16.4,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"yield not recorded","location taken as Creamery site on 6"" map",NA
"2","2331NEW150","BH 1","CLONES CO-OP DAIRY SOC. LTD.","Borehole",36.3,6.7,"Bedrock Met",1930-02-01,249890,326850,"to 100m","LISEGGERTON",NA,"Monaghan",11,"Industrial use","Moderate",NA,43.6,NA,NA,NA,NA,178,NA,NA,NA,NA,NA,NA,"location taken as Creamery site on 6"" map",NA
"3","2331SEW039",NA,"Coolnacarte GWS","Borehole",91.4,30.5,"Bedrock Met",1997-06-19,247840,319140,"to 100m","DRUMAVEALE",NA,"Monaghan",16,"Group Scheme","Good",NA,218,NA,NA,NA,NA,127,30.5,58,NA,NA,NA,"Drilled by Dunnes, Dundalk",NA,"Plastic casing. water @30.5m  (109m3day) and 58m (218 to 327m3day)."
"4","2629SEW121","BH-5",NA,"Borehole",15.2,8.7,"Bedrock Met",1989-04-15,289140,298120,"to 100m","DRUMGEENY",NA,"Monaghan",34,NA,"Poor",NA,11,NA,NA,NA,NA,150,13.7,NA,NA,NA,NA,"Drilled by Dunnes, Dundalk",NA,"STEEL CASING"
"5","2629SEW148","BH-2",NA,"Borehole",15.2,6.1,"Bedrock Met",NA,289140,298120,"to 100m","DRUMGEENY",NA,"Monaghan",34,NA,"Moderate",NA,56,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,"Drilled by Dunnes, Dundalk",NA,"0-6.1m Steel casing, 0-3m & 9-15.2m plain Wavin,"
"6","2629SEW149","BH-3",NA,"Borehole",15.2,4.3,"Bedrock Met",1989-04-15,289150,298110,"to 100m","DRUMGEENY",NA,"Monaghan",34,NA,"Moderate",NA,44,NA,NA,NA,NA,150,4.3,NA,NA,NA,NA,"Drilled by Dunnes, Dundalk",NA,"0-6.1m steel casing, 0-3.1 & 9 -15.2m plain Wavin , 3.1- 9m Slotted Wavin"
"7","2629SEW150","BH-4",NA,"Borehole",15.2,1.6,"Bedrock Met",1989-04-15,289130,298100,"to 100m","DRUMGEENY",NA,"Monaghan",34,NA,"Poor",NA,6.5,NA,NA,NA,NA,150,12.2,NA,NA,NA,NA,"Drilled by Dunnes, Dundalk",NA,"STEEL CASING"
"8","2629SEW506","TW 12","Kingscourt Regional Supply","Borehole",135,8.8,"Bedrock Met",1998-01-01,282450,297050,"to 100m","DESCART",NA,"Monaghan",34,"Public supply (Co Co)","Excellent",NA,500,NA,NA,NA,NA,250,16,125,NA,NA,NA,NA,NA,NA
"9","2629SEW507","TW 13","Kingscourt Regional Water Supply","Borehole",19.2,8.8,"Bedrock Met",1998-01-01,282460,296970,"to 100m","DESCART",NA,"Monaghan",34,"Public supply (Co Co)","Excellent",NA,800,NA,NA,NA,NA,300,6,10,NA,NA,NA,NA,NA,"well designed to investigate GW supply in shallow red Sst     supported by gravels"
"10","2631NEW103","448",NA,"Borehole",85.3,9.1,"Bedrock Met",1997-05-28,288230,324750,"to 100m","ALSMEED",NA,"Monaghan",20,NA,"Poor",NA,16.3,NA,NA,NA,NA,152,24.4,30.5,NA,NA,NA,"Drilled by Dunnes, Dundalk",NA,"Water entry @ 24.4 to 30.5 m; 15.1m steel, 85.3m PVC casing. Yield estimated"
