"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","1427SEW001",NA,NA,"Dug well",1.8,NA,"DTB Unknown",1971-06-01,157450,279990,"to 1km","CLOONLOUGH",NA,"Roscommon",25,"Unknown","Moderate",NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1427SEW002",NA,NA,"Dug well",3.7,2.1,NA,NA,158370,276900,"to 1km","BALLINLOUGH",NA,"Roscommon",25,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1427SEW003",NA,NA,"Borehole",50.9,19.8,NA,1972-04-08,155020,274680,"to 1km","GRANGE",NA,"Roscommon",25,"Unknown","Poor",NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1427SEW008",NA,NA,"Dug well",4.3,3.1,"Bedrock Met",1973-07-15,166320,278230,"to 1km","CLOONTRASK",NA,"Roscommon",26,"Agri & domestic use","Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/ROS 2310",NA,NA
"5","1427SEW009",NA,NA,"Unknown",NA,3,NA,1961-03-01,158380,276850,"to 1km","BALLINLOUGH",NA,"Roscommon",25,"Unknown","Poor",NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1427SEW011",NA,"ROSCOMMON CO.CO.","Borehole",45.7,NA,"DTB Unknown",NA,162900,275170,"to 1km","CREGGAMEEN",NA,"Roscommon",26,"Public supply (Co Co)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1427SEW012",NA,"ROSCOMMON CO.CO.","Borehole",38.1,NA,"DTB Unknown",NA,169850,275360,"to 1km","ADRAGOOL",NA,"Roscommon",27,"Public supply (Co Co)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1427SEW014",NA,NA,"Dug well",3.7,NA,"DTB Unknown",1971-09-15,158260,273800,"to 1km","DERRYVUNG",NA,"Roscommon",32,"Agri & domestic use","Poor",NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/ROS 1780",NA,NA
"9","1427SEW015",NA,NA,"Borehole",15.2,3.1,"Bedrock Met",1961-03-01,157380,273450,"to 1km","MILLTOWN",NA,"Roscommon",32,"Agri & domestic use","Good",NA,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by Kelly & Bennett",NA,NA
"10","1427SEW016",NA,"ROSCOMMON CO CO","Borehole",28.4,NA,"DTB Unknown",NA,156650,271640,"to 1km","RATHLENA",NA,"Roscommon",32,"Public supply (Co Co)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1427SWW001",NA,NA,"Borehole",26.5,23.5,"Bedrock Met",1971-09-26,152910,272070,"to 1km","CURRAGH",NA,"Roscommon",32,"Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1427SWW002",NA,NA,"Borehole",68.6,8.5,"Bedrock Met",1970-03-15,153280,273200,"to 1km","ATTISHANE",NA,"Roscommon",32,"Agri & domestic use","Poor",NA,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MYO 1829 (?!)",NA,NA
