"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","1433SEW010",NA,"Beltra GWS","Spring",NA,NA,NA,NA,157620,331090,"to 10m","CARROWGILPATRICK",NA,"Sligo",19,"Group Scheme","Intermediate Spring",NA,1000,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1433SEW011","Tobernaveen",NA,"Spring",NA,NA,NA,NA,166620,334890,"to 10m","TOBERNAVEEN",NA,"Sligo",14,NA,"Intermediate Spring",NA,1120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"From Honor Chance's Thesis 2005: named on OS 6"" shhet",NA
"3","1729NWW265","ROBH129",NA,"Borehole",3.8,3.8,"Bedrock Not Met",2001-10-09,174740,300300,"to 10m","LISSERLOUGH",NA,"Sligo",9,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1729NWW505","Tober Mania",NA,"Spring",NA,NA,NA,NA,178090,309680,"to 10m","AGHANAGH",NA,"Sligo",40,NA,"Intermediate Spring",NA,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"From Honor Chance's Thesis 2005: named on OS 6"" sheet",NA
"5","1729SWW501","ROBH128",NA,"Borehole",3.6,3.6,"Bedrock Presumed",2001-10-09,176790,297660,"to 10m","GRANGE MORE",NA,"Sligo",18,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1731SWW004","Toberacoll",NA,"Spring",NA,NA,NA,NA,172030,310490,"to 10m","GREENAN",NA,"Sligo",40,NA,"Intermediate Spring",NA,1640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"From Honor Chance's Thesis 2005: named on OS 6"" sheet",NA
"7","1731SWW005","Tober Cormac",NA,"Spring",NA,NA,NA,NA,170180,312630,"to 10m","TONAPONRA",NA,"Sligo",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"From Honor Chance's Thesis 2005: named on OS 6"" sheet",NA
"8","1731SWW006","Tobercyach",NA,"Spring",NA,NA,NA,NA,181090,317490,"to 10m","RANNATRUFFAUN WEST",NA,"Sligo",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"From Honor Chance's Thesis 2005: named on OS 6"" sheet",NA
"9","1731SWW007","Tober Patrick/Murry/Bride",NA,"Spring",NA,NA,NA,NA,175570,314300,"to 10m","CLOGHOGE UPPER",NA,"Sligo",34,NA,"Intermediate Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Honor Chance's Thesis 2005; 3 springs named on OS 6"" sheet",NA
"10","1733SWW015","Tobar an Aillt (Toberanalt)",NA,"Spring",NA,NA,NA,NA,170950,332870,"to 10m","AGHAMORE NEAR",NA,"Sligo",14,NA,"High Spring",NA,5000,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,NA,"From Honor Chance's Thesis 2005",NA
"11","1429NEW501",NA,NA,"Spring",2.8,4.9,NA,1981-02-22,165670,300490,"to 20m","CLOGHER",NA,"Sligo",46,"Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1429SEW501",NA,NA,"Borehole",54.9,54.9,NA,1981-02-21,166400,298780,"to 20m","CLOGHER",NA,"Sligo",46,"Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1429SEW502",NA,NA,"Borehole",30.5,17,"Bedrock Presumed",NA,168760,298240,"to 20m","LOMCLOON",NA,"Sligo",46,NA,"Poor","IV",17.5,NA,NA,3.54,4.93,152,NA,NA,NA,NA,NA,"Drilled by Weldon Mather
DtB inferred from casing depth",NA,"85 minute pump test"
"14","1429SEW503",NA,NA,"Borehole",36.6,12.8,NA,NA,168420,298650,"to 20m","TAWNYMUCKLAGH",NA,"Sligo",46,"Agri & domestic use","Poor",NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1429SEW504",NA,NA,"Borehole",19.5,9,"Bedrock Presumed",NA,169200,298090,"to 20m","LOMCLOON",NA,"Sligo",46,"Agri & domestic use","Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DtB inferred from casing depth",NA,NA
"16","1429SEW505",NA,NA,"Borehole",19.5,9,"Bedrock Presumed",NA,169060,298080,"to 20m","LOMCLOON",NA,"Sligo",46,"Agri & domestic use","Good",NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DtB inferred from casing depth",NA,"large yield according to driller"
"17","1429SEW506",NA,"ST. ATTRACTA'S WELL","Spring",0.9,NA,NA,NA,166680,298860,"to 20m","CLOGHER",NA,"Sligo",46,"Agri & domestic use","Intermediate Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"good flow - never goes dry
Quite limely"
"18","1729NWW501",NA,NA,"Borehole",15.1,18.3,NA,NA,172970,302830,"to 20m","CLOONLOOGH",NA,"Sligo",45,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1729NWW502",NA,NA,NA,21.5,22.9,NA,NA,173090,302590,"to 20m","CLOONLOOGH",NA,"Sligo",45,"Agri & domestic use","Poor",NA,10.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Steel Casing, Max Safe yield: 
32.7m3/day"
"20","1729NWW503",NA,NA,"Borehole",33.5,NA,NA,NA,173920,302520,"to 20m","STONEPARK",NA,"Sligo",45,"Agri & domestic use","Failure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Goes dry - not adequate to supply house an d farm"
"21","1729NWW504",NA,NA,"Borehole",11.3,12.2,NA,NA,174620,302410,"to 20m","CLOONLOOGH",NA,"Sligo",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1733SWW014",NA,NA,"Borehole",27.4,12.2,"Bedrock Met",2001-06-15,177330,335470,"to 20m","CORWILLICK",NA,"Sligo",15,"Agri & domestic use","Poor",NA,4.4,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"Drilled by Pat Dullea, Donegal",NA,"Steel Casing, Max Safe yield: 
32.7m3/day"
"23","1133SEW003",NA,NA,"Borehole",NA,3,"Bedrock Met",1962-12-03,138980,337320,"to 50m","KILLEENDUFF",NA,"Sligo",11,"Unknown","Moderate",NA,65.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNKNOWN","location marked on site map included in folder,school site","good quality water"
"24","1429NEW502",NA,NA,"Borehole",21.9,6,"Bedrock Met",NA,169410,302140,"to 50m","MOYGARA",NA,"Sligo",44,NA,"Moderate","III",87.2,NA,NA,NA,21.8,NA,6.5,NA,NA,NA,NA,NA,NA,NA
"25","1431NEW001",NA,"SLIGO U.D.C","Borehole",61.6,3,"Bedrock Met",1974-07-21,167010,328790,"to 50m","BALLYSADARE",NA,"Sligo",20,"Other",NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,"info from report on  groundwater potential around Sligo by E. Daly",NA
"26","1431NEW002",NA,"GSI Exploratory Drilling near Sligo town","Borehole",49.2,4.6,"Bedrock Met",1974-08-09,167950,329420,"to 50m","BALLYSADARE","KNOXPARK","Sligo",20,"Other",NA,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"only small trickle of water was met in BH.
Geophysical log taken","Unused lmst quarry to east of Ballysadare",NA
"27","1433NEW001",NA,"GSI Exploratory Drilling near Sligo town","Borehole",60.1,4.9,"Bedrock Met",1974-07-23,168850,340920,"to 50m","TULLY","RATHCORMACK","Sligo",8,"Other",NA,NA,NA,NA,NA,NA,NA,152,6.4,47.9,57,NA,NA,"n/a",NA,"well surged at 400gph after drilling"
"28","1433NEW002",NA,"GSI Exploratory Drilling near Sligo town","Borehole",57,6.7,"Bedrock Met",1974-07-30,169850,342000,"to 50m","CLOONMULL","RATHCORMACK","Sligo",8,"Other",NA,NA,NA,NA,NA,NA,NA,152,20,43.6,50.3,NA,NA,NA,NA,"yields from surging 218m/d - 327m3/d. 
estimated yeild 272.5m3/d
possible collapse of walls below casing."
"29","1433NEW003",NA,"GSI Exploratory drilling near Sligo Town","Borehole",20.7,6.7,"Bedrock Met",1974-07-25,167470,345510,"to 50m","GORTAROWEY",NA,"Sligo",5,"Other",NA,NA,NA,NA,NA,NA,NA,NA,11.6,14,19.5,NA,NA,"geophysical log run in aug 1974, yield 32.7m3/d","Bh located in an elevated site just under Benbulben","perched water table in gravel,shut off by casing, yield estimated at 32.7m3/d"
"30","1433NEW005",NA,NA,"Borehole",21.3,15.2,"Bedrock Met",NA,167390,343340,"to 50m","CULLAGH BEG",NA,"Sligo",8,"Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,"UNKNOWN","Location from site map on well card","sept 1979, rotary drill, stinks of Iron with iron stains left behind. Good quality of supply, but not ""nice"" water"
"31","1433NEW006",NA,NA,"Borehole",25,12.2,"Bedrock Met",NA,167370,343490,"to 50m","CULLAGHBEG",NA,"Sligo",8,"Agri & domestic use","Moderate",NA,76.3,NA,NA,NA,NA,NA,12.2,NA,NA,NA,NA,"UNKNOWN","location from large well card","Rotary drill on June 1979. Water quality very clear and contains small sandy particles."
"32","1433SEW007",NA,NA,"Borehole",31.2,1.2,"Bedrock Met",1974-07-14,163600,333690,"to 50m","GRANGE WEST","GRANGE HOUSE","Sligo",14,"Other",NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,"Info from report on Groundwater Potential around Sligo town by E. Daly 1975","no water yield, casing pulled out."
"33","1433SEW008",NA,"GSI - EXPLORATORY DRILLING NEAR SLIGO TOWN","Borehole",46.2,1.5,"Bedrock Met",1974-07-23,168760,332020,"to 50m","CARRICKHENRY",NA,"Sligo",20,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"layby on Sligo to Ballysadare road","no water encountered, failed well"
"34","1433SWW005",NA,"Sligo Co. Co.","Borehole",9.1,NA,"DTB Unknown",NA,151280,334410,"to 50m","LONGSTREET","Templeboy","Sligo",12,"Agri & domestic use","Poor",NA,27.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","1433SWW006",NA,NA,"Borehole",39.6,10.7,"Bedrock Met",2000-11-15,143660,331010,"to 50m","BELVILLE",NA,"Sligo",18,"Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,229,NA,NA,NA,NA,NA,"Drilled by Michael McGowan
",NA,"4 hr test"
"36","1731NWW001",NA,NA,"Unknown",2,NA,"Bedrock Not Met",2001-01-17,172080,327680,"to 50m","BALLYGAWLEY","CASTLEDARGAN HOUSE","Sligo",21,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNKNOWN","Location from site map","water ingress at 0.7m"
