"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","1415NEW121","250/134",NA,"Borehole",NA,NA,NA,NA,168240,164510,"to 100m","GOOIG",NA,"Tipperary",31,"Industrial use",NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aPPROX 600 YRDS FROM TILE FACTORY BLG, ADJ TO MAIN NENAGH RD.",NA
"2","1711NEW006",NA,NA,"Borehole",24.4,3.1,"Bedrock Met",1971-06-01,198400,121500,"to 100m","BOHERNARNANE",NA,"Tipperary",91,"Group Scheme","Good","III",240,NA,NA,7.6,31.6,NA,NA,NA,NA,NA,NA,"Probably Kiltorcan Sandstone",NA,"72 hr test"
"3","1715NEW041","Upperchurch WSS","NORTH TIPPERARY COUNTY COUNCIL PUMP","Borehole",39.6,28.6,"Bedrock Met",1954-04-30,198740,161270,"to 100m","CAPPANALEIGH","Upperchurch","Tipperary",40,"Public supply (Co Co)","Good",NA,136.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lined 35 m with 130 mm liners",NA,NA
"4","1715NEW096","245/145","UPPERCURCH CREAMERY","Borehole",NA,NA,NA,NA,199000,160610,"to 100m","GORTNASKEHY",NA,"Tipperary",40,"Industrial use",NA,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COOLEENDUFF BR. IN YARD. ON THURLES SIDE OF BRG.",NA
"5","1715NEW114","PW473",NA,"Borehole",36.6,20.4,"Bedrock Met",2000-09-15,188810,168960,"to 100m","BARNAGORE","DOLLA","Tipperary",33,NA,"Moderate","IV",46.91,NA,NA,NA,NA,152,29.6,NA,NA,NA,NA,NA,NA,NA
"6","1715NEW115",NA,NA,"Borehole",79.2,2.7,"Bedrock Met",2000-08-12,186070,169950,"to 100m","LISNAGEENLY",NA,"Tipperary",26,NA,"Poor","IV",21.8,NA,NA,NA,1.13,152,57.9,NA,NA,NA,NA,NA,NA,NA
"7","1715NWW072",NA,NA,"Borehole",68.6,18.3,NA,1999-08-10,174780,164670,"to 100m","KILMACOGUE",NA,"Tipperary",31,"Agri & domestic use","Moderate","V",43.6,NA,NA,51.8,0.84,152,51.8,61,NA,NA,NA,NA,NA,"PT=72hrs, estimated max.safe yield=38.2 m3/day"
"8","1715NWW079","253/153","KNOCKFUNE CREAMERY, NEWPORT","Spring",NA,NA,NA,NA,183300,163120,"to 100m","KNOCKFUNE",NA,"Tipperary",32,"Industrial use","Low Spring",NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SIDE OF KNOCKFUNE HILL, 0.5ML N.E. OF CREAMERY",NA
"9","1715NWW080","252/134","ROSSAGUILE CREAMERY, NEWPORT","Borehole",NA,NA,NA,NA,177220,169510,"to 100m","KNOCKMEALE",NA,"Tipperary",26,NA,"Poor",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AT REAR OF CREAMERY. COOLING WATER",NA
"10","1715SEW045","PW525",NA,"Borehole",53.3,9.1,"Bedrock Met",2001-11-20,197300,159800,"to 100m","SHEVRY","Upperchurch","Tipperary",40,"Domestic use only","Moderate","III",43.6,NA,NA,1.52,28.7,152,NA,NA,NA,NA,NA,"Hollyford Formation (from map)
recorded as 'limestone' (!) Subsoil 'red clay'",NA,NA
"11","1717NEW100","232/134",NA,"Borehole",NA,NA,NA,NA,191220,183480,"to 100m","GRAIGUE",NA,"Tipperary",15,"Industrial use",NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BESIDE CLUBHOUSE","NO TREATMENT, FOR GOLFCLUB GREENS AND CLUB HOUSE"
"12","1717NEW101","135/230",NA,"Borehole",NA,NA,NA,NA,198230,181640,"to 100m","CARROWEA",NA,"Tipperary",21,"Agri use only",NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ADJ TO PIGGERY",NA
