"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","1709NEW001",NA,NA,"Borehole",35.1,NA,"DTB Unknown",1969-08-01,195150,105530,"to within 1km","BALLYEAFY",NA,"Waterford",11,"Domestic use only","Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/WAT 1655",NA,NA
"2","1709NEW002",NA,NA,"Borehole",44.2,6.1,"Bedrock Met",1962-06-01,194390,105550,"to within 1km","BALLINALEUCRA",NA,"Waterford",11,"Domestic use only","Poor",NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/WAT 1037",NA,NA
"3","1709NEW003",NA,NA,"Borehole",34.7,3.1,"Bedrock Met",NA,191310,101500,"to within 1km","TOBERNAHULLA",NA,"Waterford",19,NA,"Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1709NEW004",NA,NA,"Borehole",17.4,NA,"DTB Unknown",NA,198980,102690,"to within 1km","REANACOOLAGH",NA,"Waterford",20,NA,"Poor",NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no rockhead data; WTB/WAT 1213
RED SANDSTONE",NA,NA
"5","1709NEW005",NA,NA,"Dug well",1.2,NA,"DTB Unknown",NA,195950,102150,"to within 1km","TOORNAGEEHA",NA,"Waterford",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no other data after depth",NA,NA
"6","1709NEW006",NA,NA,"Spring",0.3,NA,"DTB Unknown",NA,195710,101420,"to within 1km","BARRYSMOUNTAIN",NA,"Waterford",20,NA,"Low Spring",NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no other data after depth",NA,NA
"7","1709NEW007",NA,NA,"Borehole",33.2,6.1,"Bedrock Met",1971-08-19,199500,99500,"to within 1km","COOLISHAL",NA,"Waterford",20,NA,"Poor",NA,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/WAT 2055
LIMESTONE",NA,NA
"8","1709NEW008",NA,NA,"Borehole",21.3,3.7,"Bedrock Met",1963-05-11,199520,102760,"to within 1km","REANACOOLAGH",NA,"Waterford",20,NA,"Poor",NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/WAT 616, 1301
RED SANDSTONE",NA,NA
"9","1709NEW009",NA,NA,"Borehole",15.2,6.1,"Bedrock Met",1972-05-26,200410,103100,"to within 1km","REANACOOLAGH",NA,"Waterford",20,NA,"Moderate",NA,54.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/WAT 2116
sandstone",NA,NA
"10","1709NEW010",NA,NA,"Dug well",18.3,4.3,"Bedrock Met",NA,196800,101120,"to within 1km","KNOCKAUN",NA,"Waterford",20,NA,"Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIMESTONE",NA,NA
