"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2023NEW007","well 1",NA,"Borehole",13.7,NA,"DTB Unknown",NA,223800,242100,"to 100m","ROSEMOUNT",NA,"Westmeath",31,"Agri & domestic use","Good","I",221.5,NA,NA,NA,331,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2023NEW008"," well 2",NA,"Borehole",13.7,NA,"DTB Unknown",NA,223800,242000,"to 100m","BALLYBRICKOGE",NA,"Westmeath",31,"Agri & domestic use","Good","I",202,NA,NA,NA,351,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2023NEW016",NA,NA,"Borehole",79.2,7,"Bedrock Met",1998-05-01,221260,247090,"to 100m","MULLAGHMEEHAN",NA,"Westmeath",24,"Agri & domestic use","Poor","V",10.9,NA,NA,NA,0.45,150,60.9,NA,NA,NA,NA,NA,NA,NA
"4","2023NEW021",NA,NA,"Borehole",60.9,5.4,"Bedrock Met",1998-03-01,223310,248500,"to 100m","MULLAGHCLOE",NA,"Westmeath",23,"Agri & domestic use","Poor",NA,32.7,NA,NA,NA,NA,150,56.4,NA,NA,NA,NA,NA,NA,NA
"5","2023NEW025",NA,NA,"Borehole",76.2,3.6,"Bedrock Met",NA,221310,240540,"to 100m","BALLINDERRY",NA,"Westmeath",31,"Agri & domestic use","Poor",NA,16.4,NA,NA,NA,NA,150,68.6,NA,NA,NA,NA,NA,NA,NA
"6","2023NEW026",NA,NA,"Borehole",91.4,5.4,"Bedrock Met",1998-06-15,219080,243640,"to 100m","MOYVOUGHLY",NA,"Westmeath",30,"Agri & domestic use","Moderate",NA,43.6,NA,NA,NA,NA,150,59.4,NA,NA,NA,NA,NA,NA,NA
"7","2025NEW201",NA,NA,"Borehole",16.7,NA,"DTB Unknown",NA,225930,260300,"to 100m","BALLYNACARROW",NA,"Westmeath",10,"Agri & domestic use","Moderate","III",65.5,NA,NA,NA,21.5,150,16.8,NA,NA,NA,NA,NA,NA,NA
"8","2025SEW201","ILC 1446",NA,"Borehole",11.9,NA,"DTB Unknown",1968-11-24,225350,257450,"to 100m","BALLYMAGLAVY",NA,"Westmeath",10,"Agri & domestic use","Poor","III",24,NA,NA,NA,78.7,150,NA,NA,NA,NA,NA,NA,NA,"test date 16-nov-1968"
"9","2025SEW209",NA,NA,"Borehole",45.7,9.7,"Bedrock Met",1998-06-01,228720,259660,"to 100m","CHURCHTOWN",NA,"Westmeath",10,"Agri & domestic use","Poor","V",38.2,NA,NA,NA,1.79,150,39.6,NA,NA,NA,NA,NA,NA,NA
"10","2025SWW008",NA,NA,"Borehole",85.3,3.6,"Bedrock Met",2000-05-03,212190,250490,"to 100m","TULLYHOGAN",NA,"Westmeath",23,"Agri & domestic use","Poor","V",21.8,NA,NA,NA,0.89,150,67.1,NA,NA,NA,NA,NA,NA,"dd=24.38m"
