"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2609NEW001",NA,NA,"Borehole",61,0,"Bedrock Met",1969-08-01,279040,105320,"to within 1km","FETHARD",NA,"Wexford",50,"Agri & domestic use","Failure",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2609NEW002",NA,NA,"Borehole",12.8,0,"Bedrock Met",1977-08-22,278040,107460,"to within 1km","DUNGULPH",NA,"Wexford",45,"Agri use only","Good",NA,109.1,NA,NA,NA,NA,152,3.4,6.1,9.1,NA,NA,NA,NA,NA
"3","2611NEW001",NA,NA,"Borehole",13.1,1.5,"Bedrock Met",NA,276000,128270,"to within 1km","LACKEN",NA,"Wexford",29,"Agri & domestic use","Good",NA,109.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2611NEW002",NA,NA,"Borehole",45.7,18.3,"Bedrock Met",1965-02-01,287000,128510,"to within 1km","ADAMSTOWN",NA,"Wexford",29,"Agri & domestic use","Good",NA,130.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2611NEW003",NA,NA,"Borehole",16.2,10.1,"Bedrock Met",1966-10-01,287000,128460,"to within 1km","ADAMSTOWN",NA,"Wexford",31,"Agri & domestic use","Good",NA,109.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2611NEW006",NA,NA,"Borehole",24.4,2.1,"Bedrock Met",1969-09-01,279890,127210,"to within 1km","MILLQUARTER",NA,"Wexford",30,"Agri & domestic use","Good",NA,130.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Old Ross",NA
"7","2611NEW007",NA,NA,"Borehole",16.2,10.1,"Bedrock Met",1966-10-01,287000,128400,"to within 1km","ADAMSTOWN",NA,"Wexford",31,"Agri & domestic use","Good",NA,109.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2611NEW008",NA,NA,"Borehole",22.9,3.7,"Bedrock Met",1972-01-01,280580,125620,"to within 1km","MOORFIELDS",NA,"Wexford",35,"Agri & domestic use","Good",NA,109.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2611NEW009",NA,NA,"Borehole",17.1,7.3,"Bedrock Met",1966-01-01,281400,120060,"to within 1km","COOLBOY",NA,"Wexford",35,"Agri & domestic use","Good",NA,207.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2611NEW010",NA,NA,"Borehole",18.3,5.8,"Bedrock Met",1971-01-01,280000,124770,"to within 1km","BALLYNABOLA",NA,"Wexford",35,"Agri & domestic use","Good",NA,109.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2611NEW013",NA,NA,"Borehole",11.9,2.1,"Bedrock Met",1964-07-01,281520,122530,"to within 1km","BROWNSTOWN",NA,"Wexford",35,"Agri & domestic use","Good",NA,109.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2611NEW014",NA,NA,"Borehole",21,9.8,"Bedrock Met",1971-01-01,279890,127210,"to within 1km","OLD ROSS",NA,"Wexford",35,"Agri & domestic use","Good",NA,130.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2611NEW016",NA,"CAMACROSS GROUP SCHEME","Borehole",57.9,6.4,"Bedrock Met",1979-05-01,289000,125170,"to within 1km","CAMACROSS",NA,"Wexford",36,"Group Scheme","Good",NA,381.9,NA,NA,NA,NA,152,12.2,22.9,39.6,NA,NA,NA,NA,NA
"14","2611NWW201",NA,NA,"Borehole",27.7,3.1,"Bedrock Met",1967-07-01,269680,120720,"to within 1km","KILLOWEN",NA,"Wexford",34,"Agri & domestic use","Good",NA,109.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2611NWW202",NA,NA,"Borehole",31.4,4.6,"Bedrock Met",1978-10-04,273870,125900,"to within 1km","ARNESTOWN",NA,"Wexford",34,"Industrial use","Good",NA,218.2,NA,NA,NA,NA,152,7.9,18.3,27.4,NA,NA,NA,NA,NA
"16","2611NWW203",NA,NA,"Borehole",25.3,11,"Bedrock Met",1979-06-02,272190,127520,"to within 1km","NEW ROSS",NA,"Wexford",29,"Agri use only","Good",NA,109.1,NA,NA,NA,NA,NA,15.2,19.8,NA,NA,NA,NA,NA,NA
