"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2617NEW027",NA,NA,"Borehole",30.5,4.6,"Bedrock Met",1996-12-04,288760,187120,"to within 100m","NEWTOWNSAUNDERS",NA,"Wicklow",27,"Domestic use only","Moderate",NA,49.1,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"Q ESTIMATED BY DRILLER,DEPTH OF CASING > DEPTH TO ROCK; O'Donohue Bros",NA,NA
"2","2617NEW028",NA,NA,"Borehole",42.7,6,"Bedrock Met",1996-12-04,289000,187450,"to within 100m","NEWTOWNSAUNDERS",NA,"Wicklow",27,"Domestic use only","Moderate",NA,43.6,NA,NA,NA,NA,203,NA,NA,NA,NA,NA,"Q ESTIMATED BY DRILLER,DEPTH CASING > DTR,WELL FULLY LINED; O'Donohue Bros",NA,NA
"3","2617NEW029",NA,NA,"Borehole",30.5,NA,"DTB Unknown",1996-09-01,289750,186750,"to within 100m","WOODFIELD",NA,"Wicklow",27,"Domestic use only","Good",NA,327,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"Q ESTIMATED BY DRILLER, O'Donohoe Bros
Lot of broken rock",NA,NA
"4","2617NEW031",NA,NA,"Borehole",18.3,10.7,"Bedrock Met",1996-01-01,286740,189860,"to within 100m","RAHEEN",NA,"Wicklow",27,"Domestic use only","Poor",NA,32.7,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"Q ESTIMATED BY DRILLER,DEPTH OF CASING>DTR, HIGH FE; O'Donohoe Bros",NA,NA
"5","2619SEW037",NA,NA,"Borehole",30.5,NA,"Bedrock Not Met",1996-01-01,284470,196330,"to within 100m","GRANGECON ROCKS",NA,"Wicklow",20,"Domestic use only","Poor",NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q ESTIMATED BY DRILLER,DEPTH CASING>DTR, 4.5-6.0M OF GRAVEL",NA,NA
"6","2619SEW038",NA,NA,"Borehole",15.2,NA,"DTB Unknown",1996-01-01,286620,190280,"to within 100m","RAHEEN",NA,"Wicklow",27,"Domestic use only","Poor",NA,21.8,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"Q ESTIMATED BY DRILLER,DEPTH CASING>DTR,AREA HAS HIGH FE",NA,NA
"7","2619SEW039",NA,NA,"Borehole",31,NA,"DTB Unknown",1996-01-01,284560,196040,"to within 100m","GRANGECON UPPER",NA,"Wicklow",20,"Domestic use only","Poor",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q ESTIMATED BY DRILLER, DEPTH OF CASING > DEPTH TO ROCK",NA,NA
"8","2619SEW040",NA,NA,"Borehole",97.5,NA,"DTB Unknown",1995-01-01,284360,195340,"to within 100m","GRANGECON",NA,"Wicklow",20,"Domestic use only","Poor",NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q ESTIMATED BY DRILLER, DEPTH OF CASING > DEPTH TO ROCK",NA,NA
"9","2915NWW045",NA,NA,"Borehole",91.4,4.5,"Bedrock Met",1996-12-04,298560,168100,"to within 100m","BALLARD",NA,"Wicklow",43,"Domestic use only","Poor",NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WELL FULLY LINED,DEPTH CASING GREATER THAN DEPTH TO ROCK",NA,NA
"10","2915NWW049",NA,NA,"Borehole",91.4,NA,"DTB Unknown",1996-01-01,296620,169710,"to within 100m","BALLYMARROGE",NA,"Wicklow",42,"Domestic use only","Poor",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q ESTIMATED BY DRILLER,DEPTH OF CASING > DEPTH TO ROCK",NA,NA
