"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2617NEW001",NA,NA,"Borehole",25.6,NA,"DTB Unknown",1961-09-20,285560,187740,"to within 1km","RATHMOON",NA,"Wicklow",26,"Domestic use only","Poor",NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/WIC 26, VERY SOFT ROCK",NA,NA
"2","2617NEW002",NA,NA,"Dug well",11.3,NA,"DTB Unknown",1960-09-01,285560,187680,"to within 1km","RATHMOON",NA,"Wicklow",26,"Domestic use only","Poor",NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GRANITE",NA,NA
"3","2617NEW003",NA,NA,"Dug well",1.2,NA,"Bedrock Not Met",NA,285270,189380,"to within 1km","GLENNACANON",NA,"Wicklow",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESB REF 26.8",NA,NA
"4","2617NEW004",NA,NA,"Dug well",0.6,NA,"DTB Unknown",NA,286150,188350,"to within 1km","BALTINGLASS WEST",NA,"Wicklow",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESB REF 26.8.1",NA,NA
"5","2617NEW005",NA,NA,"Borehole",27.4,16.7,"Bedrock Met",1972-11-01,286150,188320,"to within 1km","BALTINGLASS",NA,"Wicklow",26,"Domestic use only","Poor",NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/WIC 1289, SOFT SANDSTONE",NA,NA
"6","2617NEW013",NA,NA,"Borehole",18.3,9.1,"Bedrock Met",1969-10-01,288630,186920,"to within 1km","NEWTOWNSAUNDERS",NA,"Wicklow",27,"Domestic use only","Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2617NEW014",NA,NA,"Dug well",1.8,0,"Bedrock Met",1962-07-17,288620,188250,"to within 1km","DEERPARK",NA,"Wicklow",27,"Domestic use only","Poor",NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/WIC 1074, HARD GRANITE",NA,NA
"8","2617NEW015",NA,NA,"Borehole",16.5,2.7,"Bedrock Met",1969-05-07,288630,186880,"to within 1km","NEWTOWNSAUNDERS",NA,"Wicklow",27,"Domestic use only","Poor",NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/WIC 897",NA,NA
"9","2617NEW016",NA,NA,"Dug well",1.8,1.8,"Bedrock Presumed",1969-06-02,289730,187420,"to within 1km","WOODFIELD",NA,"Wicklow",27,"Domestic use only","Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/WIC 847",NA,NA
"10","2617NEW021",NA,NA,"Dug well",6.7,NA,"DTB Unknown",1960-09-01,287740,186120,"to within 1km","CLOGHCASTLE",NA,"Wicklow",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2617NEW022",NA,NA,"Dug well",1.8,NA,"DTB Unknown",1960-01-01,287280,186960,"to within 1km","CLOGH LOWER",NA,"Wicklow",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESB",NA,NA
"12","2617NEW026","ILC 201",NA,"Borehole",18.3,9.4,"Bedrock Met",1961-07-28,285900,186050,"to within 1km","IRONGRANGE",NA,"Wicklow",26,"Domestic use only","Moderate",NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ILC# 201",NA,NA
"13","2617SEW001",NA,NA,"Borehole",26.5,7.6,"Bedrock Met",1972-11-01,288450,171310,"to within 1km","ARDOYNE",NA,"Wicklow",42,NA,"Poor",NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2617SEW002",NA,NA,"Borehole",36.6,7.6,"Bedrock Met",1971-08-01,288440,171260,"to within 1km","ARDOYNE",NA,"Wicklow",37,NA,"Poor",NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2617SEW003",NA,NA,"Dug well",6.1,6.1,"Bedrock Presumed",1973-08-01,288440,171220,"to within 1km","ARDOYNE",NA,"Wicklow",42,NA,"Poor",NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/WIC 748",NA,NA
