"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","1103NEW010",NA,NA,"Borehole",123.4,3.2,"Bedrock Presumed",NA,135530,43200,"to 10m","CASHELISKY",NA,"Cork","135","Agri & domestic use","Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dtb estimated from casing",NA,NA
"2","1103SEW001","L1",NA,"Borehole",18.2,16.6,"Bedrock Met",1998-08-20,126040,38420,"to 10m","BENDUFF",NA,"Cork","134","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1103SEW002","MW1",NA,"Borehole",29.9,3.7,"Bedrock Met",1998-08-20,125870,38290,"to 10m","BENDUFF",NA,"Cork","134","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"shale k value  1.29 * 10 (-6) ms"
"4","1103SEW003","MW2",NA,"Borehole",29.9,0,"Bedrock Met",1998-08-20,125730,38300,"to 10m","BENDUFF",NA,"Cork","134","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shale k value 2.8 * 10 (-6) ms"
"5","1103SEW004","MW3",NA,"Borehole",14.6,0,"Bedrock Met",1998-08-20,126140,38480,"to 10m","BENDUFF",NA,"Cork","134","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shale k value 1.28 * 10 (-6) ms"
"6","1103SEW005","MW4",NA,"Borehole",27.1,0,"Bedrock Met",1998-08-20,126050,38310,"to 10m","BENDUFF",NA,"Cork","134","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shale k value 2.07 * 10 (-6) ms"
"7","1105NEW061","1105NE D1",NA,"Borehole",7.5,7.5,"Bedrock Met",2001-07-23,137820,67410,"to 10m","DUNISKY",NA,"Cork","83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1105NEW062","1105NE D2",NA,"Borehole",4,4,"Bedrock Met",NA,138650,60330,"to 10m","BENGOUR WEST",NA,"Cork","95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1105NEW063","1105NE D3",NA,"Borehole",6.5,6.5,"Bedrock Met",2001-07-24,137010,61880,"to 10m","BENGOUR WEST",NA,"Cork","95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1105NEW064","1105NE D4",NA,"Borehole",4.6,4.6,"Bedrock Met",2001-07-25,139440,61020,"to 10m","BENGOUR EAST",NA,"Cork","95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
