"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2613NEW001",NA,NA,"Borehole",30.5,NA,"DTB Unknown",1971-12-01,276000,149000,"to 1km","LISSALICAN",NA,"Carlow",22,NA,"Poor",NA,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2613NEW002","WTB/CLW 943",NA,"Borehole",21.9,NA,"DTB Unknown",1972-09-01,275660,146360,"to 1km","TINNACARRIG",NA,"Carlow",22,NA,"Poor",NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2613NEW004",NA,NA,"Borehole",23.2,NA,"DTB Unknown",1971-03-01,275110,143910,"to 1km","NEWTOWN",NA,"Carlow",24,NA,"Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2613NEW005",NA,NA,"Borehole",21.3,NA,"DTB Unknown",1971-08-01,275350,147820,"to 1km","BALLYINE",NA,"Carlow",22,NA,"Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2613NEW008","WTB/CLW 1003",NA,"Borehole",37.5,NA,"DTB Unknown",1972-08-01,276470,147880,"to 1km","KYLE",NA,"Carlow",22,NA,"Poor",NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2613NEW009","Carlow Co. Council Pump No.184","Carlow Co. Council","Borehole",14.6,1.2,"Bedrock Met",NA,275660,146310,"to 1km","TINNACARRIG",NA,"Carlow",22,NA,"Moderate",NA,87.3,NA,NA,NA,NA,NA,7.6,NA,NA,NA,NA,NA,NA,NA
"7","2613NEW013",NA,NA,"Borehole",12.2,NA,"DTB Unknown",NA,277580,148450,"to 1km","BALLYBRACK",NA,"Carlow",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2613NEW014","Carlow Co. Council Pump No.186","Carlow Co. Council","Borehole",15.5,4.9,"Bedrock Met",NA,277580,148400,"to 1km","BALLYBRACK",NA,"Carlow",22,NA,"Poor",NA,16.4,NA,NA,NA,NA,NA,10.7,NA,NA,NA,NA,NA,NA,NA
"9","2613NEW015","WTB/CLW 876",NA,"Borehole",18.3,NA,"DTB Unknown",1973-09-01,279080,147320,"to 1km","RATHGERAN",NA,"Carlow",23,NA,"Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2613NEW016",NA,NA,"Borehole",14.9,NA,"DTB Unknown",1970-09-01,279080,147280,"to 1km","RATHGERAN",NA,"Carlow",23,NA,"Poor",NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2613NEW020","W/CLW 745",NA,"Borehole",22.9,7.6,"Bedrock Met",1964-03-01,279080,147240,"to 1km","RATHGERAN",NA,"Carlow",23,NA,"Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2613NEW021","Carlow Co. Council Pump No.108","Carlow Co. Council","Borehole",11.9,4.9,"Bedrock Met",NA,279080,147190,"to 1km","RATHGERAN",NA,"Carlow",23,NA,"Poor",NA,38.2,NA,NA,NA,NA,NA,8.5,NA,NA,NA,NA,NA,NA,"YIELD VARYING BETWEEN 32.7-43.6, POOR - MODERATE."
