"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","0815NEW016",NA,NA,"Borehole",27,10.7,"Bedrock Met",1966-10-15,96360,163660,"to 100m","DOONBEG",NA,"Clare","47","Agri & domestic use","Moderate",NA,76.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUALITY OK;
WTB/CL 1205",NA,NA
"2","0815SEW017",NA,NA,"Borehole",48.2,NA,"DTB Unknown",1961-06-07,98630,155920,"to 100m","LEADMORE EAST",NA,"Clare","67","Agri & domestic use","Good",NA,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MORE INFO IN BLUE FILE 2.3.3",NA,NA
"3","0815SEW056","Well C","ESB MONEYPOINT","Borehole",70,1,"Bedrock Met",1982-01-01,103280,152090,"to 100m","CARROWDOTIA SOUTH",NA,"Clare","67","Industrial use","Good","IV",180,NA,NA,24,7.5,300,NA,NA,NA,NA,NA,"Original depth 150m, later plugged with cement from bottom to avoid saline ingress; Drilled by Dunnes, Mallow","Info from K T Cullen","8 day test; EC = 450microS/cm"
"4","0815SEW058",NA,"KILRUSH CREAMERY","Borehole",NA,NA,NA,NA,99430,155590,"to 100m","BALLYURRA",NA,"Clare","67","Other",NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-141. Deep well. Abstraction 50m3/d.",NA,NA
"5","0815SEW059",NA,NA,"Unknown",NA,NA,NA,NA,99160,154760,"to 100m","CAPPAGH",NA,"Clare","67","Industrial use","Intermediate Spring",NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-141. Abstraction 25m3/d.",NA,NA
"6","0815SEW060",NA,NA,"Borehole",NA,NA,NA,NA,99430,155600,"to 100m","LEADMORE EAST",NA,"Clare","67","Other","Good",NA,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-141. Deep well. Supply poor in drought. Q - managers asses",NA,"Date Nov-1967"
"7","0815SWW047",NA,NA,"Borehole",23.8,9.1,"Bedrock Met",1964-10-01,88050,159950,"to 100m","KILKEE UPPER",NA,"Clare","56","Domestic use only","Moderate",NA,54.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M LYNCH Driller;
OIL SEEPAGE IN WATER",NA,NA
"8","0815SWW063",NA,"DOONAHA CREAMERY","Borehole",NA,NA,NA,NA,88240,155530,"to 100m","DOONAHA WEST",NA,"Clare","66","Other",NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ref 4-141. Q of 20m3/d from manager. Deep well.",NA,NA
"9","0815SWW064",NA,NA,"Borehole",73.8,4,"Bedrock Met",1998-11-22,85930,158000,"to 100m","MOVEEN EAST",NA,"Clare","55","Agri & domestic use","Good","II",196.4,NA,NA,6.4,30.69,150,57,67.4,NA,NA,NA,"Drilled by Martin Lenihan, Glin",NA,"  dd = 6.4m     2 hr test"
"10","0817NEW008","209",NA,"Borehole",40.8,5.8,"Bedrock Met",1975-09-08,106310,188040,"to 100m","LISCANNOR",NA,"Clare","14","Group Scheme",NA,NA,NA,NA,NA,NA,NA,152,14.6,32,38.7,NA,NA,"Drilled by Shamrock Water Well Services, Birdhill
3/4 HP PUMP JET SET AT 38M",NA,NA
"11","0817NEW009","193",NA,"Borehole",45.7,6,"Bedrock Met",1975-07-04,106370,188340,"to 100m","LISCANNOR",NA,"Clare","14","Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,152,31.4,43.6,NA,NA,NA,"Drilled by Shamrock Water Well Services, Birdhill",NA,NA
"12","0817NEW010","183",NA,"Borehole",26.1,5.9,"Bedrock Met",1975-06-26,106340,188360,"to 100m","LISCANNOR",NA,"Clare","14","Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,152,8.2,13.1,23.5,NA,NA,"Drilled by Shamrock Water Well Services, Birdhill",NA,NA
"13","0817SEW003",NA,"HONANS BRIDGE CREAMERY","Borehole",53,3.7,"Bedrock Met",1963-04-01,107040,178190,"to 100m","KNOCKLOSKERAUN",NA,"Clare","31","Agri & domestic use","Good","IV",131,NA,NA,26.2,5,NA,NA,NA,NA,NA,NA,"No Water by 35m
at 7.6m Q= 79 m3/d",NA,NA
"14","1115NEW010",NA,NA,"Borehole",90,NA,"DTB Unknown",1984-04-27,138600,167030,"to 100m","CARRIGORAN",NA,"Clare","51","Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"E COLI LEVELS HIGH. 7-133.",NA,NA
"15","1115NEW012","MW 1",NA,"Borehole",6,2.5,"Bedrock Met",1996-02-08,136910,160170,"to 100m","LISMACLEANE",NA,"Clare","61","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIR ROTARY; LOCATION VERY VAGUE, SEE KTC FOLDER FOR MORE INFO",NA,NA
"16","1115NEW013","MW 2",NA,"Borehole",6,2.5,"Bedrock Met",1996-02-08,136890,160210,"to 100m","LISMACLEANE",NA,"Clare","61","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIR ROTARY; LOCATION VERY VAGUE SEE KTC FOLDER FOR MORE INFO",NA,NA
"17","1115NEW014","MW 3",NA,"Borehole",6,3,"Bedrock Met",1996-02-08,136940,160220,"to 100m","LISMACLEANE",NA,"Clare","61","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIR ROTARY; LOCATION VERY VAGUE SEE KTC FOLDER FOR MORE INFO",NA,NA
"18","1115NEW015","MW 4",NA,"Borehole",6,3,"Bedrock Met",1996-02-08,136960,160170,"to 100m","LISMACLEANE",NA,"Clare","61","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIR ROTARY; LOCATION VERY VAGUE SEE KTC FOLDER FOR MORE INFO",NA,NA
"19","1115NEW016","MW 5",NA,"Borehole",6,NA,"Bedrock Not Met",1996-02-07,139130,160690,"to 100m","LISMACLEANE",NA,"Clare","61","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIR ROTARY; LOCATION VERY VAGUE SEE KTC FOLDER FOR MORE INFO",NA,NA
"20","1115NEW017","MW 6",NA,"Borehole",10,NA,"DTB Unknown",1996-02-07,139190,160670,"to 100m","LISMACLEANE",NA,"Clare","61","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIR ROTARY; LOCATION VERY VAGUE SEE KTC FOLDER FOR MORE INFO",NA,NA
"21","1115NEW018","MW 7",NA,"Borehole",6,NA,"Bedrock Not Met",1996-02-07,139180,160640,"to 100m","LISMACLEANE",NA,"Clare","61","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIR ROTARY; LOCATION VERY VAGUE SEE KTC FOLDER FOR MORE INFO",NA,NA
"22","1115NWW016",NA,NA,"Borehole",18.6,4.3,"Bedrock Met",1962-08-01,110700,164110,"to 100m","KILMIHIL",NA,"Clare","48","Agri & domestic use","Good",NA,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1115NWW018",NA,"MANAGER KILMIHILL CREAMERY","Borehole",18.6,6.2,"Bedrock Met",1964-10-01,110690,164020,"to 100m","KILMIHIL",NA,"Clare","48","Agri & domestic use","Good",NA,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by M Lynch",NA,NA
"24","1115NWW035",NA,"LISSYCASEY CREAMERY","Borehole",63.4,NA,"DTB Unknown",NA,120600,165450,"to 100m","GORTYGEEHEEN",NA,"Clare","49","Domestic use only","Excellent",NA,1100,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yield 1090 - 1310 m3/d.",NA,NA
"25","1115NWW036",NA,"KILMIHILL W.S.S.","Borehole",43.3,NA,"DTB Unknown",NA,110730,164030,"to 100m","KILMIHIL",NA,"Clare","48","Public supply (Co Co)","Good",NA,NA,163.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4-142. No water treatment.",NA,NA
"26","1115SWW015",NA,"KILDYSERT CREAMERY","Borehole",NA,NA,NA,NA,122920,158300,"to 100m","RUSHEEN",NA,"Clare","59","Other",NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-142. Deep well. Abstraction 15m3/d.",NA,NA
"27","1115SWW016",NA,"LABASHEEDA CREAMERY","Borehole",NA,NA,NA,NA,114590,152400,"to 100m","KILLOFIN",NA,"Clare","68","Other",NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3-142. Deep well. Abstraction 15m3/d.",NA,NA
"28","1117NEW020",NA,NA,"Borehole",18.3,NA,"DTB Unknown",1967-09-01,126120,187590,"to 100m","ROXTON","Applevale","Clare","25","Agri & domestic use","Failure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bored 18m in Lst, reached yellow earth-filled cavity",NA,"Well abandoned"
"29","1117NEW061","146",NA,"Borehole",61,5.8,"Bedrock Met",1974-10-30,132620,182980,"to 100m","TEERONAUN",NA,"Clare","25","Domestic use only",NA,NA,NA,NA,NA,NA,NA,152,54.9,NA,NA,NA,NA,"Drilled by Shamrock Water Well Services, Birdhill",NA,NA
"30","1117NEW069",NA,"KILNAMONA CREAMERY","Borehole",50,NA,"DTB Unknown",1971-01-01,129010,180920,"to 100m","CAHERBANNAGH",NA,"Clare","25","Other",NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YIELD CAN DIMINISH A BIT OVER A LONG DAY'S PUMPING. 3-132",NA,NA
"31","1117NEW074",NA,NA,"Borehole",NA,NA,NA,NA,138290,183330,"to 100m","BALLYMACONNA",NA,"Clare","26","Agri use only",NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1-133. DEEP WELL. Q FROM PROPRIETOR - 24m3/d.",NA,NA
"32","1117NEW075",NA,"COROFIN CREAMERY","Unknown",NA,NA,NA,NA,128500,188540,"to 100m","BALLYKINNACORRA NORTH",NA,"Clare","17","Other",NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ref 2-123. Abstraction 16m3/d.",NA,NA
