"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","0515SEW006",NA,NA,"Dug well",4.9,6.1,"Bedrock Presumed",1967-05-01,77500,150500,"to 1km","QUILTY",NA,"Clare","65","Agri & domestic use","Poor",NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D TO B AS ON CARD; EXISTING WELL
W/CL 760",NA,"Yield estimated"
"2","0515SEW015",NA,NA,"Dug well",6.7,6.7,"Bedrock Presumed",NA,76750,150800,"to 1km","FEEARD",NA,"Clare","65","Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/CL 4331; QUALITY OK",NA,NA
"3","0813NWW002",NA,NA,"Borehole",44.8,4.9,"Bedrock Met",1971-04-15,84300,149500,"to 1km","KILCREDAUN",NA,"Clare","72","Agri & domestic use","Moderate",NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","0813NWW003",NA,NA,"Borehole",38.4,2.7,"Bedrock Met",1971-10-15,80700,149300,"to 1km","REHY",NA,"Clare","72","Agri & domestic use","Moderate",NA,54.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PUT IN REHY EAST",NA,NA
"5","0815NEW004",NA,NA,"Borehole",13.1,5.5,"Bedrock Met",1962-02-01,104160,167320,"to 1km","CREEGH",NA,"Clare","47","Agri & domestic use","Moderate",NA,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESB REF XLVII-7-29",NA,NA
"6","0815NEW006",NA,NA,"Dug well",4,3.4,"Bedrock Met",1967-04-15,97680,166770,"to 1km","RINNAGONNAGHT",NA,"Clare","47","Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/CL 920",NA,NA
"7","0815NEW007",NA,NA,"Borehole",25.6,1.5,"Bedrock Met",1971-09-09,106100,164360,"to 1km","CLOONREDDAN",NA,"Clare","47","Agri & domestic use","Poor",NA,38.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUALITY OK
WTB/CL 4421",NA,NA
"8","0815NEW008",NA,NA,"Dug well",5.5,5.5,"Bedrock Presumed",1973-08-14,106100,164320,"to 1km","CLOONREDDAN",NA,"Clare","47","Agri & domestic use","Poor",NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUALITY OK",NA,NA
"9","0815NEW012",NA,NA,"Borehole",26.2,3.7,"Bedrock Met",1968-05-15,98790,164930,"to 1km","MOUNTRIVERS",NA,"Clare","47","Agri & domestic use","Good",NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/CL 1673",NA,NA
"10","0815NEW013",NA,NA,"Dug well",2.4,NA,"DTB Unknown",1961-11-13,98780,164870,"to 1km","MOUNTRIVERS",NA,"Clare","47","Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESB Ref. 47-10-17",NA,NA
