"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","1735NEW090",NA,NA,"Borehole",888,8,"Bedrock Met",2002-08-22,199420,367590,"to 10m","TULLY",NA,"Donegal",103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1735NEW091",NA,NA,"Borehole",10.5,NA,"Bedrock Not Met",2002-06-26,188760,365900,"to 10m","ALLA",NA,"Donegal",103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"borehole located on top of hill. Half way down farmer reports seeps from ground.",NA,NA
"3","1735NEW091","11 - 105",NA,"Borehole",2,2,"Bedrock Presumed",2003-05-29,191650,364280,"to 10m","KISTONAGH",NA,"Donegal",107,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1735NEW093","BH1","Ballyshannon Water Supply Scheme","Borehole",90,4,"Bedrock Met",2002-10-21,189280,363790,"to 10m","PARKHILL",NA,"Donegal",107,"Public supply (Co Co)","Excellent","I",500,NA,NA,NA,962,NA,NA,NA,NA,NA,NA,NA,"GSI Feb 2002 pumping test indicated induced recharge from Abbey River. Estimated c.40% coming from river. Pumping test info in Ballyshannon folder (digital)",NA
"5","1735NEW094","BH5","Ballyshannon Water Supply Scheme","Borehole",90,NA,NA,2004-11-01,189310,363630,"to 10m","PARKHILL",NA,"Donegal",107,"Public supply (Co Co)","Excellent","I",500,NA,NA,NA,312,NA,NA,NA,NA,NA,NA,NA,"GSI 12 hr pumping test (feb 2005) does not suggest induced recharge from Abbey River. Pumping test info in Ballyshannon folder (digital).",NA
"6","1735SEW008","16 - 101",NA,"Borehole",10,NA,"Bedrock Not Met",2003-05-29,189320,358300,"to 10m","ARDOUGHILL",NA,"Donegal",NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1735SWW014","16 - 102",NA,"Borehole",8.2,8.2,"Bedrock Presumed",2003-05-29,184250,359060,"to 10m","RATHMORE",NA,"Donegal",107,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1737SEW146",NA,NA,"Borehole",10.7,0,"Bedrock Not Met",NA,191930,373640,"to 10m","MULLANASOLE",NA,"Donegal",99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Halfway up a hill which is northern face of drumlin",NA,NA
"9","1737SWW032","11 - 104",NA,"Borehole",4.3,4.3,"Bedrock Presumed",2003-05-29,182280,374330,"to 10m","TULLYVOOS",NA,"Donegal",98,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1739NEW006",NA,NA,"Borehole",4,4,"Bedrock Presumed",2002-07-04,193870,402650,"to 10m","MEENMORE EAST",NA,"Donegal",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
