"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2921NEW012","MW 98-1",NA,"Borehole",5.8,NA,"Bedrock Not Met",1998-11-11,309320,228190,"to 10m","TALLAGHT",NA,"Dublin",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,"Info from Shane Bennet
Water analysis on file",NA,"1 mm slot size in wellscreen"
"2","2921NEW013","TP 98-1",NA,"Dug well",2,NA,"Bedrock Not Met",1998-11-11,309270,228190,"to 10m","TALLAGHT",NA,"Dublin",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Info from Shane Bennet
Test Pit",NA,NA
"3","2921NEW014","TP 98-2",NA,"Dug well",2.1,NA,"Bedrock Not Met",1998-11-11,309270,228170,"to 10m","TALLAGHT",NA,"Dublin",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05,NA,NA,NA,NA,"Info from Shane Bennet
Test Pit",NA,NA
"4","2923NEW046","DH 1",NA,"Borehole",20.8,6.2,"Bedrock Met",1994-03-11,306090,243260,"to 10m","KILMARTIN","Mulhuddart","Dublin",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by IGSL by rotary",NA,NA
"5","2923NEW047","DH 2",NA,"Borehole",22.5,2.3,"Bedrock Met",1994-03-16,306890,242310,"to 10m","TYRRELSTOWN","Mulhuddart","Dublin",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by IGSL by rotary",NA,NA
"6","2923NEW048","DH 3",NA,"Borehole",12,2,"Bedrock Met",1994-03-23,307210,242210,"to 10m","TYRRELSTOWN","Mulhuddart","Dublin",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by IGSL by rotary",NA,NA
"7","2923NEW049","DH 4",NA,"Borehole",22.2,2,"Bedrock Met",1994-03-25,307400,242120,"to 10m","TYRRELSTOWN","Mulhuddart","Dublin",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by IGSL by rotary",NA,"Standpipe installed on completion, slotted from 2.1 to 22.2 m."
"8","2923NEW050","DH 5",NA,"Borehole",23,2.8,"Bedrock Met",1994-03-31,307200,242610,"to 10m","TYRRELSTOWN","Mulhuddart","Dublin",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by IGSL by rotary",NA,"Standpipe installed on completion, slotted from 3.0 to 23 m."
"9","2923NEW051","DH 6",NA,"Borehole",23,2.9,"Bedrock Met",1994-04-05,307480,242720,"to 10m","TYRRELSTOWN","Mulhuddart","Dublin",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by IGSL by rotary",NA,"Standpipe installed on completion, slotted from 3.1 to 23 m."
"10","2923NEW052","DH 7",NA,"Borehole",24,4,"Bedrock Met",1994-04-11,306840,242990,"to 10m","KILMARTIN","Mulhuddart","Dublin",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by IGSL by rotary",NA,"Standpipe installed on completion, slotted from 4.1 to 24 m."
