"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","1121NEW012",NA,"LOUGH ATALIA RD. E.I.S.","Borehole",7.2,NA,"Bedrock Not Met",NA,130440,225250,"to 10m","LOUGH ATALIA",NA,"Galway",94,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"location from site map included with report by Minerex for EIS715 at Lough Atalia",NA
"2","0525SWW009",NA,"Rainbow Action GWSS","Borehole",30,NA,"Bedrock Not Met",NA,58670,254750,"to 20m","GRALLAGH",NA,"Galway",22,"Group Scheme","Good",NA,138,7,NA,NA,NA,152,NA,NA,NA,NA,NA,"Drilled by Tom Connell, Blackrock, Co. Dublin
Dune Sand on Schist/Marble","Enquiries 048, 184, 215/2005 refer","water level varies with tidal conditions"
"3","1121NEW011",NA,"LOUGH ATALIA RD. E.I.S","Borehole",7.2,NA,"Bedrock Not Met",NA,130460,225320,"to 20m","LOUGH ATALIA",NA,"Galway",94,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"location from site map included with report by Minerex for EIS715 at Lough Atalia",NA
"4","1121NEW014",NA,"LOUGH ATALIA RD. E.I.S.","Borehole",18,16,"Bedrock Met",NA,130340,225280,"to 20m","LOUGH ATALIA",NA,"Galway",94,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"location from site map included with report by Minerex for EIS715 at Lough Atalia","Date 11/7/1962"
"5","1121NEW015",NA,"LOUGH ATALIA  RD. E.I.S.","Borehole",19.2,17.7,"Bedrock Met",NA,130370,225290,"to 20m","LOUGH ATALIA",NA,"Galway",94,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"location from site map included with report by Minerex for EIS715 at Lough Atalia","ROTARY CORED B.H."
"6","1121NEW016",NA,"LOUGH ATALIA RD.  E.I.S.","Borehole",16.5,14,"Bedrock Met",NA,130390,225230,"to 20m","LOUGH ATALIA",NA,"Galway",94,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"location from site map included with report by Minerex for EIS715 at Lough Atalia","Date 1/10/1965"
"7","1121NEW021",NA,NA,"Borehole",6.4,1.2,"Bedrock Met",NA,125420,228950,"to 20m","ATTYSHONOCK",NA,"Galway",81,"Domestic use only","Moderate",NA,65.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNKNOWN",NA,"good quality"
"8","1121NEW022",NA,NA,"Borehole",8.2,NA,"DTB Unknown",NA,125470,228930,"to 20m","ATTYSHONOCK",NA,"Galway",81,"Agri & domestic use","Moderate",NA,65.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNKNOWN","Location marked on 6''map",NA
"9","1121NEW023",NA,NA,"Borehole",61,1.1,"Bedrock Met",NA,125220,226940,"to 20m","RAHOON",NA,"Galway",81,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Location marked on 6'' map","quality unknown, not properly tested"
"10","1121NEW034",NA,NA,"Spring",NA,NA,NA,NA,136950,221350,"to 20m","KILCAIMIN",NA,"Galway",95,NA,"Intermediate Spring",NA,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spring in inter-tidal zone","Honor Chance's Thesis 2005",NA
"11","1121NWW001",NA,NA,"Borehole",39.9,3.7,"Bedrock Met",NA,124700,229510,"to 20m","POLLAGH",NA,"Galway",81,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNKNOWN","Location marked on 6''map","Yield 400gpd+. Good quality water"
"12","1121NWW002",NA,NA,"Borehole",57.9,1.5,"Bedrock Met",NA,123990,228880,"to 20m","CORRCULLEN",NA,"Galway",81,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNKNOWN","Location marked on 6''map","Good quality"
"13","1121NWW003",NA,NA,"Borehole",64,1.1,"Bedrock Met",NA,123780,226640,"to 20m","BOLEYBEG  WEST",NA,"Galway",81,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNKNOWN","Location marked on 6''map","Undrinkable, brown colour"
"14","1121NWW004",NA,NA,"Borehole",99.1,6.1,"Bedrock Met",NA,123890,229120,"to 20m","CORRCULLEN",NA,"Galway",81,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNKNOWN","Location marked on 6''map","Good quality water"
"15","1121NWW005","GA81.15",NA,"Dug well",9.1,1.5,"Bedrock Met",NA,119040,229000,"to 20m","LAUGHIL",NA,"Galway",81,"Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNKNOWN","Location marked on 6''map","Never goes dry"
"16","1121NWW006",NA,NA,"Borehole",46.9,0.9,"Bedrock Met",NA,118840,229180,"to 20m","LOUGHWELL",NA,"Galway",81,"Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UNKNOWN","Location marked on 6''map","200gph. Good quality water"
"17","1121SEW014","Kinvara Spring",NA,"Spring",NA,NA,NA,NA,138070,210480,"to 20m","DUNGORY WEST","Kinvara","Galway",113,NA,"High Spring",NA,43000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Inter-tidal Spring","Honor Chance's Thesis 2005",NA
"18","1123NEW019",NA,NA,"Borehole",25.6,1.5,"Bedrock Met",NA,135840,242350,"to 20m","BUNNAHEVELLY MORE",NA,"Galway",56,"Agri & domestic use","Poor",NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LOCATION MARKED ON 6''MAP","SUMMER & WINTER YIELDS 300 GPD"
