"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","0207SEW008",NA,NA,"Borehole",NA,NA,NA,NA,42590,70290,"to 100m","SUSSA",NA,"Kerry",88,"Industrial use",NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"182/6. Between Sussa & Cools",NA,NA
"2","0207SEW011",NA,"CAHIRSIVEEN CREAMERY","Spring",NA,NA,NA,NA,46880,76530,"to 100m","LETTER",NA,"Kerry",79,"Industrial use","Low Spring",NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,"182/7.  Have storage reservoir.",NA,NA
"3","0207SEW020","WG 39-2002",NA,"Borehole",4.9,61,"Bedrock Met",NA,41200,72350,"to 100m","GARRANE",NA,"Kerry",88,"Agri & domestic use","Poor","V",21.8,NA,NA,12.8,1.7,152,45.1,53.3,NA,NA,NA,"Drilled by T J Cross, Abbeyfeale
Sandstone",NA,"6 hr test"
"4","0207SEW022","WG 33-2003",NA,"Borehole",4.9,70.1,"Bedrock Met",2003-08-15,38010,75890,"to 100m","TINNIES UPPER",NA,"Kerry",78,"Agri & domestic use","Poor","V",10.9,NA,NA,27.4,0.4,152,53.6,61.6,NA,NA,NA,"Drilled by T J Cross, Abbeyfeale",NA,"6 hr test"
"5","0209NEW009","TW 2",NA,"Borehole",6,85,"Bedrock Met",1986-03-01,43150,103010,"to 100m","BALLYHEABOUGHT",NA,"Kerry",43,"Industrial use","Excellent","I",491,NA,NA,3.1,158.39,150,18,24,43.5,NA,NA,"PWL - 4m, 48hr pump test.",NA,NA
"6","0209NEW010","TW 1",NA,"Borehole",7.5,91,"Bedrock Met",1986-03-01,43100,102800,"to 100m","BALLYHEABOUGHT",NA,"Kerry",43,"Industrial use","Excellent","I",895,895,NA,7.5,119.33,150,7.5,36.5,55,NA,NA,"SP cap - 118m3/d/m. Artesian at 22m3/d. PWL - 7.5m, 72hr test",NA,NA
"7","0209NEW012",NA,"BALLYFERRITER RWSS/BALLYWIHEEN","Spring",NA,NA,NA,1977-09-01,35820,103260,"to 100m","BALLYWIHEEN",NA,"Kerry",42,"Public supply (Co Co)","Low Spring",NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171/8. According to well survey Q of 171/8 + 171/7 = 50m3/d",NA,NA
"8","0209NEW014",NA,"BALLYFERRITER WEST","Spring",NA,NA,NA,NA,35320,104070,"to 100m","BALLYFERRITER",NA,"Kerry",42,"Public supply (Co Co)","Low Spring",NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171/7. Combined Q of 171/7 & 171/8 is 150m3/d, 65m3/d minimum",NA,NA
"9","0209NEW015",NA,NA,"Borehole",NA,NA,NA,1998-04-01,35360,103450,"to 100m","BALLYWIHEEN",NA,"Kerry",42,"Industrial use","Excellent","II",420,NA,NA,11.4,36.84,NA,NA,NA,NA,NA,NA,"PWL = 16.33. 250m3/d is safe Q.",NA,NA
"10","0209NEW022",NA,NA,"Borehole",20.1,76.2,"Bedrock Met",2004-04-05,43860,102270,"to 100m","BALLYNABOOLY",NA,"Kerry",43,"Agri & domestic use","Poor","V",21.8,NA,NA,19.5,1.12,152,52.4,69.8,NA,NA,NA,"Drilled by T J Cross, Abbeyfeale",NA,"6 hr test"
"11","0209NWW002",NA,"TEERAVANE WSS","Spring",NA,NA,NA,1981-10-13,33220,102260,"to 100m","TEERAVANE",NA,"Kerry",42,"Public supply (Co Co)","Low Spring",NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171/2 . Q = 32m3/d. Chem anlaysis file 3.6.8",NA,NA
"12","0209NWW003",NA,"GRAIGUE - CLOGHER WSS","Spring",NA,NA,NA,1981-10-13,32050,102610,"to 100m","GRAIGUE",NA,"Kerry",42,"Public supply (Co Co)","Low Spring",NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171/1. Q = 24m3/d. Chem analysis file 3.6.8",NA,NA
"13","0209SEW001","ILC 1503",NA,"Borehole",8,20.4,"Bedrock Met",1969-07-22,43360,99190,"to 100m","BALLYMACADOYLE",NA,"Kerry",53,"Agri & domestic use","Moderate",NA,65,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,"Drilled by contract; DtB approx",NA,"Steel lined"
"14","0209SWW001",NA,"FAHAN WSS","Spring",NA,NA,NA,NA,34470,97920,"to 100m","FAHAN",NA,"Kerry",52,"Public supply (Co Co)","Low Spring",NA,31,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171/5. North of Fahan village. Co Co info Q = 31m3/d.",NA,NA
"15","0211SEW001",NA,"BALLINAVENOORAGH WSS","Spring",NA,NA,NA,1981-10-13,43290,110420,"to 100m","BALLINAVENOORAGH",NA,"Kerry",34,"Public supply (Co Co)",NA,NA,NA,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,"160/3.  Chemical analysis file 3.6.8",NA,"Steel Casing, Max Safe yield: 
32.7m3/day"
"16","0505SEW005","WG 41-99",NA,"Borehole",4.3,50.3,"Bedrock Met",2003-12-02,78050,55820,"to 100m","CLOGHERANE",NA,"Kerry",108,"Agri & domestic use","Moderate","V",54.5,NA,NA,21.9,2.48,165,29,36.6,NA,NA,NA,"Drilled by Southern Pumps Ltd, Cork",NA,"72 hr test"
"17","0507NEW004","WG 139-2001",NA,"Borehole",10.1,67.1,"Bedrock Met",2002-08-15,79670,88990,"to 100m","BALLYLEDDER",NA,"Kerry",65,"Agri & domestic use","Poor",NA,16.4,NA,NA,NA,NA,152,44.2,57.9,NA,NA,NA,"Drilled by T J Cross, Abbeyfeale
Sandstone",NA,"Yield estimated"
"18","0507NEW005","WG 137-99",NA,"Borehole",14.3,88.4,"Bedrock Met",2003-10-15,70300,86810,"to 100m","DROM EAST",NA,"Kerry",72,"Agri & domestic use","Poor","V",21.8,NA,NA,27.4,0.8,152,69.2,81.7,NA,NA,NA,"Drilled by T J Cross, Abbeyfeale
Sandstone",NA,"6 hr test"
"19","0507NEW007","WG 74-2003",NA,"Borehole",9.1,103.6,"Bedrock Met",2004-01-27,76790,87890,"to 100m","DROMLEAGH",NA,"Kerry",64,"Agri & domestic use","Poor","V",16.4,NA,NA,61,0.27,159,67.1,91.4,NA,NA,NA,"Drilled by Southern Pumps Ltd, Cork
Sandstone",NA,"12 hr test"
"20","0507SWW011","WG 30-2000",NA,"Borehole",2.7,54.9,"Bedrock Met",2000-04-15,52700,79030,"to 100m","CAPPAGH",NA,"Kerry",80,"Agri & domestic use","Poor",NA,21.8,NA,NA,NA,NA,152,21.3,41.1,NA,NA,NA,"Drilled by T J Cross, Abbeyfeale
Sandstone",NA,"Estimated Yield"
"21","0509NWW014",NA,"ANNASCAUL WSS","Spring",NA,NA,NA,1981-10-13,57450,103440,"to 100m","COUMDUFF",NA,"Kerry",44,"Public supply (Co Co)","Low Spring",NA,205,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chemical analysis file 3.6.8. 2 springs Q may be 205m3/d",NA,NA
"22","0509SEW016",NA,NA,"Borehole",15,79,"Bedrock Met",NA,78740,96910,"to 100m","BANSHAGH",NA,"Kerry",56,"Industrial use","Excellent",NA,545,973,NA,NA,NA,NA,NA,NA,NA,NA,NA,"173/2. Lined to rock. Water is recycled.
2 boreholes",NA,NA
"23","0509SEW018",NA,NA,"Borehole",15,79,"Bedrock Met",1976-03-23,78790,96900,"to 100m","BANSHAGH",NA,"Kerry",56,"Industrial use","Good",NA,393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lining 16.7m. Water is recycled, 136m3/d stored (also W016)",NA,NA
"24","0509SEW019","WG 14-2003",NA,"Borehole",9.4,91.4,"Bedrock Met",2003-10-23,72370,91670,"to 100m","CALLAHANISKA",NA,"Kerry",64,"Agri & domestic use","Moderate","V",43.6,NA,NA,16.2,2.7,152,57.9,82.9,NA,NA,NA,"Drilled by T J Cross, Abbeyfeale
Sandstone",NA,"6 hr test"
"25","0511NEW028","Ballymacquin Slugaire","ARDFERT NORTH WSS (BALLYHEIGUE)","Spring",NA,NA,NA,NA,77030,126860,"to 100m","KNOCKROE",NA,"Kerry",14,"Public supply (Co Co)","High Spring",NA,3636,3636,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chemical analysis in file 3.6.8",NA,NA
"26","0511NEW029",NA,"GLENDERRY WSS","Borehole",NA,36.6,"DTB Unknown",1981-10-13,71370,129250,"to 100m","GLENDERRY",NA,"Kerry",14,"Public supply (Co Co)","Good",NA,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chem anal - file 3.6.8, also a Spring at 150/1. Q = 38m3/d",NA,NA
"27","0511SWW006",NA,"CAPPAGH WSS","Spring",NA,NA,NA,NA,51400,112880,"to 100m","CLOONSHARRAGH",NA,"Kerry",35,"Public supply (Co Co)","Low Spring",NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,"161/2. Combination of wells - Q value from Co Co info 24/6/9",NA,NA
"28","0511SWW007",NA,"CLOGHANE WSS","Spring",NA,NA,NA,NA,50680,112420,"to 100m","BALLYNALACKEN",NA,"Kerry",35,"Public supply (Co Co)","Low Spring",NA,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,"161/3. Combination of wells - 3 springs.",NA,NA
"29","0805NWW004","WG 93-2001",NA,"Borehole",10.7,82.3,"Bedrock Met",2002-09-15,84950,65550,"to 100m","MUCKERA",NA,"Kerry",101,"Agri & domestic use","Poor",NA,16.4,NA,NA,NA,NA,152,61,74.7,NA,NA,NA,"Drilled by T J Cross, Abbeyfeale
Sandstone",NA,"Yield estimated"
"30","0807NEW017",NA,"CLOGHANE CREAMERY","Borehole",NA,59,"DTB Unknown",NA,103230,87810,"to 100m","CLOGHANE",NA,"Kerry",67,"Industrial use","Good",NA,336,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,"173/27. 336m3/d is capacity, yield has never diminished",NA,NA
"31","0807NEW018",NA,NA,"Borehole",NA,NA,NA,NA,98110,88540,"to 100m","ARDAGH",NA,"Kerry",66,"Industrial use","Excellent",NA,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Info from J. Dunne - in rockfield Lst but overlain by gravel",NA,NA
"32","0807SEW013",NA,NA,"Borehole",5.2,73.2,"Bedrock Met",1998-12-15,108790,75350,"to 100m","INCHEE",NA,"Kerry",86,"Agri & domestic use","Poor",NA,10.9,NA,NA,NA,NA,152,45.7,64.5,NA,NA,NA,"Drilled by T J Cross, Abbeyfeale
Sandstone",NA,"Estimated Yield"
"33","0807SWW004",NA,NA,"Borehole",NA,NA,NA,NA,90780,71180,"to 100m","GORTAMULLIN",NA,"Kerry",93,"Industrial use","Good",NA,327,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,"184/5. Q from Kerry data is 327m3/d",NA,NA
"34","0809NEW089",NA,NA,"Borehole",2.1,36.8,"Bedrock Met",NA,103230,109900,"to 100m","KILCUSNAUN",NA,"Kerry",40,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"40/3. Unused.",NA,"Lot of Fe in water"
"35","0809NEW090",NA,NA,"Spring",NA,0.8,"DTB Unknown",NA,104290,109640,"to 100m","BALLYPLIMOTH",NA,"Kerry",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40/4. Unused.",NA,NA
"36","0809NEW091",NA,NA,"Borehole",NA,17.1,"Bedrock Met",NA,103970,108200,"to 100m","CORDAL WEST",NA,"Kerry",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40/8. Unused.",NA,"Fe in the water"
"37","0809NEW092",NA,NA,"Borehole",9.1,19.2,"Bedrock Met",NA,104000,108940,"to 100m","BALLYPLIMOTH",NA,"Kerry",40,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"40/7. Unused.",NA,NA
"38","0809NEW093",NA,NA,"Borehole",5.8,51.5,"Bedrock Met",NA,103800,107400,"to 100m","BREAHIG",NA,"Kerry",40,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"40/9. Unused.",NA,NA
"39","0809NEW094",NA,NA,"Borehole",24.4,38.6,"Bedrock Met",NA,103990,107000,"to 100m","BREAHIG",NA,"Kerry",40,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"40/10. Unused.",NA,NA
"40","0809NEW096",NA,NA,"Spring",NA,NA,NA,NA,100720,106370,"to 100m","CAHERAGH",NA,"Kerry",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40/12",NA,NA
"41","0809NEW099",NA,NA,"Dug well",NA,NA,NA,NA,100300,109070,"to 100m","TONBWEE",NA,"Kerry",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40/15",NA,NA
