"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2617NEW255",NA,NA,"Borehole",91.4,9.1,"Bedrock Met",1999-10-12,277320,186110,"to 100m","GARTERFARM",NA,"Kildare",38,"Domestic use only","Poor","V",10.9,NA,NA,61,0.18,152,61,73.2,85.3,NA,NA,"WOODLANDS HOUSE","Drilled by Fogarty, Gowran","2 hr test"
"2","2617NEW259",NA,NA,"Borehole",48.8,33.5,"Bedrock Met",1998-07-04,284350,187630,"to 100m","CARRIGEEN NORTH",NA,"Kildare",38,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,152,30.5,NA,NA,NA,NA,NA,"Drilled by Well Arden Ltd, Hacketstown",NA
"3","2617NWW314",NA,NA,"Borehole",34.1,31.1,"Bedrock Met",2001-12-08,273290,187650,"to 100m","BEACONSTOWN",NA,"Kildare",37,"Agri & domestic use","Good","III",130.8,NA,NA,NA,NA,127,31.1,34.1,NA,NA,NA,NA,NA,NA
"4","2617SEW302",NA,NA,"Borehole",30.5,10.7,"Bedrock Met",2001-07-16,277650,179970,"to 100m","BURTONHALL",NA,"Kildare",40,"Agri & domestic use","Moderate",NA,43.6,NA,NA,NA,NA,127,12.2,27.4,NA,NA,NA,NA,NA,"Max safe yield"
"5","2619NEW315",NA,NA,"Dug well",6.3,NA,"DTB Unknown",NA,279790,202630,"to 100m","BLACKHALL",NA,"Kildare",32,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Location plotted on 6"" map",NA,NA
"6","2619NEW316",NA,NA,"Dug well",4.9,NA,"DTB Unknown",NA,279870,202480,"to 100m","BLACKHALL",NA,"Kildare",32,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Location plotted on 6"" map",NA,NA
"7","2619NEW317",NA,NA,"Dug well",9,NA,"DTB Unknown",NA,279980,202430,"to 100m","BLACKHALL",NA,"Kildare",32,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Location plotted on 6"" map",NA,NA
"8","2619NWW248",NA,NA,"Borehole",15.2,13.1,"Bedrock Met",1998-07-03,267390,204700,"to 100m","ESKERHILL",NA,"Kildare",27,"Domestic use only","Poor",NA,33,NA,NA,NA,NA,152,13.7,NA,NA,NA,NA,NA,"Drilled by Dempsey, Rathangan;
A lot of broken rock","72 hr test, Yield estimated"
"9","2619NWW359",NA,NA,"Borehole",12.2,5.2,"Bedrock Presumed",NA,269440,208140,"to 100m","DUNEANY",NA,"Kildare",27,"Agri & domestic use","Poor",NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duneany House",NA,NA
"10","2619SWW366",NA,NA,"Borehole",14.6,NA,"Bedrock Not Met",NA,270010,194690,"to 100m","GALLOWSHILL",NA,"Kildare",35,"Domestic use only","Poor","IV",32.7,NA,NA,5.2,6.31,152,14.6,NA,NA,NA,NA,NA,"Drilled by Dempsey, Rathangan","Airlift test"
"11","2621NEW054",NA,NA,"Borehole",24.4,NA,"Bedrock Not Met",NA,282450,220810,"to 100m","DERREENS",NA,"Kildare",18,"Domestic use only","Poor","IV",32.7,NA,NA,9.1,3.59,152,24.4,NA,NA,NA,NA,"FIELD BEHIND HOUSE","Drilled by Dempsey, Rathangan","3 hr test"
"12","2621NEW060","BOREHOLE NO.3",NA,"Borehole",8.6,NA,"Bedrock Not Met",1979-08-30,288000,221400,"to 100m","OSBERSTOWN",NA,"Kildare",19,"Unknown",NA,NA,NA,NA,NA,NA,NA,100,1.5,NA,NA,NA,NA,"OSBERSTOWN HOUSE",NA,"CONTRACT- NAAS BY PASS METHOD- SHELL & AUGER, ROTARY DIAMETER- 200mm TO 6.1m ROTARY TO 8.6m CASING- INSTALLED PLASTIC LINER"
"13","2621NEW061","BOREHOLE NO.1","KILDARE COUNTY COUNCIL","Borehole",9.4,6.3,NA,1986-07-15,289200,222600,"to 100m","OSBERSTOWN",NA,"Kildare",19,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,"SALLINS RAILWAY BRIDGE",NA,"METHOD-SHELL & AUGER, WAGON DRILL, ROTARY.   CHISELLING- 0.5HR @ 0.55m 2HRS @ 4.1m"
"14","2621NEW062","BOREHOLE NO.1","KILDARE COUNTY COUNCIL","Borehole",9,4.5,NA,1986-08-21,289200,222900,"to 100m","SALLINS",NA,"Kildare",19,"Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PROJECT- CANAL BRIDGE  METHOD- WAGON DRILL  CIRCULATION FLUID- AIR  DIAMETER-500mm"
"15","2621SEW028","mcdonagh","decommissioned","Unknown",33.8,NA,NA,NA,278900,211610,"to 100m","CURRAGH",NA,"Kildare",23,"Other","Excellent","I",1091.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CURRAGH OLD WATERWORKS
Mc Donagh",NA,NA
"16","2621SEW301","30","KILDARE COUNTY COUNCIL","Borehole",24,19.5,NA,1998-08-26,275160,213060,"to 100m","THE CURRAGH",NA,"Kildare",22,"Other",NA,NA,NA,NA,NA,NA,NA,200,5.9,NA,NA,NA,NA,NA,NA,"LIGHT CABLE PERCUSSION BORING.  MONITORING WELL FOR KILDARE BY PASS.  DRILLER- GLOVERS SITE INV LTD"
"17","2621SEW302","29","KILDARE COUNTY COUNCIL","Borehole",13.3,NA,"Bedrock Not Met",1998-05-26,275140,213280,"to 100m","THE CURRAGH",NA,"Kildare",22,"Other",NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,"LIGHT CABLE PERCUSSION BORING.  MONITORING WELL FOR KILDARE BY PASS.  DRILLER- GLOVERS SITE INV LTD"
"18","2621SWW211","2","KILDARE COUNTY COUNCIL","Borehole",50,39,NA,1998-08-13,273630,214030,"to 100m","WHITESLAND EAST",NA,"Kildare",22,"Other",NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,"LIGHT CABLE PERCUSSION BORING.  MONITORING WELL FOR KILDARE BY PASS.  DRILLER- GLOVERS SITE INV LTD"
"19","2621SWW212","35","KILDARE COUNTY COUNCIL","Borehole",24,NA,"Bedrock Not Met",1998-08-18,269690,216740,"to 100m","THOMASTOWN WEST",NA,"Kildare",22,"Other",NA,NA,NA,NA,NA,NA,NA,200,12,NA,NA,NA,NA,NA,NA,"LIGHT CABLE PERCUSSION BORING.  MONITORING WELL FOR KILDARE BY PASS.  DRILLER- GLOVERS SITE INV LTD"
"20","2623NEW554","Warm Spring  1005W",NA,"Spring",NA,NA,NA,NA,281460,242200,"to 100m","KILBROOK",NA,"Kildare",4,"Unknown","Low Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"accuracy given as 100m",NA,"Temp range    19 - 25 degrees C    High winter flow rate   1226  m3/d"
