"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2313NWW005",NA,NA,"Borehole",19.5,5.5,"Bedrock Met",1970-10-16,239370,141320,"to 1km","AHANURE NORTH",NA,"Kilkenny","26","Domestic use only","Moderate",NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2313SWW001",NA,NA,"Borehole",15.2,1,"Bedrock Met",1969-05-15,240550,134800,"to 1km","WINDGAP",NA,"Kilkenny","30","Domestic use only","Moderate",NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2313SWW037",NA,NA,"Borehole",29,12.8,"Bedrock Met",1963-08-15,241600,131000,"to 1km","INCHANAGLOGH",NA,"Kilkenny","34","Domestic use only","Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"W/KLK 1625, WTB/KLK 691;
W/KLK 1743, WTB/KLK 859",NA
"4","2315NEW015",NA,NA,"Borehole",21.3,NA,"DTB Unknown",1973-08-01,251070,169990,"to 1km","TOMAKEANY",NA,"Kilkenny","10","Unknown","Poor",NA,31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2315NEW028",NA,NA,"Borehole",24.4,NA,"DTB Unknown",1970-10-15,255680,167930,"to 1km","CLOGHARINKA",NA,"Kilkenny","11","Unknown","Poor",NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2315NEW041",NA,NA,"Borehole",14,4.3,"Bedrock Met",NA,254200,163600,"to 1km","BALLYFOYLE",NA,"Kilkenny","15",NA,"Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESB Ref 15-1-16",NA
"7","2315NEW049",NA,NA,"Dug well",2.7,NA,"DTB Unknown",1973-05-15,251350,164330,"to 1km","RUTHSTOWN",NA,"Kilkenny","14","Agri & domestic use","Poor",NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/KLK 3250",NA
"8","2315NEW072",NA,NA,"Borehole",38.1,NA,"DTB Unknown",1974-01-15,249640,163690,"to 1km","BALLYRAFTON",NA,"Kilkenny","14","Agri & domestic use","Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Steel Casing, Max Safe yield: 
32.7m3/day"
"9","2315NWW001",NA,"REV ROSE PP CLINTSTOWN NS","Borehole",18.3,6.1,"Bedrock Met",1959-12-01,244960,165350,"to 1km","CLINTSTOWN",NA,"Kilkenny","10","Unknown","Moderate",NA,78.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2315NWW003",NA,NA,"Borehole",23.8,1.8,"Bedrock Met",1970-08-15,233010,161940,"to 1km","WOODSGIFT",NA,"Kilkenny","12","Agri & domestic use","Moderate",NA,65.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by Sean Flood, Clonroche",NA
"11","2315NWW004",NA,NA,"Borehole",91.5,6.1,"Bedrock Met",1971-07-15,233010,161880,"to 1km","WOODSGIFT",NA,"Kilkenny","12","Unknown","Moderate",NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2315NWW008",NA,NA,"Dug well",3.4,NA,"DTB Unknown",1962-04-01,238730,169280,"to 1km","BALLYRING",NA,"Kilkenny","9","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESB ref IX/6/12",NA
"13","2315NWW010",NA,NA,"Borehole",17.7,NA,"DTB Unknown",1972-09-01,235590,167680,"to 1km","FOYLE",NA,"Kilkenny","9","Unknown","Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2315NWW011",NA,NA,"Dug well",4.3,NA,"DTB Unknown",1973-03-15,233840,164820,"to 1km","CLOMANTAGH",NA,"Kilkenny","12","Agri & domestic use","Poor",NA,31.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/KLK 1955",NA
"15","2315NWW182",NA,NA,"Borehole",50.3,NA,"DTB Unknown",1972-05-01,241000,168330,"to 1km","ACRAGAR",NA,"Kilkenny","9","Domestic use only","Poor",NA,33.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/KILK 2473",NA
"16","2315NWW183",NA,NA,"Unknown",7.3,NA,"DTB Unknown",1962-01-01,240100,167960,"to 1km","CLONTUBBRID",NA,"Kilkenny","9","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESB ref 9/7/12",NA
