"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2017NEW154","ILC 1880",NA,"Borehole",61,6.1,"Bedrock Met",1984-05-04,229550,187300,"to 100m","KILBEG",NA,"Laois",22,"Agri use only","Moderate","IV",61.3,NA,NA,7,8.76,NA,NA,NA,NA,NA,NA,"ILC 1880. Water entry at 8.84m",NA,NA
"2","2017NEW158",NA,NA,"Borehole",72.2,11.3,"Bedrock Met",1987-07-21,229540,186650,"to 100m","CARROWREAGH",NA,"Laois",22,"Agri use only","Poor","V",23.4,NA,NA,13.7,1.71,NA,NA,NA,NA,NA,NA,"Water entry at 14.33m, 26.52m and 53.34m",NA,NA
"3","2017NEW196","ILC 1820",NA,"Borehole",41.8,2.1,"Bedrock Met",1977-03-04,225380,185750,"to 100m","DERRINSALLAGH",NA,"Laois",22,"Agri & domestic use","Moderate","IV",72,NA,NA,20.7,3.48,NA,21.4,39,NA,NA,NA,NA,NA,NA
"4","2017SEW171",NA,NA,"Dug well",10.7,NA,"DTB Unknown",NA,228810,176240,"to 100m","LEVALLY",NA,"Laois",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Never goes dry",NA,NA
"5","2017SEW172",NA,NA,"Borehole",NA,NA,NA,NA,228800,176250,"to 100m","LEVALLY",NA,"Laois",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Disused",NA,NA
"6","2019SEW077",NA,NA,"Borehole",67,11,NA,NA,226050,190920,"to 100m","CAHER",NA,"Laois",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019SEW078",NA,NA,"Borehole",36.3,5,"Bedrock Met",NA,222220,190790,"to 100m","KYLE",NA,"Laois",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019SEW079",NA,NA,"Borehole",61,5,"Bedrock Met",NA,222720,191510,"to 100m","CLONOONAGH",NA,"Laois",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2317NWW003",NA,NA,"Dug well",7.3,NA,"DTB Unknown",1972-09-17,236600,189740,"to 100m","KILBRICKAN",NA,"Laois",17,"Agri & domestic use","Poor",NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/LAO 1367",NA,NA
"10","2317NWW189",NA,NA,"Dug well",6.1,NA,"DTB Unknown",NA,240430,184150,"to 100m","BOLEY",NA,"Laois",23,"Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESB ref. 23-15-14",NA,NA
"11","2317NWW190",NA,NA,"Dug well",6.2,NA,"DTB Unknown",NA,237250,183350,"to 100m","BALLYGEEHIN LOWER",NA,"Laois",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2317NWW191",NA,NA,"Borehole",33.5,4.6,"Bedrock Met",1970-01-01,237280,183390,"to 100m","BALLYGEEHIN LOWER",NA,"Laois",23,"Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,203,NA,NA,NA,NA,NA,"Drilled by Fogarty",NA,NA
"13","2317NWW222",NA,NA,"Borehole",38.1,33.5,"Bedrock Met",1996-01-18,244200,182500,"to 100m","ABBEYLEIX DEMESNE",NA,"Laois",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2317NWW233",NA,NA,"Borehole",44.2,6.1,"Bedrock Met",NA,240610,180120,"to 100m","DUNMORE",NA,"Laois",29,NA,"Moderate",NA,65.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Water mainly in top 24.4m. Fogarty drillers",NA,NA
"15","2317NWW234",NA,NA,"Borehole",61,9.8,"Bedrock Met",NA,240570,180330,"to 100m","DUNMORE",NA,"Laois",29,NA,"Poor",NA,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fissure at 170'. Dolomitised LST with LST-shale veins. Fogarty Drillers",NA,NA
"16","2317NWW235",NA,NA,"Borehole",74.7,12.2,"Bedrock Met",NA,240630,180990,"to 100m","DUNMORE",NA,"Laois",29,NA,"Good",NA,NA,218.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Water only from fissure at 74.7m",NA,NA
"17","2317SEW014",NA,NA,"Unknown",9.1,NA,"Bedrock Not Met",1976-05-06,258890,177500,"to 100m","CRETTYARD",NA,"Laois",31,"Industrial use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2317SWW053","ILC 1029",NA,"Borehole",31.4,0.9,NA,1965-07-23,232860,179800,"to 100m","GRANTSTOWN",NA,"Laois",28,NA,"Moderate",NA,65.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ILC 1029. Water entry at 21.6m & 31.1m.",NA,NA
"19","2317SWW054","ILC 1030",NA,"Borehole",12.5,6.7,"Bedrock Met",1965-07-20,233700,178720,"to 100m","OLDGLASS",NA,"Laois",28,"Agri & domestic use","Moderate","II",76.4,NA,NA,1.2,63.67,NA,8.2,NA,NA,NA,NA,NA,NA,NA
"20","2317SWW055","ILC 1031",NA,"Borehole",43.3,0.6,"Bedrock Met",1965-07-05,234060,179410,"to 100m","OLDGLASS",NA,"Laois",28,"Agri & domestic use","Moderate","IV",43.6,NA,NA,3.4,12.82,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2317SWW087",NA,NA,"Borehole",80.2,NA,"DTB Unknown",NA,240370,178760,"to 100m","LOUGHNAMUCK",NA,"Laois",29,NA,"Good",NA,196.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2317SWW110",NA,NA,"Borehole",611,14.3,"Bedrock Met",NA,238180,179520,"to 100m","BALLYGAUGE MORE",NA,"Laois",29,NA,"Good",NA,349.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2319NEW111",NA,NA,"Borehole",97.5,NA,"DTB Unknown",NA,257150,209510,"to 100m","BALLYCARROLL",NA,"Laois",5,"Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2319NEW113",NA,NA,"Borehole",25.3,10.4,"Bedrock Met",NA,252500,206170,"to 100m","EMO",NA,"Laois",8,NA,"Moderate",NA,392.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2319NEW118",NA,NA,"Dug well",9.1,NA,"DTB Unknown",NA,255000,201900,"to 100m","KILLONE",NA,"Laois",14,"Agri & domestic use","Poor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESB ref 14-1-6",NA,NA
"26","2319NEW119",NA,NA,"Borehole",47.5,NA,"DTB Unknown",1964-06-01,256880,206460,"to 100m","BALLYBRITTAS",NA,"Laois",9,"Agri & domestic use","Excellent",NA,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2319NEW120",NA,NA,"Borehole",30.5,0.5,"Bedrock Met",1930-05-01,253850,206560,"to 100m","EMO COURT",NA,"Laois",8,"Domestic use only","Poor",NA,8.2,NA,NA,NA,NA,127,NA,NA,NA,NA,NA,NA,NA,NA
"28","2319NEW148","PILOT Well","LAOIS CO. CO. Portlaoise Town WS","Borehole",61,NA,"Bedrock Not Met",1979-10-01,249000,201300,"to 100m","DERRYGARRAN",NA,"Laois",13,"Public supply (Co Co)","Excellent","I",982,NA,NA,11.5,85.39,150,NA,NA,NA,NA,NA,"72hr pump test.",NA,NA
"29","2319NEW154","southern spring",NA,"Spring",NA,NA,"DTB Unknown",NA,257700,202700,"to 100m","GARRYMADDOCK",NA,"Laois",9,"Industrial use","High Spring",NA,6229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2319NEW155",NA,NA,"Spring",NA,NA,"DTB Unknown",NA,257700,202700,"to 100m","GARRYMADDOCK",NA,"Laois",9,"Industrial use","High Spring",NA,2540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2319NWW058",NA,NA,"Borehole",57.6,11.2,"Bedrock Met",1978-08-03,240500,209000,"to 100m","SRAHLEAGH",NA,"Laois",3,"Public supply (Co Co)","Good","IV",131,NA,NA,NA,6.02,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2319NWW059",NA,"TULLAMORE URBAN COUNCIL","Borehole",76.2,5.5,"Bedrock Met",1978-09-28,235300,209900,"to 100m","TINNAHINCH",NA,"Laois",7,"Public supply (Co Co)","Excellent",NA,545.5,NA,NA,NA,NA,NA,12.2,27.4,54.9,NA,NA,NA,NA,NA
"33","2319NWW061",NA,NA,"Borehole",NA,NA,"DTB Unknown",1973-09-22,240800,208990,"to 100m","ROSENALLIS",NA,"Laois",3,NA,"Good","IV",131,NA,NA,19.1,6.86,NA,NA,NA,NA,NA,NA,"72HR PUMP TEST",NA,NA
"34","2319SEW148","Warm Spring   1017W","Rathleague Spring","Spring",NA,NA,NA,NA,248860,196560,"to 100m","RATHLEAGUE",NA,"Laois",13,"Unknown","Low Spring",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"accuracy given as 100m",NA
"35","2319SWW035",NA,"LAOIS COUNTY COUNCIL","Dug well",11,NA,"DTB Unknown",NA,230590,194700,"to 100m","BALLYHORAHAN",NA,"Laois",16,"Public supply (Co Co)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WATER COMING INTO WELL FROM NORTH",NA,NA
"36","2319SWW036",NA,NA,"Borehole",25.7,3.7,"Bedrock Met",NA,230640,194590,"to 100m","BALLYHORAHAN",NA,"Laois",16,"Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"NOW GONE DRY",NA,NA
"37","2319SWW061","ILC 575","Land Commission, Franks Estate","Borehole",117.4,5.5,"Bedrock Met",1959-03-01,233070,191300,"to 100m","CHURCHTOWN",NA,"Laois",16,NA,"Poor","V",21.8,NA,NA,80.2,0.27,NA,8.5,76.2,NA,NA,NA,NA,NA,NA
"38","2319SWW068",NA,NA,"Borehole",30.5,2.4,"Bedrock Met",1970-11-01,230940,194610,"to 100m","CLONIN",NA,"Laois",16,"Agri & domestic use","Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/LAO 1639",NA,NA
"39","2319SWW073",NA,NA,"Borehole",7.6,NA,"DTB Unknown",NA,233400,193110,"to 100m","BADGERHILL",NA,"Laois",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"REPUTED DEPTHS ONLY",NA,NA
"40","2319SWW074",NA,NA,"Spring",1.4,NA,"DTB Unknown",NA,233910,192890,"to 100m","DYSARTBEAGH",NA,"Laois",16,"Agri use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OCCASIONAL USE ONLY",NA,NA
"41","2319SWW094",NA,NA,"Borehole",180,22,"Bedrock Met",NA,230900,196990,"to 100m","PADDOCK",NA,"Laois",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2319SWW095",NA,NA,"Borehole",91,5,"Bedrock Met",NA,233300,198810,"to 100m","DRIM",NA,"Laois",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2319SWW182",NA,NA,"Borehole",31.7,10.1,"Bedrock Met",1970-04-10,238690,195570,"to 100m","CLONENAGH",NA,"Laois",17,"Agri & domestic use","Poor",NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/LAO 587",NA,NA
"44","2319SWW183",NA,NA,"Borehole",15.2,7.6,"Bedrock Met",1972-05-01,238070,195260,"to 100m","DERRAUGH",NA,"Laois",17,"Agri & domestic use","Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/LAO 1811",NA,NA
