"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","0811NEW002",NA,NA,"Borehole",21.3,4.6,"Bedrock Met",1967-06-01,109960,129790,"to 1km","PORT",NA,"Limerick",42,NA,"Poor",NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/2265",NA,NA
"2","0811NEW003",NA,NA,"Dug well",1.8,1.8,"Bedrock Presumed",1971-01-14,109030,124240,"to 1km","KILKINLEA LOWER",NA,"Limerick",42,NA,"Poor",NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/LMK 3393",NA,NA
"3","0811NEW004",NA,NA,"Dug well",2.4,2.4,"Bedrock Presumed",1966-08-09,109030,124290,"to 1km","KILKINLEA LOWER",NA,"Limerick",42,NA,"Poor",NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/LMK 2346",NA,NA
"4","0811NEW005",NA,NA,"Borehole",37.8,7.6,"Bedrock Met",1973-11-29,109030,124540,"to 1km","KILKINLEA LOWER",NA,"Limerick",42,NA,"Moderate",NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","0813NEW005",NA,NA,"Borehole",36.6,3.7,"Bedrock Met",1970-08-20,108760,147150,"to 1km","BALLYDONOHOE",NA,"Limerick",17,NA,"Moderate",NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/LMK 1195",NA,NA
"6","0813NEW006",NA,NA,"Borehole",9.1,6.1,"Bedrock Met",1972-10-13,109080,144600,"to 1km","BALLYGOGHLAN",NA,"Limerick",17,NA,"Poor",NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/LMK 4860",NA,NA
"7","0813NEW007",NA,NA,"Borehole",13.7,13.1,"Bedrock Met",1972-09-29,109080,144700,"to 1km","BALLYGOGHLAN",NA,"Limerick",17,NA,"Moderate",NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/LMK 4714",NA,NA
"8","0813NEW008",NA,NA,"Dug well",2.7,1.5,"Bedrock Met",1972-09-24,109590,147300,"to 1km","COURT",NA,"Limerick",17,NA,"Poor",NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/LMK 4600",NA,NA
"9","0813NEW009",NA,NA,"Borehole",27.4,3.7,"Bedrock Met",1975-07-22,108840,144490,"to 1km","BALLYGOGHLAN",NA,"Limerick",17,NA,"Moderate",NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/LMK 3768",NA,NA
"10","0813NEW111","N 141",NA,"Borehole",49.4,5.2,"Bedrock Met",1999-05-25,109500,144500,"to 1km","BALLYGOGHLAN",NA,"Limerick",17,"Agri & domestic use","Good","II",163.6,NA,NA,3.35,48.84,152,32.3,42.4,NA,NA,NA,"Drilled by Martin Lenihan, Glin
Pencil",NA,"2 hr test"
"11","0813NEW112","N 82",NA,"Borehole",50,5.2,"Bedrock Met",1998-07-04,109600,144600,"to 1km","BALLYGOGHLAN",NA,"Limerick",17,"Agri & domestic use","Good","III",109,NA,NA,5.5,19.84,152,34.7,43.6,NA,NA,NA,"Drilled by Martin Lenihan, Glin
Pencil",NA,"2 hr test"
"12","0813NEW113","PWN 24",NA,"Borehole",68.3,3.7,"Bedrock Met",1998-04-27,109850,145800,"to 1km","BALLYCULLANE",NA,"Limerick",17,"Agri & domestic use","Moderate","IV",54.5,NA,NA,7.6,7.15,152,50.3,60.4,NA,NA,NA,"Drilled by Martin Lenihan, Glin
Pencil",NA,NA
"13","0813NEW114","PWN 43",NA,"Borehole",48.8,5.5,"Bedrock Met",1995-02-12,109800,145850,"to 1km","BALLYCULLANE",NA,"Limerick",17,"Agri & domestic use","Moderate","III",65.5,NA,NA,3.7,17.7,152,36.9,42.4,NA,NA,NA,"Drilled by Martin Lenihan, Glin
Pencil",NA,"1 hr test"
"14","1111NEW002",NA,NA,"Dug well",3.7,3.7,"Bedrock Met",1971-02-10,130420,129690,"to 1km","FAWNLEHANE",NA,"Limerick",56,NA,"Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1111NEW003",NA,NA,"Borehole",18.6,17.1,"Bedrock Met",1971-12-31,129650,129750,"to 1km","MOANLEANA",NA,"Limerick",36,NA,"Poor",NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/LMK 4574",NA,NA
"16","1111NEW004",NA,NA,"Borehole",24.1,24.1,"Bedrock Presumed",1970-12-07,127030,129800,"to 1km","GARDENFIELD",NA,"Limerick",36,NA,"Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Original record has DTB(solid) = 24.1m
WTB/LMK 3134",NA,NA
"17","1111NEW007",NA,NA,"Borehole",23.8,3.4,"Bedrock Met",1973-03-01,126480,122670,"to 1km","MAURICETOWN",NA,"Limerick",53,NA,"Poor",NA,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/LMK 2508",NA,NA
