"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2025NWW114","LON 13","Lanesborough RWS","Borehole",NA,NA,"DTB Unknown",NA,200850,269500,"to 100m","AGHAMORE","LANESBOROUGH","Longford",17,"Public supply (Co Co)","Excellent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depth of well unknown at present","Lanesborough Power Station","Yield ect unknown at present but EPA say 2000 m3/d"
"2","2025NEW001",NA,NA,"Borehole",15.2,1.2,"Bedrock Met",NA,219630,269240,"to 500m","MOYRA",NA,"Longford",19,NA,"Poor",NA,24.8,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"Drilled by Kelly & Bennett
Flints (Chert) in rock - very hard","Bedrock sheet 12","Info Jan 1962"
"3","2025NEW003",NA,"Longford Co. Co.","Borehole",24.4,NA,"DTB Unknown",NA,224990,268860,"to 500m","BOHERNACROSS",NA,"Longford",20,"Public supply (Co Co)","Moderate",NA,55.6,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"Drilled by Kelly & Bennett, 1957","Bedrock sheet 12",NA
"4","2025NEW005",NA,NA,"Borehole",30.2,NA,"Bedrock Not Met",1962-02-01,221160,263310,"to 500m","LISCORMICK","CARRICKBOY","Longford",23,"Agri & domestic use","Moderate",NA,56.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by Kelly & Bennett","Bedrock sheet 12","Steel Casing, Max Safe yield: 
32.7m3/day"
"5","2025NWW102",NA,NA,"Borehole",12.2,NA,"DTB Unknown",NA,211120,267330,"to 500m","KNOCKATARRY POYNTON",NA,"Longford",18,"Agri & domestic use","Moderate","III",54.5,NA,NA,3.7,15,NA,NA,NA,NA,NA,NA,NA,NA,"Date of info Aug 1968"
"6","2025NWW107",NA,"ESB POWER STATION","Borehole",22.5,6.1,"Bedrock Met",NA,200830,269580,"to 500m","AGHAMORE","LANESBOROUGH TOWN","Longford",17,"Industrial use","Excellent",NA,436,NA,NA,NA,NA,254,NA,NA,NA,NA,NA,"Drilled by Kelly & Bennett","LANESBOROUGH TOWN","23071"
"7","2025SEW001",NA,NA,"Dug well",4,0.9,"Bedrock Met",NA,220210,259330,"to 500m","KILNACARROW","ABBEYSHRULE","Longford",23,"Agri & domestic use","Poor",NA,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bedrock sheet 12","Test date 16 Feb 1972"
"8","2027NEW003",NA,"Longford Co. Co.","Borehole",46.6,19.2,"Bedrock Met",1959-04-18,215390,288730,"to 500m","BREANRISKCULLEW","DRUMLISH","Longford",5,"Public supply (Co Co)","Poor",NA,39.2,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"Drilled by Kelly & Bennett",NA,NA
"9","2027NEW005",NA,NA,"Borehole",30.5,NA,"DTB Unknown",1971-11-26,215210,285700,"to 500m","DRUMLISH",NA,"Longford",5,"Agri & domestic use","Good",NA,152.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"test date 26-11-1971"
"10","2027NEW006",NA,"Longford Co. Co.","Borehole",22.2,0.6,"Bedrock Met",1964-03-09,222100,286100,"to 500m","CARRICKATEANE",NA,"Longford",5,"Public supply (Co Co)","Moderate",NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by Kelly & Bennett",NA,"Kelly and Bennett"
"11","2027NEW013",NA,"DOOROC WSS","Borehole",NA,NA,"DTB Unknown",NA,218260,284790,"to 500m","DOOROC",NA,"Longford",5,"Public supply (Co Co)",NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2027SEW006",NA,"Longford Co. Co.","Borehole",33.8,3.1,"Bedrock Met",NA,225170,270470,"to 500m","SHANTUM",NA,"Longford",20,"Public supply (Co Co)","Moderate",NA,45.8,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"Drilled by Kelly & Bennett, 1957","Bedrock sheet 12","Kelly and Bennett"
"13","2027SEW010",NA,"Longford Co. Co.","Borehole",48.2,3.1,"Bedrock Met",NA,220370,277860,"to 500m","KILMOYLE",NA,"Longford",14,"Public supply (Co Co)","Moderate",NA,78.5,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"Drilled by Kelly & Bennett, 1957","Bedrock Sheet No. 12",NA
"14","2027SEW011",NA,NA,"Borehole",48.2,3.1,"Bedrock Met",NA,220310,275680,"to 500m","KILMOYLE",NA,"Longford",14,NA,"Moderate",NA,53.4,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,"Bedrock Sheet 12",NA
"15","2027SEW015","ILC 1447",NA,"Borehole",41.7,NA,"DTB Unknown",NA,229340,276060,"to 500m","TULLY",NA,"Longford",15,"Agri & domestic use","Poor","IV",22.6,NA,NA,5.8,4.9,NA,NA,NA,NA,NA,NA,NA,NA,"test date 21- nov-1968  dd= 5.8m"
"16","2027SWW101",NA,NA,"Borehole",19.2,0.4,"Bedrock Met",NA,214100,273030,"to 500m","LISDUFF",NA,"Longford",13,"Agri & domestic use","Poor",NA,11.8,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"Drilled by Kelly & Bennett
Very hard rock",NA,"Kelly and Bennet info jan 1962"
"17","2027SWW102","Well 1","Longford Construction","Borehole",30.5,NA,"DTB Unknown",1969-11-18,214370,274050,"to 500m","FARNAGH",NA,"Longford",13,"Industrial use","Good",NA,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2027SWW103","Well 2","Longford Construction","Borehole",61,NA,"DTB Unknown",1969-11-18,214450,273970,"to 500m","FARNAGH",NA,"Longford",13,"Industrial use","Excellent",NA,545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Longford Construction",NA
