"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2629SEW302","2016",NA,"Borehole",79.2,NA,"DTB Unknown",2000-01-20,288390,296130,"to 100m","RATHGEENAN",NA,"Louth",13,"Domestic use only","Poor",NA,26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by Dunnes, Dundalk
Deepened from 32m to 79.2m",NA,"Yield estimated"
"2","2927NEW004",NA,NA,"Borehole",19.5,15,"Bedrock Met",NA,313380,289300,"to 100m","PORT",NA,"Louth",19,"Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2927NEW005",NA,NA,"Borehole",16.1,7,"Bedrock Met",NA,312200,288000,"to 100m","TOGHER",NA,"Louth",19,"Agri & domestic use","Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2927NEW006",NA,NA,"Borehole",26.5,NA,"DTB Unknown",NA,316400,284500,"to 100m","CLOGHER",NA,"Louth",22,"Industrial use","Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2927NEW027",NA,NA,"Borehole",53.3,15.2,"Bedrock Met",2002-09-06,305810,280510,"to 100m","NEWTOWN MONASTERBOICE",NA,"Louth",21,"Agri & domestic use","Moderate",NA,54.5,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"Driller Dunnes, Dromiskin",NA,"Y estimated"
"6","2927NEW031","1340",NA,"Borehole",67,10.7,"Bedrock Met",1996-09-23,309900,286390,"to 100m","GRANGEBELLEW",NA,"Louth",18,"Agri & domestic use","Poor",NA,8.7,NA,NA,NA,NA,152,54.9,NA,NA,NA,NA,"Driller Dunnes, Dromiskin",NA,"Yield estimated"
"7","2927NEW032","555",NA,"Borehole",54.9,3.1,"Bedrock Met",1998-09-23,313600,282200,"to 100m","TERMONFECKIN",NA,"Louth",22,"Agri & domestic use","Poor",NA,32.7,NA,NA,NA,NA,152,36.6,48.8,NA,NA,NA,"Driller Dunnes, Dromiskin",NA,"Y estimated"
"8","2927NEW034","1341",NA,"Borehole",42.7,1.5,"Bedrock Met",1998-06-11,306650,281750,"to 100m","BROWNSTOWN",NA,"Louth",21,"Agri & domestic use","Moderate",NA,54.5,NA,NA,NA,NA,152,30.5,36.6,NA,NA,NA,"Driller Dunnes, Dromiskin",NA,"Yield estimated"
"9","2927NEW074",NA,NA,"Borehole",31.4,12.2,"Bedrock Met",1999-07-05,314520,289710,"to 100m","MITCHELSTOWN",NA,"Louth",19,"Domestic use only","Good",NA,218,NA,NA,NA,NA,167,10.7,12.2,NA,NA,NA,"Drilled by Des Meehan, Blackrock",NA,"4 hr test"
"10","2927NWW100",NA,"Philipstown School","Borehole",57.9,25.9,"Bedrock Met",1977-11-01,300830,286100,"to 100m","PHILIPSTOWN",NA,"Louth",17,"Domestic use only","Poor",NA,32.7,NA,NA,NA,NA,NA,1.8,15.2,50.3,NA,NA,NA,NA,NA
