"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","0533SEW001","EPA MAY 36","Belmullet GWS","Dug well",NA,NA,NA,NA,67400,331900,"to 100m","EMLYBEG NORTH","Belmullet","Mayo","9","Group Scheme","Good",NA,250,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA grid refs supplied. Info from EPA GW sources Mar 2002","Quantity 250m3/d"
"2","0825NEW002","MO WG 241",NA,"Borehole",67.1,3.7,"Bedrock Met",2001-03-16,106510,264940,"to 100m","CHURCHFIELD UPPER","Tourmakeady","Mayo","116A","Agri & domestic use","Poor","V",21.8,NA,NA,48.8,0.45,152,33.5,48.8,NA,NA,NA,"Drilled by Tony Lynch, Cappamore",NA,"72 hr test; Cavities at 33.5m and 48.8m"
"3","0831SEW002","MO WG 204",NA,"Borehole",51.8,4.9,"Bedrock Met",1999-10-21,102730,310670,"to 100m","KEENAGH BEG","Crossmolina","Mayo","46","Agri & domestic use","Poor","V",4.6,NA,NA,24.4,0.2,152,15.2,33.5,NA,NA,NA,"Drilled by Dullea, Donegal","Past Keenagh Church and school,1st road on left, 2nd house on right up a little lane","24 hr test
Chemical data available"
"4","1129SWW003",NA,NA,"Borehole",NA,NA,NA,NA,120780,293170,"to 100m","CASTLEBAR","Gortnafolla","Mayo","78","Agri & domestic use","Good",NA,109.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,"Plentiful supply.
Yield of 21.8m3/d. Then blasted until 65lbs powder. 130.92m3/d, diminished a bit.
1972"
"5","1131SWW004",NA,NA,"Borehole",37.2,4.3,"Bedrock Met",NA,124040,316940,"to 100m","BALLINA","Rehins","Mayo","39","Industrial use","Excellent","I",1308,NA,NA,NA,172,150,NA,NA,NA,NA,NA,"unknown","Rotary","slightly sulphur"
"6","1133SWW002","MO WG 002",NA,"Borehole",42.7,3.1,"Bedrock Met",1998-10-02,117670,338230,"to 100m","CASTLETOWN","Ballina","Mayo","7","Agri & domestic use","Poor","V",16.4,NA,NA,15.2,1.08,152,36.6,NA,NA,NA,NA,"Drilled by Boland Bros, Enniscrone","v rough site map included. Near Castletown House","10 hr test; chemical data available"
"7","1125NEW017","BH1",NA,"Borehole",7.5,7.5,"Bedrock Met",NA,136080,269760,"to 500m","BALLINDINE NORTH","Ballindine","Mayo","111","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA
"8","1127NEW003",NA,NA,"Unknown",53.3,NA,"DTB Unknown",NA,126200,284540,"to 500m","BALLA","Kiltamagh","Mayo","90","Agri & domestic use","Good",NA,218.3,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,"unknown",NA,"Excellem water. 3/1/1969"
"9","1127NEW005",NA,NA,"Borehole",29,4.9,"Bedrock Met",NA,127600,281740,"to 500m","MONARD","Claremorris","Mayo","91","Agri & domestic use","Excellent",NA,545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,NA
"10","1127NWW003",NA,NA,"Borehole",61,NA,"DTB Unknown",NA,117400,274500,"to 500m","LUGAPHUILL","Castlebar","Mayo","79","Agri & domestic use","Excellent",NA,436.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown",NA,"22/11/68, 1st well bored to 68m, no water, 2nd well 18m from the 1st.Excellen supply"
