"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2323NEW004",NA,"Meath Co. Co.","Borehole",28.3,NA,"DTB Unknown",NA,259790,244450,"to 100m","ROSSAN",NA,"Meath",46,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Co. Co. Hand Pump","Map ref. 103/518",NA
"2","2623NEW033","ILC 1449A","Land Commission, Grehan Estate","Borehole",41.1,7.5,"Bedrock Met",1971-01-01,287850,243530,"to 100m","PIERCETOWN",NA,"Meath",49,NA,"Moderate","IV",65.5,NA,NA,5.49,11.92,152,NA,NA,NA,NA,NA,"LC 1449A",NA,"Bailer test only"
"3","2623NEW034","ILC 1450","Land Commission, Grehan Estate","Dug well",5.6,NA,"Bedrock Not Met",1972-01-01,287950,243560,"to 100m","PIERCETOWN",NA,"Meath",49,NA,"Poor",NA,8.8,NA,NA,NA,NA,1067,NA,NA,NA,NA,NA,"LC 1450",NA,NA
"4","2623NEW035","ILC 1451","Land Commission, Grehan Estate","Dug well",4,NA,"Bedrock Not Met",1969-10-01,288480,243380,"to 100m","PIERCETOWN",NA,"Meath",49,NA,"Poor",NA,37.5,NA,NA,1.8,18.33,NA,NA,NA,NA,NA,NA,"LC 1451",NA,NA
"5","2623NEW082",NA,NA,"Dug well",7.3,NA,"Bedrock Not Met",NA,279360,249380,"to 100m","CHERRYVALLEY",NA,"Meath",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2623NEW093",NA,"Meath Co. Co.","Dug well",4.6,NA,"Bedrock Not Met",NA,278400,241600,"to 100m","POSSECKSTOWN",NA,"Meath",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No. 719, Geoex well survey 1977","Map ref. 719",NA
"7","2623NEW096","TW 1",NA,"Borehole",60,12,"Bedrock Met",1984-01-01,284100,248900,"to 100m","CLONMAHON",NA,"Meath",43,"Public supply (Co Co)","Good","II",370,NA,NA,7,52.86,NA,30,34,NA,NA,NA,NA,NA,NA
"8","2623NEW156",NA,NA,"Dug well",4,NA,"Bedrock Not Met",NA,275350,245550,"to 100m","CULLENTRY",NA,"Meath",48,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/MTH 1550",NA,NA
"9","2623NEW271",NA,"Meath Co. Co.","Dug well",1.5,NA,"Bedrock Not Met",NA,279940,242310,"to 100m","BALLINDERRIN",NA,"Meath",48,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Co. Co. Hand Pump","Map ref. 710/554",NA
"10","2623NEW272",NA,"Meath Co. Co.","Dug well",5.2,NA,"Bedrock Not Met",NA,277500,241210,"to 100m","ENFIELD",NA,"Meath",48,"Other","Poor",NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Co. Co. Hand Pump","Map ref. 712/8",NA
"11","2623NEW273",NA,"Meath Co. Co.","Borehole",NA,NA,NA,NA,278070,245200,"to 100m","BALLYNASKEA",NA,"Meath",48,"Public supply (Co Co)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Co. Co. Hand Pump","Map ref. 743/548",NA
"12","2623NEW274",NA,"Meath Co. Co.","Borehole",16.2,NA,"DTB Unknown",NA,279600,244050,"to 100m","BACONSTOWN",NA,"Meath",48,"Other","Poor",NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Co. Co. Hand Pump","Map ref. 742/73",NA
"13","2623NEW275",NA,"Meath Co. Co.","Dug well",NA,NA,NA,NA,280650,242650,"to 100m","RATHTROANE",NA,"Meath",48,"Public supply (Co Co)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Co. Co. Hand Pump","Map ref. 741/555",NA
"14","2623NEW276",NA,"Meath Co. Co.","Dug well",3.4,NA,"Bedrock Not Met",NA,275990,242500,"to 100m","NEWCASTLE",NA,"Meath",48,"Public supply (Co Co)","Poor",NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Co. Co. Hand Pump","Map ref. 724/549",NA
"15","2623NEW277",NA,"Meath Co. Co.","Dug well",NA,NA,NA,NA,275460,243950,"to 100m","RATHCORE",NA,"Meath",48,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Co. Co. Hand Pump","Map ref. 718/549",NA
"16","2623NEW278",NA,"Meath Co. Co.","Borehole",21.3,9.8,"Bedrock Met",NA,276700,245150,"to 100m","RATHCORE",NA,"Meath",48,"Public supply (Co Co)","Poor",NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Co. Co. Hand Pump","Map ref. 717/546",NA
"17","2623NEW279",NA,"Meath Co. Co.","Dug well",6.7,NA,"Bedrock Not Met",NA,279340,245640,"to 100m","BALLYNASKEA",NA,"Meath",48,"Public supply (Co Co)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Co. Co. Hand Pump","Map ref. 740/73",NA
"18","2623NEW280",NA,"Meath Co. Co.","Dug well",7.6,NA,"Bedrock Not Met",NA,276540,241600,"to 100m","NEWCASTLE",NA,"Meath",48,"Public supply (Co Co)","Poor",NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Co. Co. Hand Pump","Map ref. 723/8",NA
"19","2623NEW281",NA,"Meath Co. Co.","Borehole",4.9,NA,"Bedrock Not Met",NA,277920,240970,"to 100m","JOHNSTOWN",NA,"Meath",48,"Public supply (Co Co)","Poor",NA,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Co. Co. Hand Pump","Map ref. 713/8",NA
