"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","1721NEW002",NA,"Offaly Board of Health","Borehole",15.5,NA,"Bedrock Not Met",1905-04-23,197550,226330,"to 1km","RAGHRA","Shannonbridge","Offaly",13,NA,"Good",NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1721NEW003",NA,"UNKNOWN","Borehole",13.4,NA,"Bedrock Not Met",1962-04-01,197550,225950,"to 1km","RAGHRA",NA,"Offaly",13,NA,"Good","IV",135.2,NA,NA,36.5,3.7,NA,NA,NA,NA,NA,NA,NA,NA,"Date 18/4/1963"
"3","1721NEW004",NA,"ELECTRICITY SUPPLY BOARD","Borehole",62.5,2.1,"Bedrock Met",1962-04-01,197600,224850,"to 1km","CLONIFFEEN",NA,"Offaly",13,"Industrial use","Poor",NA,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESB BH No. 2",NA,NA
"4","1721NEW005",NA,"ELECTRICITY SUPPLY BOARD","Borehole",45.7,1.8,"Bedrock Met",1962-04-01,197600,224750,"to 1km","CLONIFFEEN",NA,"Offaly",13,"Industrial use","Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESB BH No. 1",NA,NA
"5","1721NEW006",NA,NA,"Dug well",3.7,3.7,"Bedrock Presumed",1973-10-20,199900,223900,"to 1km","LECARROW",NA,"Offaly",13,"Domestic use only","Poor",NA,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1721NEW007",NA,NA,"Borehole",38.4,3.1,"Bedrock Met",1966-03-15,198580,226420,"to 1km","CLONIFF",NA,"Offaly",13,"Domestic use only","Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/OFF 751",NA,NA
"7","1721NEW008",NA,NA,"Dug well",8.2,4.3,"Bedrock Met",1971-10-06,199150,229200,"to 1km","CREEVAGH",NA,"Offaly",5,"Domestic use only","Poor",NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1721SEW001",NA,"ESB","Borehole",27.4,NA,"DTB Unknown",NA,198350,213200,"to 1km","CLOGHAN BEG",NA,"Offaly",29,"Public supply (Co Co)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESB ref. 29/7",NA,NA
"9","2017NWW005",NA,NA,"Dug well",3.7,NA,"Bedrock Not Met",1960-09-01,208000,185000,"to 1km","CLASHAGAD",NA,"Offaly",45,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2017NWW007",NA,NA,"Borehole",36.6,NA,"DTB Unknown",1961-03-04,205720,185780,"to 1km","FRANKFORT",NA,"Offaly",45,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No yield data
ESB ref. 45-10-34",NA,NA
