"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","1427NEW064","ROBH070",NA,"Borehole",7.5,7.5,"Bedrock Presumed",2001-09-25,156210,281890,"to 10m","CLOONCAN",NA,"Roscommon","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1427NEW065","ROBH072",NA,"Borehole",10,NA,"Bedrock Not Met",2001-09-25,158730,282030,"to 10m","TAGHNARRA",NA,"Roscommon","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1427NEW066","ROBH073",NA,"Borehole",6,6,"Bedrock Met",2001-09-26,160390,283110,"to 10m","CLOONFLOWER",NA,"Roscommon","20","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1427NEW067","ROBH074",NA,"Borehole",5.8,5.8,"Bedrock Met",NA,164720,281460,"to 10m","CREGLAHAN",NA,"Roscommon","20","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1427NEW068","ROBH075",NA,"Borehole",10,NA,"Bedrock Not Met",2001-09-26,168220,281810,"to 10m","BALLINDRUMLEA",NA,"Roscommon","20","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1427NEW069","ROBH076",NA,"Borehole",7,7,"Bedrock Met",2001-09-26,167400,283310,"to 10m","CLOONACARRAGH",NA,"Roscommon","20","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1427NEW070","ROBH077",NA,"Borehole",1.5,1.5,"Bedrock Met",2001-09-26,168220,286430,"to 10m","PARKEEL",NA,"Roscommon","20","Unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1427NEW071","ROBH085",NA,"Borehole",10,NA,"DTB Unknown",2001-09-27,160510,289100,"to 10m","FIGH",NA,"Roscommon","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1427NEW072","RO BH084",NA,"Borehole",10,NA,"Bedrock Not Met",2001-09-27,156850,288640,"to 10m","CLOONACOLLY",NA,"Roscommon","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1427NEW073","ROBH082",NA,"Borehole",2.5,2.5,"Bedrock Met",2001-09-27,155790,284730,"to 10m","CARROWBEHY",NA,"Roscommon","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
