"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2023NEW002","L C 710",NA,"Borehole",12.4,7.3,"Bedrock Met",NA,217270,245520,"to 1km","LISSANODE",NA,"Westmeath",23,"Unknown","Good",NA,130.9,NA,NA,NA,NA,NA,9.4,NA,NA,NA,NA,NA,NA,"info aug 1960"
"2","2023NEW010",NA,NA,"Borehole",45.7,10.7,"Bedrock Met",1999-08-14,218730,240630,"to 1km","COOLEEN",NA,"Westmeath",30,"Agri & domestic use","Poor",NA,27.3,NA,NA,NA,NA,150,30.5,44.2,NA,NA,NA,NA,NA,NA
"3","2023NEW018",NA,NA,"Borehole",45.7,1.5,"Bedrock Met",1999-08-01,217080,248670,"to 1km","DRUMRANEY",NA,"Westmeath",23,"Agri & domestic use","Good","IV",109.1,NA,NA,NA,7.96,150,30.5,44.2,NA,NA,NA,NA,NA,NA
"4","2023NEW028",NA,NA,"Borehole",57.9,53.3,"Bedrock Met",NA,216350,248700,"to 1km","DRUMRANEY",NA,"Westmeath",24,"Agri & domestic use","Poor",NA,10.9,NA,NA,NA,NA,150,24.4,42.6,NA,NA,NA,NA,NA,NA
"5","2023NEW029",NA,NA,"Borehole",76.2,5.5,"Bedrock Met",1992-11-06,221470,244580,"to 1km","RAHEEN",NA,"Westmeath",23,"Agri & domestic use","Poor",NA,10.9,NA,NA,NA,NA,150,54.9,67,NA,NA,NA,NA,NA,NA
"6","2023NEW030",NA,NA,"Borehole",91.4,7.6,"Bedrock Met",NA,217150,247900,"to 1km","CARTRONCORAGH",NA,"Westmeath",23,"Agri & domestic use","Poor",NA,21.8,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA
"7","2023NEW032","ILC 988",NA,"Borehole",23.3,NA,"DTB Unknown",NA,217800,245810,"to 1km","LISSANODE",NA,"Westmeath",23,"Agri & domestic use","Poor","V",16.4,NA,NA,NA,0.78,NA,NA,NA,NA,NA,NA,NA,NA,"dd= 20.8m   test date 7-may-1964"
"8","2023NEW033","ILC 989",NA,"Borehole",11.2,NA,"DTB Unknown",NA,217810,245700,"to 1km","LISSANODE",NA,"Westmeath",23,"Agri & domestic use","Poor","IV",19.6,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,"Steel Casing, Max Safe yield: 
32.7m3/day"
"9","2023NEW034","ILC 1525",NA,"Borehole",35.5,NA,"DTB Unknown",NA,227230,248550,"to 1km","KILLARECASTLE",NA,"Westmeath",24,"Agri & domestic use","Moderate","III",72.4,NA,NA,NA,16.8,150,NA,NA,NA,NA,NA,NA,NA,"dd= 4.3m    test date 15-6-1970"
"10","2023NWW102","W / TB / WM 1863",NA,"Borehole",81.4,3.6,"Bedrock Presumed",NA,207680,243750,"to 1km","BALLYKEERAN",NA,"Westmeath",29,"Agri & domestic use","Good",NA,272.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"test date sep 1972"
"11","2023NWW103","L C 723",NA,"Borehole",19.8,6.7,"Bedrock Presumed",1961-10-01,210970,240420,"to 1km","TULLY",NA,"Westmeath",29,"Unknown","Moderate",NA,98.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2023NWW114",NA,NA,"Borehole",45.7,8.5,"Bedrock Met",NA,211150,248670,"to 1km","BRITTAS",NA,"Westmeath",114,"Agri & domestic use","Moderate",NA,87.3,NA,NA,NA,NA,150,39.6,NA,NA,NA,NA,NA,NA,NA
"13","2023NWW118",NA,NA,"Borehole",76.2,2.1,"Bedrock Met",NA,206220,249800,"to 1km","PORTLICK",NA,"Westmeath",22,"Agri & domestic use","Poor",NA,27.2,NA,NA,NA,NA,150,68.6,NA,NA,NA,NA,NA,NA,NA
"14","2023NWW131",NA,NA,"Borehole",60.9,3.6,"Bedrock Met",1998-02-12,206830,247480,"to 1km","KILLINURE",NA,"Westmeath",22,"Agri & domestic use","Moderate",NA,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2023NWW132",NA,NA,"Borehole",121.9,4.6,"Bedrock Met",2000-08-01,206710,247530,"to 1km","KILLINURE SOUTH",NA,"Westmeath",22,"Agri & domestic use","Poor",NA,19.6,NA,NA,NA,NA,160,106.7,NA,NA,NA,NA,NA,NA,NA
"16","2023SEW103",NA,NA,"Borehole",38.1,4.9,"Bedrock Met",2000-04-01,229200,237920,"to 1km","COOLALOUGH",NA,"Westmeath",31,"Agri & domestic use","Poor",NA,32.7,NA,NA,NA,NA,150,21.3,NA,NA,NA,NA,NA,NA,NA
"17","2025NEW205",NA,NA,"Borehole",54.9,5.4,"Bedrock Met",1998-06-01,226170,260120,"to 1km","BALLYNACARROW",NA,"Westmeath",10,"Agri & domestic use","Moderate",NA,54.5,NA,NA,NA,NA,150,36.6,NA,NA,NA,NA,NA,NA,NA
"18","2025SEW203",NA,NA,"Borehole",103.6,7.6,"Bedrock Met",1999-11-16,216450,250560,"to 1km","ARDNACRANEY",NA,"Westmeath",23,"Agri & domestic use","Poor",NA,5.4,NA,NA,NA,NA,150,79.2,91.4,97.5,NA,NA,NA,NA,NA
"19","2025SEW205",NA,NA,"Borehole",42.6,3.4,"Bedrock Met",NA,227750,259150,"to 1km","CASTLEGADDERY",NA,"Westmeath",10,"Agri & domestic use","Poor","IV",16.4,NA,NA,NA,5.37,150,12.2,27.4,33.5,NA,NA,NA,NA,NA
"20","2025SEW210","ILC 1629",NA,"Borehole",14.6,NA,"DTB Unknown",NA,216170,252420,"to 1km","ARDNACRANY NORTH",NA,"Westmeath",16,"Agri & domestic use","Moderate","II",70.9,NA,NA,NA,70.9,200,NA,NA,NA,NA,NA,NA,NA,"test date 18-nov-1972   dd = 1m"
"21","2025SEW211","ILC 1630",NA,"Borehole",19.5,NA,"DTB Unknown",1971-11-19,216070,252340,"to 1km","ARDNACRANY NORTH",NA,"Westmeath",16,"Agri & domestic use","Moderate","III",96.01,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,"test date 29-jan-1972"
"22","2025SEW212","ILC 1632",NA,"Borehole",37.5,NA,"DTB Unknown",1971-12-21,216050,252460,"to 1km","ARDNACRANY NORTH",NA,"Westmeath",16,"Agri & domestic use","Poor","V",39.3,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,"dd= 21.3m    test date 10-mar-1972"
"23","2025SWW015",NA,NA,"Borehole",97.5,4.3,"Bedrock Met",NA,214680,252140,"to 1km","COOLVIN",NA,"Westmeath",16,"Agri & domestic use","Poor",NA,5.4,NA,NA,NA,NA,150,24.4,85.3,NA,NA,NA,NA,NA,NA
"24","2323NEW200","I LC 847",NA,"Borehole",16.7,14.6,"Bedrock Met",1962-02-01,247550,245200,"to 1km","BELLEFIELD",NA,"Westmeath",26,"Unknown","Moderate","IV",43.6,NA,NA,NA,4.9,NA,15.2,NA,NA,NA,NA,NA,NA,NA
"25","2323NEW201","I LC 873",NA,"Borehole",19.8,10.6,"Bedrock Met",1962-03-01,247700,247890,"to 1km","VILANSTOWN",NA,"Westmeath",26,"Unknown","Poor","IV",21.8,NA,NA,NA,8,NA,10.6,NA,NA,NA,NA,NA,NA,NA
"26","2323NEW202","I LC 874",NA,"Borehole",12.2,6,"Bedrock Met",NA,247770,248040,"to 1km","VILANSTOWN",NA,"Westmeath",26,"Unknown","Moderate","III",43.6,NA,NA,NA,48,NA,8.5,NA,NA,NA,NA,NA,NA,"yield probably higher than 50"
"27","2323NEW231","ILC 1056",NA,"Borehole",15.2,NA,"DTB Unknown",NA,254050,246420,"to 1km","LOWTOWN",NA,"Westmeath",27,"Agri & domestic use","Moderate","II",43.6,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,"test date 1-mar-1965"
