"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2911NWW033","THNSK-TM-3.2001",NA,"Borehole",32.8,NA,"DTB Unknown",2001-04-26,293440,120270,"to within 100m","CLOGHULATAGH",NA,"Wexford",36,"Agri & domestic use","Good",NA,327.3,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA
"2","2911SWW051","ESB #4",NA,"Borehole",56.6,9.2,"Bedrock Met",1975-09-08,299400,110180,"to within 100m","MULRANKIN",NA,"Wexford",47,"Industrial use","Moderate","IV",98.2,NA,NA,NA,3.36,250,NA,NA,NA,NA,NA,NA,NA,"2 steel casings"
"3","2913NEW001","TRIAL WELL #2","WEXFORD CO.COUNCIL","Borehole",60,20,"Bedrock Met",1987-11-01,314250,142750,"to within 100m","BALLYGORTIN",NA,"Wexford",21,"Other","Moderate",NA,65,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,"Drilled by O'Donohoe, Gorey
Borehole abandoned",NA,"MAIN AQUIFER RIBBAND GROUP,
 STEEL CASING"
"4","2913NEW002","TRIAL WELL#3","WEXFORD CO.COUNCIL","Borehole",63,6,"Bedrock Met",1987-11-01,313500,143000,"to within 100m","TOMGARROW",NA,"Wexford",21,"Other","Poor",NA,22,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,"Drilled by O'Donohoe, Gorey
Borehole abandoned",NA,"STEEL CASING"
"5","2913NEW003","PRODUCTION WELL #2","WEXFORD CO. COUNCIL","Borehole",61,29.5,"Bedrock Met",1988-03-01,314750,141500,"to within 100m","NEWTOWN",NA,"Wexford",21,"Public supply (Co Co)","Good",NA,400,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,"Drilled by O'Donohoe, Gorey",NA,"RIBBAND GROUP (SHALES), STEEL CASING"
"6","2913NEW004","PRODUCTION WELL#1,BALLY GARRAN PUMPING STN.","WEXFORD CO.COUNCIL","Borehole",79,29.5,"Bedrock Met",1988-03-01,315000,142000,"to within 100m","BALLYGARRAN",NA,"Wexford",21,"Public supply (Co Co)","Good","III",370,NA,NA,NA,12.3,200,49,NA,NA,NA,NA,"Drilled by O'Donohoe, Gorey",NA,"RIBBAND GROUP, STEEL CASING"
"7","2913NEW012","WGI/722",NA,"Borehole",36.6,5.2,"Bedrock Met",1999-02-05,310240,142260,"to within 100m","KNOCKSKEMOLIN",NA,"Wexford",21,"Agri & domestic use","Poor","V",28.4,NA,NA,NA,3.1,152,NA,NA,NA,NA,NA,NA,NA,NA
"8","2913NEW015","Trial Well No.1","Wexford County Council","Borehole",61,27,"Bedrock Met",1987-11-01,314750,142000,"to within 100m","NEWTOWN",NA,"Wexford",21,"Public supply (Co Co)","Excellent","II",392,NA,NA,13,30,200,NA,NA,NA,NA,NA,"Drilled by O'Donohoe, Gorey",NA,NA
"9","2913NWW011","ILC 1362",NA,"Borehole",27.4,7.6,"Bedrock Met",2069-04-29,299770,140270,"to within 100m","TOMNAFUNSHOGE",NA,"Wexford",20,"Agri & domestic use","Poor","III",25.5,NA,NA,NA,4.9,152,NA,NA,NA,NA,NA,NA,NA,NA
"10","2913NWW012","ILC 1361",NA,"Borehole",39.6,25.3,"Bedrock Met",1969-05-07,300770,140220,"to within 100m","TOMNAFUNSHOGE",NA,"Wexford",20,"Agri & domestic use","Poor","III",23.8,NA,NA,NA,79.3,152,NA,NA,NA,NA,NA,NA,NA,NA
"11","2913NWW024",NA,NA,"Borehole",32,1.2,"Bedrock Met",1998-07-23,301030,146850,"to within 100m","CLONE",NA,"Wexford",15,"Agri & domestic use","Poor","IV",32.7,NA,NA,NA,10.94,152,19.8,27.4,NA,NA,NA,NA,NA,NA
"12","2913SEW007",NA,"Wexford Co. Council Kilmuckridge WSS","Borehole",46,NA,"Bedrock Not Met",NA,315900,139310,"to within 100m","BALLYMACSIMON",NA,"Wexford",28,"Public supply (Co Co)","Excellent","II",925,NA,NA,NA,73.7,150,NA,NA,NA,NA,NA,"Drilled by Sean Flood/Seamus kelly",NA,NA
