"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2917NEW001",NA,NA,"Borehole",32.9,NA,"DTB Unknown",1995-05-16,319500,180850,"to within 10m","BALLYGAHAN UPPER",NA,"Wicklow",35,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tel no 0402 35475, approx OD AV",NA,NA
"2","2917NEW002",NA,NA,"Borehole",NA,NA,NA,1995-05-16,318710,180630,"to within 10m","BALLYGAHAN UPPER",NA,"Wicklow",35,"Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tel no 0402 35124, approx OD AV",NA,NA
"3","2917NEW003",NA,NA,"Borehole",36.6,NA,"DTB Unknown",1973-07-01,318930,180930,"to within 10m","BALLYMURTAGH",NA,"Wicklow",35,"Other","Poor",NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/WIC 1186, BLUE GREY ROCK, QUALITY OK",NA,NA
"4","2917NEW004",NA,NA,"Borehole",42.7,NA,"DTB Unknown",1995-05-17,319200,180300,"to within 10m","BALLYGAHAN UPPER",NA,"Wicklow",35,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tel no 0402 35191, approx OD. AV",NA,NA
"5","2917NEW005",NA,NA,"Borehole",22.9,NA,"DTB Unknown",1995-05-17,319350,180440,"to within 10m","BALLYGAHAN UPPER",NA,"Wicklow",35,"Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tel no 0402 35191, approx OD. AV",NA,NA
"6","2917NEW006",NA,NA,"Borehole",36.6,NA,"DTB Unknown",1995-05-17,319360,180560,"to within 10m","BALLYGAHAN UPPER",NA,"Wicklow",35,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tel no 0402 35686, approx OD. AV",NA,NA
"7","2917NEW007",NA,NA,"Borehole",44.2,NA,"DTB Unknown",1995-05-17,318200,180350,"to within 10m","BALLYMONEEN",NA,"Wicklow",35,"Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tel no 0402 35203, approx OD. AV",NA,NA
"8","2917NEW008",NA,NA,"Borehole",NA,NA,NA,1995-05-17,318530,180400,"to within 10m","BALLYGAHAN UPPER",NA,"Wicklow",35,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tel no 0402 35427, approx OD. AV",NA,NA
"9","2917NEW009",NA,NA,"Borehole",NA,NA,NA,1995-05-17,319380,182030,"to within 10m","KILCASHEL",NA,"Wicklow",35,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tel no 0402 35362, approx OD. AV",NA,NA
"10","2917NEW010",NA,NA,"Borehole",NA,NA,NA,1995-05-17,319550,182030,"to within 10m","KILCASHEL",NA,"Wicklow",35,"Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tel no 0404 68844, approx OD. AV",NA,NA
