"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","0503NEW001",NA,NA,"Borehole",38.1,3.3,"Bedrock Presumed",NA,73460,47100,"to 100m","GORTAGRAFFER",NA,"Cork","115","Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"DtB inferred from casing
Driller M F Harte",NA,NA
"2","0503NEW006",NA,NA,"Borehole",54.8,3,"Bedrock Presumed",NA,71300,43860,"to 100m","BALLYNAKILLA",NA,"Cork","128","Agri & domestic use","Poor",NA,21.8,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"DtB inferred from casing",NA,NA
"3","0503NWW004",NA,NA,"Borehole",45.7,1.2,"Bedrock Presumed",NA,56810,41340,"to 100m","KILLOUGH WEST",NA,"Cork","127","Agri & domestic use","Poor",NA,21.8,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"DtB inferred from casing",NA,NA
"4","0801NEW005","BH#2","Cork County Council West","Borehole",89.9,15.2,"Bedrock Met",NA,97620,22680,"to 100m","CARHOONA","Comillane","Cork","153","Public supply (Co Co)","Moderate",NA,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","Cape Clear Islands",NA
"5","0801NEW006","BH#1","Cork County Council West","Borehole",89.9,2.5,"Bedrock Met",NA,97630,22630,"to 100m","CARHOONA","Ardgort","Cork","153","Public supply (Co Co)","Poor",NA,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","Cape Clear Island",NA
"6","0801NEW007",NA,NA,"Dug well",8.5,0.6,"Bedrock Met",NA,101830,24970,"to 100m","KILMOON","Kinish Harbour","Cork","153",NA,"Poor",NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/CK 1359","Sherkin Island",NA
"7","0803SWW001",NA,NA,"Borehole",45.7,4.6,"Bedrock Met",NA,89800,30010,"to 100m","LOWERTOWN","Skull","Cork","148","Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,33.5,42.7,NA,NA,NA,NA,NA,"1.5HP Grundfos pump installed"
"8","0805SWW008",NA,NA,"Borehole",64.9,9,"Bedrock Presumed",NA,89800,59400,"to 100m","ROSSNAGRENA",NA,"Cork","90","Agri & domestic use","Poor",NA,21.8,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"DtB inferred from casing",NA,NA
"9","0805SWW009",NA,NA,"Borehole",74.7,6.1,"Bedrock Met",NA,89750,59330,"to 100m","ROSSNAGRENA",NA,"Cork","90","Agri & domestic use","Good","I",130.9,NA,NA,NA,429,150,54.8,60.9,NA,NA,NA,NA,NA," dd = 0.3m        10 hr test"
"10","0805SWW010",NA,NA,"Borehole",80.7,4.5,"Bedrock Presumed",NA,92220,57740,"to 100m","CARRIGROUR",NA,"Cork","90","Agri & domestic use","Poor",NA,12,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,"DtB inferred from casing",NA,NA
"11","1103NEW006",NA,NA,"Borehole",64,12.8,"Bedrock Met",NA,136990,43340,"to 100m","KILGARRIFF",NA,"Cork","135","Agri & domestic use","Moderate","V",70.9,NA,NA,NA,1.5,152,42.7,NA,NA,NA,NA,NA,NA,"  dd = 47.2m      2.5 hr test"
"12","1103SWW001",NA,NA,"Dug well",1.8,1.2,"Bedrock Met",1973-04-16,112900,32900,"to 100m","GORTNACLOHY",NA,"Cork","141","Unknown","Poor",NA,39.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1105NEW048",NA,NA,"Borehole",61,6.7,"Bedrock Met",1997-12-15,135140,64270,"to 100m","LACKAREAGH","Lissarda","Cork","83","Domestic use only","Poor","V",21.8,NA,NA,18.3,1.19,152,53.3,NA,NA,NA,NA,"Drilled by Leo O Sullivan",NA,NA
"14","1105NEW059",NA,NA,"Borehole",NA,NA,NA,NA,138570,67450,"to 100m","CARRIGDARRERY",NA,"Cork","83","Domestic use only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1105NEW068","DWG 2212",NA,"Borehole",NA,3.1,"Bedrock Met",2000-10-15,132350,68620,"to 100m","GORTACURRIG","Macroom","Cork","82","Agri & domestic use",NA,NA,NA,NA,NA,NA,NA,165,15.2,30.5,NA,NA,NA,"Drilled by Martin Harte, Bandon;
Drilled in Oct 2000
Chemical data available","Location from site map included. ""Old Post Office""","OK quality,clear with slight sediment"
"16","1105NEW076",NA,NA,"Borehole",27.7,18.2,"Bedrock Presumed",2002-07-11,138900,67940,"to 100m","DUNISKY",NA,"Cork","71","Agri & domestic use","Good",NA,120,NA,NA,NA,NA,150,18.2,NA,NA,NA,NA,NA,NA,"driller  =  J Harte"
