Townland,Acres,Barony,Civil parish,Poor law union
Abbeyland,75,Corkaree,Multyfarnham,Mullingar
Abbeyland and Charlestown (or Ballynamonaster),230,Moygoish,Kilbixy,Mullingar
Adamstown,35,Rathconrath,Conry,Mullingar
Adamstown,551,Moycashel,Castletownkindalen,Mullingar
Addinstown,968,Delvin,Castletowndelvin,Castletowndelvin
Aghabrack,127,Rathconrath,Conry,Mullingar
Aghacocara,32,Brawny,St. Mary's,Athlone
Aghadaugh,256,Moyashel and Magheradernon,Rathconnell,Mullingar
Aghafin,115,Clonlonan,Kilcleagh,Athlone
Aghafin,145,Kilkenny West,Noughaval,Ballymahon
Aghalasty & Ankersland,307,Fore,St. Mary's,Castletowndelvin
Aghamore,32,Moycashel,Kilbeggan,Tullamore
Aghamore,574,Farbill,Killucan,Mullingar
Aghanamanagh (or Commeenlonagh),59,Moycashel,Newtown,Mullingar
Aghanapisha,28,Kilkenny West,Noughaval,Ballymahon
Aghanargit,120,Clonlonan,Kilcleagh,Athlone
Aghanashanamore,41,Clonlonan,Ballyloughloe,Athlone
Aghanvoneen,121,Clonlonan,Ballyloughloe,Athlone
Agharanny,25,Clonlonan,Kilcleagh,Athlone
Agharevagh East,41,Clonlonan,Kilcleagh,Athlone
Agharevagh West,24,Clonlonan,Kilcleagh,Athlone
Aghavoneen,169,Clonlonan,Kilcleagh,Athlone
Aghnabohy,295,Rathconrath,Piercetown,Ballymahon
Aghnasullivan,62,Clonlonan,Kilcleagh,Athlone
Aghuldred,174,Moycashel,Kilbeggan,Tullamore
Aghyrassy,91,Moycashel,Newtown,Mullingar
Ankersbower,58,Brawny,St. Mary's,Athlone
Ankersland & Aghalasty,307,Fore,St. Mary's,Castletowndelvin
Annagh,810,Kilkenny West,Kilkenny West,Athlone
Annaghgortagh,171,Clonlonan,Ballyloughloe,Athlone
Annaskinnan,511,Farbill,Killucan,Mullingar
Anneville (or Rathduff),335,Fartullagh,Moylisker,Mullingar
Archerstown,822,Delvin,Castletowndelvin,Castletowndelvin
Ardan,196,Moycashel,Rahugh,Tullamore
Ardballymore,112,Moycashel,Ardnurcher or Horseleap,Tullamore
Ardborra,192,Kilkenny West,Drumraney,Ballymahon
Ardbrennan,240,Rathconrath,Killare,Mullingar
Ardbuckan,151,Kilkenny West,Drumraney,Ballymahon
Ardillon,95,Fartullagh,Lynn,Mullingar
Ardivaghan,88,Moyashel and Magheradernon,Mullingar,Mullingar
Ardmore,151,Moyashel and Magheradernon,Mullingar,Mullingar
Ardmorney,152,Moycashel,Newtown,Mullingar
Ardnacrany North,813,Kilkenny West,Noughaval,Ballymahon
Ardnacrany South,162,Kilkenny West,Noughaval,Ballymahon
Ardnaglew,351,Moycashel,Kilbeggan,Tullamore
Ardnaglug,24,Brawny,St. Mary's,Athlone
Ardnagragh,13,Kilkenny West,Drumraney,Ballymahon
Ardnagragh Digby,650,Kilkenny West,Drumraney,Ballymahon
Ardnagragh Gray,261,Kilkenny West,Drumraney,Ballymahon
Ardnagross,220,Fore,Lickbla,Granard
Ardnaponra,71,Clonlonan,Kilmanaghan,Athlone
Ardnurcher,296,Moycashel,Ardnurcher or Horseleap,Mullingar
Ardyduffy,87,Clonlonan,Ballyloughloe,Athlone
Athenboy,69,Moygoish,Street,Granard
Athlone,Town,Brawny,St. Mary's,Athlone
Athlone,378,Brawny,St. Mary's,Athlone
Atticonor,440,Moycashel,Rahugh,Tullamore
Attimurtagh,62,Clonlonan,Kilcleagh,Athlone
Auburn,151,Kilkenny West,Kilkenny West,Athlone
Balgarrett,413,Moyashel and Magheradernon,Mullingar,Mullingar
Ballagh,217,Moyashel and Magheradernon,Mullingar,Mullingar
Ballagh,82,Clonlonan,Kilcumreragh,Athlone
Ballaghkeeran Big,302,Kilkenny West,Kilkenny West,Athlone
